Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,45.299999,46.110001,45.169998,46.110001,1199400,40.294319
2013-03-01,45.099998,46.279999,44.099998,45.34,739500,39.621437
2013-02-01,46.790001,47.139999,45.200001,45.200001,724300,39.499096
2013-01-02,46.73,48.490002,46.299999,46.57,540900,40.400932
2012-12-03,43.939999,47.130001,43.549999,46.130001,715800,40.019218
2012-11-01,45.41,46.75,42.959999,43.799999,1220400,37.997871
2012-10-01,43.900002,46.689999,42.439999,45.310001,1246300,39.307846
2012-09-04,46.650002,47.43,43.200001,43.880001,757700,38.067276
2012-08-01,47.669998,48.099998,45.290001,46.619999,464000,40.444309
2012-07-02,44.84,47.830002,43.900002,47.66,1531000,41.042732
2012-06-01,43.299999,45.57,42.189999,44.98,998100,38.734833
2012-05-01,44.259998,45.889999,42.849998,43.900002,623000,37.804787
2012-04-02,44.639999,45.75,43.290001,44.450001,670100,37.993565
2012-03-01,41.23,44.880001,40.939999,44.720001,779700,38.22435
2012-02-01,42.939999,44.220001,40.099998,41.150002,828300,35.172897
2012-01-03,42.669998,43.32,40.700001,42.799999,723200,36.302776
2011-12-01,39.50,42.630001,38.279999,41.959999,598800,35.590294
2011-11-01,38.029999,41.290001,36.779999,39.34,751600,33.368019
2011-10-03,37.139999,40.00,35.279999,38.93,1130400,32.728931
2011-09-01,39.169998,41.09,36.049999,37.209999,1505600,31.282904
2011-08-01,37.630001,39.07,32.57,39.009998,1137000,32.796185
2011-07-01,35.59,38.150002,35.540001,37.220001,422800,30.989819
2011-06-01,35.169998,35.93,33.779999,35.52,513600,29.574377
2011-05-02,35.32,35.75,33.700001,35.34,528800,29.424507
2011-04-01,33.099998,35.93,32.09,35.150002,460100,28.981977
2011-03-01,33.439999,33.470001,30.75,33.00,517600,27.209251
2011-02-01,32.529999,33.84,31.889999,33.419998,456500,27.55555
2011-01-03,31.940001,32.84,30.60,32.34,461200,26.38792
2010-12-01,31.83,32.169998,30.030001,31.76,553100,25.914667
2010-11-01,31.83,33.630001,30.76,31.440001,567200,25.653563
2010-10-01,30.809999,33.040001,30.190001,31.629999,579400,25.54158
2010-09-01,30.200001,31.34,29.34,30.440001,828200,24.580643
2010-08-02,29.49,30.450001,27.309999,29.809999,1191900,24.071911
2010-07-01,27.26,29.620001,25.92,28.950001,657400,23.105171
2010-06-01,26.540001,29.059999,25.200001,27.290001,838500,21.780315
2010-05-03,28.32,29.27,23.620001,26.77,1100200,21.365299
2010-04-01,27.76,30.559999,27.209999,28.17,812900,22.200676
2010-03-01,27.889999,28.90,26.690001,27.66,557500,21.798748
2010-02-01,25.77,28.450001,24.200001,27.639999,572500,21.782986
2010-01-04,28.389999,28.77,25.23,25.66,628900,19.947384
2009-12-01,27.280001,28.860001,25.91,28.10,542900,21.844173
2009-11-02,27.27,28.190001,25.67,26.950001,722200,20.950195
2009-10-01,26.77,27.57,25.620001,27.02,808800,20.743118
2009-09-01,25.940001,29.09,23.610001,26.85,798600,20.61261
2009-08-03,23.40,27.08,22.83,26.01,732300,19.967747
2009-07-01,22.42,24.190001,19.33,22.93,776900,17.366575
2009-06-01,23.530001,24.17,20.74,22.18,967100,16.798544
2009-05-01,21.65,24.030001,20.16,22.99,1706800,17.412016
2009-04-01,16.959999,23.84,16.65,21.68,1787800,16.419857
2009-03-02,16.93,19.879999,14.88,17.360001,1312800,12.944524
2009-02-02,21.120001,22.52,16.84,17.120001,955500,12.765567
2009-01-02,20.57,23.43,18.190001,21.370001,1163700,15.674401
2008-12-01,21.77,23.969999,19.030001,20.48,734500,15.021606
2008-11-03,25.76,26.309999,15.05,22.389999,679400,16.422546
2008-10-01,34.91,37.00,21.68,25.98,627700,18.761089
2008-09-02,30.93,34.75,28.709999,33.880001,540500,24.465963
2008-08-01,29.469999,31.00,28.110001,30.32,387500,21.895159
2008-07-01,27.65,30.639999,27.280001,29.280001,488700,20.910126
2008-06-02,30.450001,32.080002,27.48,27.84,576400,19.88176
2008-05-01,30.41,31.01,29.379999,30.42,375200,21.724249
2008-04-01,27.469999,31.440001,26.530001,30.530001,693400,21.559671
2008-03-03,26.17,28.959999,24.84,27.360001,323900,19.321081
2008-02-01,28.92,29.50,25.25,26.10,387800,18.431295
2008-01-02,26.91,29.50,25.08,28.85,358500,20.127792
2007-12-03,26.00,29.209999,25.110001,26.85,212800,18.732452
2007-11-01,28.190001,28.379999,23.18,25.860001,281000,18.041758
2007-10-01,29.200001,30.52,26.98,28.440001,259800,19.602571
2007-09-04,28.27,29.559999,26.59,29.290001,158100,20.188444
2007-08-01,25.57,28.809999,24.76,28.34,268300,19.533646
2007-07-02,28.43,29.50,24.299999,25.549999,176100,17.398024
2007-06-01,29.42,30.549999,27.16,28.290001,284500,19.263802
2007-05-01,30.65,30.91,27.120001,29.42,178100,20.033262
2007-04-02,30.40,31.68,28.299999,30.620001,149500,20.597431
2007-03-01,30.040001,31.60,28.59,30.290001,212400,20.375448
2007-02-01,32.07,32.52,29.67,30.25,172000,20.348539
2007-01-03,29.00,31.98,28.35,31.870001,164800,21.213245
2006-12-01,29.50,30.049999,27.530001,28.469999,155600,18.950144
2006-11-01,26.67,30.23,25.870001,29.700001,287900,19.768856
2006-10-02,25.49,27.049999,24.85,26.629999,112200,17.516363
2006-09-01,25.90,25.98,24.15,25.51,282900,16.779663
2006-08-01,25.34,26.27,24.68,25.969999,65000,17.082237
2006-07-03,25.049999,26.049999,23.799999,25.34,59700,16.444283
2006-06-01,23.870001,25.610001,23.60,24.85,115600,16.126299
2006-05-01,24.049999,24.969999,22.40,23.860001,147400,15.483843
2006-04-03,25.91,26.200001,23.60,24.15,102200,15.439909
2006-03-01,25.200001,28.58,24.35,25.91,89900,16.565136
2006-02-01,24.790001,25.67,24.24,25.200001,51900,15.91034
2006-01-03,24.85,25.60,24.299999,24.799999,98800,15.657794
2005-12-01,25.299999,26.34,24.280001,24.799999,79100,15.657794
2005-11-01,24.549999,26.49,23.809999,25.17,63100,15.891398
2005-10-03,24.02,25.09,22.60,24.75,103800,15.41983
2005-09-01,23.559999,24.200001,21.75,24.02,102000,14.965024
2005-08-01,25.059999,25.25,22.93,23.549999,178500,14.672202
2005-07-01,22.68,25.200001,22.50,25.049999,120000,15.391428
2005-06-01,20.549999,23.360001,20.35,22.68,206500,13.935234
2005-05-02,21.10,21.49,20.15,20.50,32000,12.595779
2005-04-01,21.00,21.799999,19.040001,20.98,24900,12.680726
2005-03-01,21.049999,22.280001,20.049999,21.00,64900,12.692815
2005-02-01,20.25,22.299999,20.25,21.10,65100,12.753258
2005-01-03,22.60,22.75,19.09,20.25,94000,12.046545
2004-12-01,21.00,23.059999,20.549999,22.49,43900,13.379102
2004-11-01,18.90,21.25,18.50,20.90,54900,12.433225
2004-10-01,18.620001,19.98,18.50,18.90,71300,11.152502
2004-09-01,17.85,19.049999,17.629999,18.559999,174900,10.951875
2004-08-16,17.540001,17.799999,17.00,17.700001,148600,10.444407
