Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,32.709999,32.849998,31.82,31.98,1445600,31.98
2013-03-01,30.09,33.09,29.370001,32.799999,829400,32.799999
2013-02-01,25.41,31.530001,25.120001,30.309999,1487700,30.309999
2013-01-02,24.01,25.84,23.950001,25.57,740200,25.57
2012-12-03,22.60,24.49,22.43,23.799999,871600,23.799999
2012-11-01,21.50,22.629999,18.68,22.59,1162500,22.59
2012-10-01,21.17,21.950001,20.610001,21.469999,743600,21.469999
2012-09-04,19.379999,21.719999,19.25,21.16,1021600,21.16
2012-08-01,16.299999,19.91,15.58,19.389999,1074600,19.389999
2012-07-02,16.530001,17.209999,15.13,16.209999,714000,16.209999
2012-06-01,15.91,17.08,14.50,16.450001,1407700,16.450001
2012-05-01,22.040001,22.74,16.030001,16.290001,1506100,16.290001
2012-04-02,22.26,22.90,21.139999,22.07,876100,22.07
2012-03-01,23.530001,23.889999,22.059999,22.370001,807800,22.370001
2012-02-01,23.120001,24.280001,22.219999,23.35,1105600,23.35
2012-01-03,20.99,23.48,20.57,22.889999,640300,22.889999
2011-12-01,21.290001,21.790001,19.049999,20.57,902000,20.57
2011-11-01,20.299999,21.60,19.799999,21.450001,1004600,21.450001
2011-10-03,17.530001,22.030001,16.389999,20.92,871400,20.92
2011-09-01,22.68,22.77,17.51,17.67,1160500,17.67
2011-08-01,25.09,25.139999,17.84,22.719999,1523500,22.719999
2011-07-01,27.299999,28.25,24.66,24.74,645300,24.74
2011-06-01,28.66,28.90,26.190001,27.34,822400,27.34
2011-05-02,27.33,28.700001,26.65,28.67,781800,28.67
2011-04-01,27.809999,28.00,25.57,27.26,662500,27.26
2011-03-01,28.67,28.809999,26.01,27.73,907500,27.73
2011-02-01,29.40,29.98,27.33,28.639999,1384600,28.639999
2011-01-03,28.200001,29.92,26.290001,29.27,829700,29.27
2010-12-01,26.10,28.860001,25.959999,27.969999,643800,27.969999
2010-11-01,26.530001,27.950001,25.75,25.76,697400,25.76
2010-10-01,24.40,26.73,23.809999,26.51,706200,26.51
2010-09-01,22.870001,24.950001,22.83,24.26,707400,24.26
2010-08-02,24.469999,26.610001,22.02,22.50,688400,22.50
2010-07-01,23.110001,25.620001,21.700001,24.139999,649000,24.139999
2010-06-01,25.129999,25.73,22.77,23.059999,756700,23.059999
2010-05-03,29.780001,30.469999,24.040001,25.379999,1030700,25.379999
2010-04-01,28.59,30.91,28.16,30.07,560300,30.07
2010-03-01,27.10,29.83,26.82,28.370001,652900,28.370001
2010-02-01,27.10,27.93,24.799999,27.10,705700,27.10
2010-01-04,27.549999,30.74,26.83,26.969999,712400,26.969999
2009-12-01,25.43,28.530001,24.030001,27.50,1151200,27.50
2009-11-02,25.219999,28.610001,24.709999,25.40,1109300,25.40
2009-10-01,27.110001,27.32,25.10,25.24,1097600,25.24
2009-09-01,27.17,29.110001,26.139999,27.139999,1240700,27.139999
2009-08-03,32.799999,32.799999,26.74,27.41,1113600,27.41
2009-07-01,32.150002,33.200001,29.00,32.400002,692400,32.400002
2009-06-01,31.879999,32.220001,28.42,32.00,1046100,32.00
2009-05-01,25.540001,31.91,24.76,31.91,1347400,31.91
2009-04-01,25.60,28.66,24.60,25.73,940600,25.73
2009-03-02,23.690001,27.209999,20.01,26.08,2068300,26.08
2009-02-02,24.620001,29.450001,20.84,24.530001,1756600,24.530001
2009-01-02,30.99,32.919998,22.639999,25.309999,1453600,25.309999
2008-12-01,26.299999,31.709999,23.799999,30.73,1605900,30.73
2008-11-03,17.860001,27.200001,16.02,26.49,1033600,26.49
2008-10-01,23.889999,24.08,14.43,17.629999,874000,17.629999
2008-09-02,32.41,32.41,22.16,24.440001,969100,24.440001
2008-08-01,28.32,32.400002,27.15,31.959999,582900,31.959999
2008-07-01,32.099998,33.400002,27.43,28.469999,758000,28.469999
2008-06-02,32.310001,34.50,30.25,32.529999,1158900,32.529999
2008-05-01,27.469999,32.540001,27.309999,32.209999,1358600,32.209999
2008-04-01,26.540001,28.23,24.59,27.459999,543900,27.459999
2008-03-03,25.889999,26.950001,22.280001,26.01,711800,26.01
2008-02-01,24.709999,30.08,24.10,25.92,872400,25.92
2008-01-02,28.40,28.940001,19.959999,24.559999,697900,24.559999
2007-12-03,26.60,29.60,25.58,28.57,538800,28.57
2007-11-01,33.32,33.48,25.549999,26.59,819800,26.59
2007-10-01,34.860001,38.25,31.799999,33.77,786200,33.77
2007-09-04,27.10,36.139999,25.75,34.93,958800,34.93
2007-08-01,25.85,28.280001,23.00,26.870001,844800,26.870001
2007-07-02,24.879999,29.24,24.299999,25.950001,648200,25.950001
2007-06-01,22.60,26.450001,21.51,24.809999,953100,24.809999
2007-05-10,21.10,24.60,20.60,22.90,2971500,22.90
