Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.85,25.85,25.290001,25.450001,649000,16.335581
2013-03-01,25.73,26.700001,24.83,25.809999,526900,16.566652
2013-02-01,23.43,26.969999,23.290001,25.799999,243200,15.99838
2013-01-02,21.24,23.48,21.24,23.370001,115200,14.491557
2012-12-03,21.75,22.57,20.139999,20.77,169700,12.879316
2012-11-01,22.299999,22.549999,17.84,21.639999,183100,12.890378
2012-10-01,23.90,24.209999,21.34,22.25,158100,13.253739
2012-09-04,22.950001,25.49,22.67,23.860001,436500,14.212774
2012-08-01,22.610001,23.07,22.00,22.90,55400,13.164066
2012-07-02,21.719999,22.940001,21.59,22.360001,59900,12.853648
2012-06-01,22.379999,23.10,20.85,21.709999,131800,12.479995
2012-05-01,23.57,23.75,22.049999,22.58,55400,12.475333
2012-04-02,22.110001,23.93,22.030001,23.51,94300,12.989154
2012-03-01,23.25,25.190001,22.10,22.200001,167200,12.265386
2012-02-01,22.58,24.370001,22.440001,23.10,53100,12.30849
2012-01-03,21.77,23.77,20.24,22.40,60400,11.935505
2011-12-01,19.889999,24.00,19.57,21.33,72600,11.365372
2011-11-01,22.129999,23.110001,19.00,19.940001,67200,10.236238
2011-10-03,24.00,26.120001,21.049999,23.08,58700,11.848164
2011-09-01,25.84,26.639999,23.719999,24.049999,59300,12.346115
2011-08-01,28.58,28.68,22.50,25.799999,78400,12.80063
2011-07-01,31.41,31.879999,27.00,28.08,65400,13.931849
2011-06-01,28.85,32.630001,26.85,31.389999,87400,15.5741
2011-05-02,30.790001,30.83,26.040001,28.879999,86500,13.937576
2011-04-01,30.50,31.27,28.15,30.50,42900,14.719394
2011-03-01,28.07,31.24,25.40,30.440001,60700,14.690438
2011-02-01,25.360001,28.889999,25.290001,28.059999,37300,13.213051
2011-01-03,24.219999,25.35,23.799999,25.16,35500,11.847483
2010-12-01,24.90,25.709999,23.200001,23.99,43300,11.296546
2010-11-01,23.889999,25.950001,22.75,24.629999,46100,11.311426
2010-10-01,23.42,24.110001,22.700001,23.690001,47100,10.879728
2010-09-01,19.91,24.23,19.91,23.309999,52500,10.705211
2010-08-02,20.209999,20.969999,19.07,19.84,64700,8.882569
2010-07-01,18.98,20.10,17.23,20.07,53800,8.985542
2010-06-01,18.93,20.66,18.18,18.83,67600,8.430382
2010-05-03,20.299999,21.25,16.809999,19.00,52600,8.354436
2010-04-01,17.91,20.889999,17.91,20.16,41400,8.864496
2010-03-01,18.309999,18.98,17.790001,17.82,42200,7.835581
2010-02-01,15.10,18.66,14.67,18.129999,37800,7.817225
2010-01-04,15.20,16.700001,14.18,15.10,22600,6.510761
2009-12-01,13.50,16.209999,13.07,15.23,50700,6.566814
2009-11-02,11.74,14.22,11.22,13.25,41500,5.713085
2009-10-01,0.49,14.24,0.42,11.74,121900,5.062009
2009-09-01,0.50,0.62,0.44,0.49,43500,4.225527
2009-08-03,0.41,0.62,0.40,0.52,64200,4.484233
2009-07-01,0.41,0.46,0.34,0.42,60700,3.62188
2009-06-01,0.37,0.50,0.31,0.38,74500,3.276939
2009-05-01,0.28,0.60,0.26,0.38,91100,3.276939
2009-04-01,0.20,0.38,0.19,0.27,35400,2.328352
2009-03-02,0.15,0.23,0.11,0.20,26700,1.724705
2009-02-02,0.19,0.25,0.13,0.15,17000,1.293529
2009-01-02,0.16,0.33,0.15,0.18,25600,1.552234
2008-12-01,0.20,0.23,0.06,0.17,54400,1.465999
2008-11-03,0.70,0.73,0.15,0.20,30100,1.724705
2008-10-01,1.59,1.85,0.32,0.63,38800,5.432821
2008-09-02,1.89,2.25,1.32,2.00,33100,17.247049
2008-08-01,1.73,2.06,1.65,1.83,27700,15.78105
2008-07-01,1.50,2.08,1.38,1.73,41900,14.918697
2008-06-02,1.94,2.30,1.29,1.50,55400,12.935287
2008-05-01,2.48,2.81,1.83,1.92,50100,16.557169
2008-04-01,1.72,2.62,1.44,2.49,73000,21.472576
2008-03-03,2.45,2.59,1.54,1.70,88500,14.659992
2008-02-01,3.25,3.56,2.45,2.49,65000,21.472576
2008-01-02,3.11,3.68,2.90,3.23,94200,27.853985
2007-12-03,2.96,3.59,2.49,3.14,109200,27.077868
2007-11-01,4.24,4.24,2.57,2.99,117300,25.78434
2007-10-01,4.57,4.90,4.05,4.30,93400,37.081158
2007-09-04,4.65,5.35,4.40,4.61,83300,39.754448
2007-08-01,4.90,5.10,3.81,4.69,159100,40.02039
2007-07-02,5.50,5.59,4.63,4.92,110600,41.983009
2007-06-01,6.31,6.67,5.38,5.46,130900,46.5909
2007-05-01,5.52,6.52,5.38,6.27,97800,53.017231
2007-04-02,5.52,6.630001,5.30,5.55,109400,46.929127
2007-03-01,6.67,7.00,4.50,5.52,236100,46.675457
2007-02-01,7.90,8.190001,6.61,6.78,104600,56.80077
2007-01-03,8.00,8.39,7.40,7.86,57200,65.848671
2006-12-01,7.78,8.31,7.30,8.00,105400,67.021553
2006-11-01,7.60,8.05,6.95,7.83,89400,65.192924
2006-10-02,8.030001,8.580001,7.39,7.630001,55300,63.527714
2006-09-01,8.22,8.900001,7.70,8.030001,58800,66.858131
2006-08-01,9.09,9.55,8.04,8.25,64300,68.276566
2006-07-03,11.06,11.39,8.80,9.18,76500,75.973198
2006-06-01,10.690001,12.07,9.740001,10.97,103300,90.78714
2006-05-01,10.97,11.150001,9.51,10.51,64300,85.492088
2006-04-03,9.37,11.34,8.70,10.81,72400,87.932396
2006-03-01,9.96,10.02,8.95,9.38,61500,76.30027
2006-02-01,11.55,11.88,9.89,9.96,65100,79.332077
2006-01-03,9.91,11.990001,9.88,11.580001,54700,92.235489
2005-12-01,10.64,11.14,9.70,9.900001,84200,78.854172
2005-11-01,9.05,11.35,8.66,10.64,84500,83.178909
2005-10-03,10.27,10.30,8.37,8.87,128600,69.341812
2005-09-01,11.690001,12.14,9.64,10.190001,85800,79.661003
2005-08-01,14.10,14.10,11.080001,11.70,80800,88.472435
2005-07-01,14.35,15.35,13.580001,14.06,58600,106.318161
2005-06-01,13.05,14.410001,12.95,14.30,58100,108.132973
2005-05-02,11.080001,13.839999,10.46,13.05,115300,96.344337
2005-04-01,15.95,16.230001,12.080001,12.09,144100,89.256935
2005-03-01,18.560001,19.59,15.17,15.87,94700,117.163567
2005-02-01,19.93,20.35,18.370001,18.550001,87600,133.983444
2005-01-03,19.389999,20.01,18.210001,19.68,58400,142.145248
2004-12-01,19.120001,20.460001,19.10,19.389999,74200,140.050613
2004-11-01,17.300001,19.139999,16.700001,19.120001,94100,135.407501
2004-10-01,19.10,20.09,17.00,17.139999,75400,121.38517
2004-09-01,18.85,20.90,18.539999,19.10,67200,135.265854
2004-08-02,16.50,18.910002,15.02,18.85,78100,131.204178
2004-07-01,19.82,20.060001,15.88,16.450001,74400,114.499138
2004-06-01,19.24,21.110001,18.800001,19.789999,76100,137.746979
2004-05-03,18.50,20.10,16.550001,19.50,112800,132.766647
2004-04-01,27.00,27.50,18.219999,18.50,164600,125.958092
2004-03-01,26.950001,28.700001,24.75,26.99,55600,183.76265
2004-02-02,23.960001,27.23,23.65,26.620001,53000,178.905746
2004-01-02,22.889999,26.300001,22.57,23.800001,57400,159.953293
2003-12-01,21.35,23.75,19.230001,23.08,49300,155.114365
2003-11-03,20.00,21.620001,18.90,21.35,45500,141.419449
2003-10-01,17.139999,20.17,17.050001,19.92,67900,131.947327
2003-09-02,16.60,18.00,16.050001,17.25,53200,114.26162
2003-08-01,16.59,17.08,14.780001,16.59,38200,107.726425
