Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,27.809999,27.98,27.60,27.93,645800,24.747311
2013-03-01,26.83,28.110001,26.629999,27.77,444300,24.605543
2013-02-01,26.280001,27.440001,26.059999,26.92,343300,23.673252
2013-01-02,25.40,26.549999,25.040001,26.139999,334300,22.987326
2012-12-03,24.91,25.76,24.540001,25.08,501400,22.05517
2012-11-01,25.66,25.91,23.91,24.82,398400,21.669565
2012-10-01,24.90,25.85,24.200001,25.68,448800,22.420404
2012-09-04,24.85,26.049999,24.75,24.82,331600,21.669565
2012-08-01,23.99,24.90,23.60,24.90,369700,21.583696
2012-07-02,23.34,24.040001,23.00,23.940001,316000,20.751554
2012-06-01,21.959999,23.200001,21.860001,23.18,379900,20.092773
2012-05-01,23.110001,23.51,21.68,22.370001,410500,19.236353
2012-04-02,22.540001,23.34,21.49,23.18,286000,19.932886
2012-03-01,21.219999,22.940001,21.110001,22.540001,346600,19.38254
2012-02-01,21.18,22.309999,21.10,21.190001,242200,18.077415
2012-01-03,20.51,21.26,19.389999,21.02,273700,17.932386
2011-12-01,19.58,20.49,18.77,20.139999,293300,17.181648
2011-11-01,20.42,20.90,18.280001,19.58,331700,16.556158
2011-10-03,18.610001,20.92,17.42,20.719999,390200,17.5201
2011-09-01,21.10,21.51,18.67,18.700001,345500,15.812061
2011-08-01,21.17,21.530001,17.43,21.08,417900,17.662626
2011-07-01,20.35,22.23,20.33,20.99,249200,17.587217
2011-06-01,20.59,21.15,19.18,20.33,290700,17.034212
2011-05-02,20.98,21.129999,19.889999,20.65,268800,17.149141
2011-04-01,19.01,21.129999,18.52,20.85,254700,17.315235
2011-03-01,19.85,19.85,18.16,18.92,254400,15.712435
2011-02-01,18.57,19.84,18.32,19.799999,322300,16.285221
2011-01-03,18.370001,18.73,17.719999,18.48,349400,15.199539
2010-12-01,18.610001,18.860001,17.719999,18.24,378300,15.002143
2010-11-01,19.15,20.040001,18.01,18.26,404500,14.870626
2010-10-01,19.200001,20.17,18.799999,19.08,337500,15.53842
2010-09-01,18.18,19.77,18.02,19.00,238400,15.473269
2010-08-02,18.809999,19.200001,17.059999,17.940001,269100,14.471176
2010-07-01,16.82,18.85,15.87,18.540001,489800,14.955162
2010-06-01,17.709999,19.299999,16.719999,16.82,423600,13.567735
2010-05-03,19.15,19.76,16.219999,17.889999,403200,14.282833
2010-04-01,17.969999,19.799999,17.73,19.08,296300,15.232894
2010-03-01,16.969999,18.40,16.75,17.860001,278700,14.258883
2010-02-01,16.030001,16.940001,14.88,16.73,352600,13.224698
2010-01-04,17.09,17.76,15.63,15.93,265100,12.592317
2009-12-01,16.370001,17.52,15.95,16.870001,295600,13.335366
2009-11-02,15.93,17.690001,15.42,16.27,402400,12.727727
2009-10-01,14.99,17.07,13.31,15.90,419800,12.438281
2009-09-01,15.22,16.51,14.14,15.07,429100,11.788987
2009-08-03,13.88,16.209999,13.50,15.31,338900,11.834249
2009-07-01,13.20,14.76,11.55,13.70,370200,10.58976
2009-06-01,13.66,15.44,12.67,13.05,404100,10.087326
2009-05-01,14.38,14.64,11.96,13.42,520400,10.232618
2009-04-01,10.60,15.36,10.37,14.50,668300,11.056108
2009-03-02,9.82,12.29,8.50,10.61,387900,8.090021
2009-02-02,11.59,12.43,8.63,10.04,402600,7.51585
2009-01-02,14.42,14.69,11.00,11.67,391300,8.736053
2008-12-01,13.66,16.09,11.45,14.27,393000,10.682389
2008-11-03,17.92,18.09,9.04,13.98,492500,9.900007
2008-10-01,24.99,25.23,13.82,18.07,522400,12.796361
2008-09-02,24.18,26.139999,23.00,25.280001,378500,17.902161
2008-08-01,22.82,24.959999,22.280001,23.75,317000,16.676151
2008-07-01,22.91,25.00,21.379999,22.690001,402100,15.931869
2008-06-02,24.73,25.84,22.540001,23.15,278800,16.254858
2008-05-01,26.049999,26.309999,24.219999,24.74,337900,17.217619
2008-04-01,24.58,26.780001,24.190001,25.639999,250600,17.843967
2008-03-03,22.92,25.23,21.90,24.15,326200,16.807013
2008-02-01,25.07,25.50,22.299999,22.91,266300,15.808104
2008-01-02,25.65,26.09,21.17,24.84,287200,17.13982
2007-12-03,26.360001,28.23,24.030001,25.610001,237600,17.671127
2007-11-01,26.26,26.629999,24.049999,26.389999,320200,17.922724
2007-10-01,27.059999,29.00,25.57,26.50,202600,17.997431
2007-09-04,24.91,27.93,23.83,27.129999,264200,18.425293
2007-08-01,22.959999,25.129999,21.709999,24.969999,351100,16.831873
2007-07-02,25.99,26.99,21.190001,23.030001,252000,15.524151
2007-06-01,28.51,28.75,25.43,25.950001,289500,17.492476
2007-05-01,26.90,28.540001,26.35,28.41,287200,19.003408
2007-04-02,26.07,28.18,26.059999,26.879999,206800,17.979994
2007-03-01,26.610001,27.68,25.719999,26.07,378800,17.438187
2007-02-01,25.790001,28.139999,25.709999,27.00,364500,17.923801
2007-01-03,25.00,25.969999,24.120001,25.690001,235900,17.054167
2006-12-01,26.040001,26.40,23.809999,25.02,313700,16.60939
2006-11-01,25.549999,26.860001,24.459999,25.98,219000,17.106464
2006-10-02,25.549999,27.129999,24.60,25.549999,100700,16.823332
2006-09-01,24.700001,26.700001,24.200001,25.50,102000,16.790409
2006-08-01,23.84,24.90,22.700001,24.639999,98600,16.107037
2006-07-03,23.620001,24.59,22.99,23.84,144100,15.584082
2006-06-01,21.440001,23.940001,21.440001,23.65,174500,15.459879
2006-05-01,22.77,23.110001,19.51,21.389999,138300,13.866842
2006-04-03,23.549999,23.57,20.809999,22.57,114500,14.63182
2006-03-01,21.93,24.209999,21.85,23.549999,130400,15.26714
2006-02-01,21.32,22.09,20.620001,21.93,68900,14.101051
2006-01-03,20.10,21.389999,19.790001,21.33,94900,13.71525
2005-12-01,20.58,20.790001,19.41,20.049999,140400,12.892206
2005-11-01,18.879999,20.50,18.610001,20.48,125600,13.04652
2005-10-03,17.99,19.120001,16.51,19.00,114900,12.103706
2005-09-01,17.690001,18.370001,17.50,17.99,78700,11.460299
2005-08-01,19.040001,19.379999,17.379999,17.700001,105900,11.1656
2005-07-01,18.450001,20.129999,18.450001,19.00,111600,11.985671
2005-06-01,16.969999,18.68,16.870001,18.65,107200,11.764882
2005-05-02,16.049999,17.48,15.52,16.950001,306100,10.591729
2005-04-01,16.18,16.23,15.25,16.049999,95300,10.029335
2005-03-01,15.92,16.67,15.40,16.08,78000,10.048082
2005-02-01,16.08,16.76,15.69,15.90,120600,9.82542
2005-01-03,16.309999,16.530001,15.58,16.059999,91600,9.924293
2004-12-01,15.15,16.709999,14.94,16.299999,92100,10.0726
2004-11-01,15.40,16.00,14.70,15.15,121700,9.26338
2004-10-01,14.80,15.62,14.70,15.40,63800,9.416241
2004-09-01,14.65,15.12,13.86,14.75,86700,9.018803
2004-08-02,14.10,15.06,13.35,14.65,108700,8.855504
2004-07-01,13.75,14.29,13.03,14.17,105600,8.565358
2004-06-01,12.81,14.07,12.47,13.74,146200,8.305435
