Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.40,7.50,7.15,7.18,268200,7.18
2013-03-01,8.19,8.28,6.56,7.40,181500,7.40
2013-02-01,9.52,9.83,8.06,8.31,104300,8.31
2013-01-02,10.13,10.46,9.24,9.84,81500,9.84
2012-12-03,9.41,10.06,9.12,9.81,84700,9.81
2012-11-01,11.11,11.33,8.29,9.40,79900,9.40
2012-10-01,11.85,12.12,10.78,11.06,50400,11.06
2012-09-04,11.99,12.58,11.80,11.81,98400,11.81
2012-08-01,12.21,12.74,10.63,12.01,119600,12.01
2012-07-02,11.93,13.03,11.53,12.16,84600,12.16
2012-06-01,10.57,11.99,10.51,11.93,154200,11.93
2012-05-01,12.17,12.60,10.65,10.75,130200,10.75
2012-04-02,13.49,13.95,11.56,12.19,150800,12.19
2012-03-01,14.30,14.44,12.67,13.55,155300,13.55
2012-02-01,13.24,14.73,13.02,14.09,155400,14.09
2012-01-03,14.09,14.25,12.55,13.11,140400,13.11
2011-12-01,11.78,13.74,11.16,13.72,224200,13.72
2011-11-01,10.51,11.90,10.03,11.88,125000,11.88
2011-10-03,10.14,11.90,8.60,10.99,155100,10.99
2011-09-01,11.21,12.10,9.69,10.16,167900,10.16
2011-08-01,13.65,13.94,9.52,11.14,221900,11.14
2011-07-01,14.13,15.12,13.17,13.46,177300,13.46
2011-06-01,14.58,14.80,12.31,14.18,284400,14.18
2011-05-02,16.299999,16.889999,14.08,14.62,318000,14.62
2011-04-01,14.15,17.09,13.72,16.110001,211800,16.110001
2011-03-01,14.44,15.29,12.65,14.14,123400,14.14
2011-02-01,15.40,15.60,13.35,14.42,170000,14.42
2011-01-03,14.43,17.459999,14.43,15.49,223300,15.49
2010-12-01,13.12,14.88,12.75,14.36,195100,14.36
2010-11-01,13.10,13.50,11.51,12.95,137000,12.95
2010-10-01,11.90,13.75,11.71,13.12,70300,13.12
2010-09-01,12.44,14.17,11.10,11.90,178100,11.90
2010-08-02,10.00,12.39,9.90,12.18,153900,12.18
2010-07-22,10.25,10.90,9.34,10.00,806200,10.00
