Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,46.110001,46.91,45.919998,45.939999,2681600,41.541321
2013-03-01,46.369999,50.07,45.09,46.200001,1832000,41.776428
2013-02-01,50.34,52.439999,44.349998,46.630001,2913700,42.165257
2013-01-02,48.009998,50.939999,46.169998,50.00,1973600,45.0177
2012-12-03,46.029999,49.099998,44.790001,47.970001,2544700,43.189983
2012-11-01,30.73,46.330002,30.73,45.889999,5362100,41.317245
2012-10-01,33.279999,34.400002,30.059999,30.58,2121500,27.422897
2012-09-04,35.860001,39.650002,33.84,33.919998,2903500,30.418072
2012-08-01,33.939999,37.439999,28.639999,35.990002,4002600,32.274364
2012-07-02,34.810001,37.00,32.450001,33.799999,3142200,30.165335
2012-06-01,32.639999,34.700001,29.51,34.139999,3109000,30.468773
2012-05-01,52.00,54.049999,32.759998,33.540001,4136800,29.933294
2012-04-02,50.84,52.869999,46.009998,50.169998,2131400,44.553272
2012-03-01,46.130001,54.099998,46.00,49.610001,2631900,44.055969
2012-02-01,46.02,50.439999,40.25,45.790001,4866000,40.663635
2012-01-03,49.580002,50.259998,43.560001,45.939999,3448600,40.647259
2011-12-01,47.57,50.919998,45.02,48.84,1897100,43.213154
2011-11-01,71.809998,75.199997,44.220001,47.91,4932800,42.390297
2011-10-03,61.110001,77.489998,57.169998,74.400002,2148900,65.577133
2011-09-01,63.34,69.989998,57.27,61.560001,2560300,54.259792
2011-08-01,74.139999,75.519997,55.700001,63.610001,4155300,56.066689
2011-07-01,67.269997,78.25,66.910004,73.120003,2176400,64.259117
2011-06-01,75.720001,75.860001,62.459999,66.919998,2764200,58.810444
2011-05-02,71.519997,77.650002,69.949997,75.769997,2490100,66.587975
2011-04-01,59.02,72.610001,58.130001,70.800003,3092400,62.074635
2011-03-01,57.73,59.880001,52.549999,58.700001,2648200,51.465836
2011-02-01,50.610001,59.549999,48.509998,57.369999,2925000,50.29974
2011-01-03,58.369999,58.419998,48.200001,50.41,2940400,44.060787
2010-12-01,51.040001,58.50,49.66,57.630001,2591800,50.371418
2010-11-01,43.099998,51.150002,41.549999,50.25,3726500,43.92094
2010-10-01,39.759998,45.75,37.299999,42.860001,3582200,37.324284
2010-09-01,35.34,40.169998,34.07,39.32,3087800,34.241501
2010-08-02,37.860001,40.310001,33.970001,34.599998,4631400,30.131126
2010-07-01,30.51,38.799999,29.940001,36.939999,3612600,32.008694
2010-06-01,35.549999,37.889999,30.120001,30.690001,3669100,26.59304
2010-05-03,44.330002,45.709999,33.52,35.830002,5062300,31.046877
2010-04-01,45.889999,51.119999,43.630001,43.73,3817800,37.705837
2010-03-01,35.599998,45.98,35.549999,45.639999,3433700,39.352722
2010-02-01,31.799999,36.84,31.309999,36.419998,3597100,31.402849
2010-01-04,35.23,36.240002,29.879999,31.540001,4650600,27.059753
2009-12-01,40.23,40.290001,33.82,34.849998,3408100,29.899569
2009-11-02,32.970001,42.310001,32.040001,39.93,4788800,34.257957
2009-10-01,32.68,37.799999,30.01,32.82,4904900,28.032671
2009-09-01,32.259998,34.459999,28.76,32.880001,4206200,28.08392
2009-08-03,29.52,34.950001,28.77,32.290001,3788800,27.579981
2009-07-01,25.76,29.889999,22.700001,28.59,3609800,24.290501
2009-06-01,30.959999,32.830002,24.860001,25.389999,4537200,21.571732
2009-05-01,27.07,30.41,25.00,30.110001,5228600,25.581917
2009-04-01,23.00,28.059999,22.200001,27.059999,4148100,22.845812
2009-03-02,21.35,25.969999,16.950001,23.799999,4460100,20.093508
2009-02-02,17.27,23.49,17.27,21.99,4676700,18.565388
2009-01-02,23.290001,24.99,17.700001,17.85,3842900,14.953901
2008-12-01,18.309999,23.57,15.30,23.07,3686300,19.326973
2008-11-03,28.92,29.969999,13.66,19.33,5186800,16.193775
2008-10-01,38.959999,39.330002,23.75,28.959999,4647700,24.018032
2008-09-02,53.389999,55.830002,35.139999,39.450001,4404300,32.717934
2008-08-01,55.619999,56.740002,48.209999,52.450001,3384700,43.499512
2008-07-01,62.00,65.00,51.450001,55.220001,3779400,45.638992
2008-06-02,72.720001,72.720001,62.57,62.68,2879100,51.804634
2008-05-01,74.25,77.25,70.07,72.599998,1910300,60.003452
2008-04-01,73.900002,78.349998,69.550003,74.309998,2603800,61.268818
2008-03-03,77.589996,80.50,70.879997,73.139999,2608300,60.30415
2008-02-01,80.00,82.059998,73.739998,77.529999,2230800,63.923717
2008-01-02,79.639999,80.629997,66.050003,79.589996,2493000,65.480743
2007-12-03,81.610001,84.540001,79.150002,79.970001,1271100,65.793388
2007-11-01,77.699997,82.639999,70.639999,82.040001,2781100,67.496429
2007-10-01,80.699997,85.769997,75.199997,79.199997,1716900,65.017311
2007-09-04,78.790001,84.239998,74.269997,80.699997,1936700,66.248695
2007-08-01,69.900002,81.00,67.910004,78.699997,2557300,64.60685
2007-07-02,73.32,75.720001,67.720001,69.900002,2109300,57.255688
2007-06-01,82.599998,83.00,71.220001,72.980003,1873400,59.778545
2007-05-01,81.440002,84.160004,79.050003,82.650002,1839900,67.555977
2007-04-02,75.870003,84.919998,75.760002,81.660004,1975500,66.74678
2007-03-01,77.00,78.410004,71.75,75.68,2142000,61.858879
2007-02-01,79.620003,83.82,76.360001,78.099998,2036700,63.693516
2007-01-03,69.720001,81.480003,69.720001,79.540001,1887100,64.867889
2006-12-01,67.629997,71.540001,65.75,69.629997,1861900,56.785908
2006-11-01,75.989998,76.699997,66.169998,67.440002,3106000,54.999886
2006-10-02,69.279999,79.419998,68.949997,76.650002,2181600,62.357365
2006-09-01,64.519997,72.269997,62.509998,69.480003,1953200,56.52433
2006-08-01,52.459999,65.550003,51.759998,64.529999,2823500,52.497334
2006-07-03,55.48,56.610001,49.98,52.959999,1972500,42.961426
2006-06-01,57.950001,58.50,53.650002,55.43,1699900,44.965103
2006-05-01,61.200001,65.190002,57.619999,57.849998,2581800,46.928219
2006-04-03,58.200001,61.400002,55.299999,60.73,2233400,49.117393
2006-03-01,68.099998,69.459999,54.50,58.299999,3063300,47.15205
2006-02-01,66.099998,70.940002,63.259998,67.32,2194300,54.447273
2006-01-03,66.00,68.25,60.82,66.389999,2506300,53.552994
2005-12-01,61.860001,66.599998,58.459999,65.18,1997900,52.576958
2005-11-01,52.900002,64.599998,51.009998,61.32,2738100,49.463318
2005-10-03,50.07,52.849998,45.59,51.990002,2481100,41.821423
2005-09-01,55.610001,55.610001,44.169998,49.849998,3147300,40.099976
2005-08-01,72.00,72.660004,52.869999,55.610001,3032800,44.733395
2005-07-01,68.900002,74.099998,68.199997,72.050003,1387600,57.785213
2005-06-01,57.330002,71.00,57.040001,68.699997,1873000,55.098457
2005-05-02,54.200001,58.990002,52.509998,57.330002,2218900,45.979546
2005-04-01,57.240002,59.98,52.209999,53.950001,1394300,43.174438
2005-03-01,53.700001,58.610001,53.150002,57.240002,1218300,45.80732
2005-02-01,50.25,57.040001,49.740002,53.700001,2084100,42.974373
2005-01-03,47.240002,53.029999,45.82,50.119999,1875400,40.017117
2004-12-01,45.599998,47.450001,43.099998,46.950001,1744400,37.486107
2004-11-01,39.049999,47.27,38.509998,45.549999,2232900,36.368309
2004-10-01,31.610001,39.939999,31.52,39.18,1898600,31.197439
2004-09-01,28.00,33.75,27.700001,31.50,1427200,25.082167
2004-08-02,36.880001,37.77,27.42,28.00,2284000,22.295259
2004-07-01,38.700001,38.700001,33.439999,36.880001,1561400,29.241358
2004-06-01,36.25,39.459999,35.860001,38.75,1419700,30.724039
2004-05-03,31.43,36.84,30.93,36.43,1930700,28.884562
2004-04-01,33.75,36.380001,30.25,31.450001,1750900,24.849684
2004-03-01,31.620001,34.27,30.00,33.84,1608500,26.7381
2004-02-02,26.280001,32.07,25.530001,31.530001,2400500,24.813307
2004-01-02,24.85,26.469999,23.07,25.90,1947300,20.382639
2003-12-01,29.360001,29.360001,23.09,24.709999,2673500,19.446138
2003-11-03,28.50,30.129999,27.35,29.35,2089400,23.097702
