Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.16,19.16,18.799999,18.860001,31800,16.334173
2013-03-01,18.68,19.60,18.41,18.91,14600,16.377476
2013-02-01,18.540001,19.799999,17.530001,18.709999,19700,16.204262
2013-01-02,20.23,21.02,18.200001,18.42,18800,15.9531
2012-12-03,18.959999,20.00,18.27,19.98,18300,17.147892
2012-11-01,17.639999,18.889999,16.139999,18.73,15300,16.075077
2012-10-01,18.620001,19.17,15.98,17.66,19300,15.156746
2012-09-04,16.870001,19.860001,16.780001,18.450001,32000,15.68259
2012-08-01,15.80,18.40,15.80,16.860001,23200,14.331082
2012-07-02,18.23,19.25,15.65,15.71,21300,13.353577
2012-06-01,15.31,18.450001,15.20,18.33,42300,15.425986
2012-05-01,18.559999,18.60,15.22,15.53,51000,13.069589
2012-04-02,20.10,20.309999,18.139999,18.58,62800,15.636378
2012-03-01,21.27,21.49,19.32,20.129999,36300,16.787731
2012-02-01,21.57,23.790001,21.209999,21.209999,38000,17.688416
2012-01-03,19.91,21.780001,19.299999,21.450001,32000,17.888567
2011-12-01,20.35,20.969999,18.620001,19.34,49100,15.984749
2011-11-01,19.98,20.99,16.40,20.549999,46200,16.984827
2011-10-03,20.209999,23.780001,18.049999,20.99,34900,17.348494
2011-09-01,21.370001,22.709999,19.00,20.450001,39000,16.766052
2011-08-01,26.50,26.74,17.75,21.33,37200,17.487526
2011-07-01,23.42,27.73,23.16,26.049999,28800,21.357244
2011-06-01,23.530001,24.43,22.00,23.450001,22600,19.082857
2011-05-02,26.950001,26.950001,21.959999,23.639999,30500,19.237471
2011-04-01,27.690001,27.83,23.120001,26.870001,27600,21.865942
2011-03-01,26.620001,27.76,23.50,27.58,22900,22.284918
2011-02-01,25.18,27.09,24.17,26.52,26100,21.428427
2011-01-03,28.370001,28.59,24.66,24.91,26100,20.127529
2010-12-01,27.00,29.84,25.50,28.049999,28500,22.51568
2010-11-01,25.860001,28.85,24.879999,26.34,33300,21.143068
2010-10-01,25.15,27.290001,23.610001,25.85,28600,20.749746
2010-09-01,21.85,25.50,21.85,24.82,30100,19.781221
2010-08-02,24.50,25.129999,20.299999,21.48,33700,17.119284
2010-07-01,20.950001,24.75,19.85,24.01,58900,19.135662
2010-06-01,22.790001,25.040001,20.700001,20.83,59800,16.458538
2010-05-03,25.870001,27.10,20.43,23.17,72300,18.307457
2010-04-01,25.08,27.07,24.16,25.709999,56600,20.314404
2010-03-01,25.90,29.08,24.809999,24.82,44200,19.47138
2010-02-01,25.74,26.610001,22.01,25.76,44300,20.208815
2010-01-04,32.009998,32.869999,25.459999,25.530001,46000,20.028378
2009-12-01,29.23,33.299999,28.33,31.530001,50700,24.59145
2009-11-02,27.07,30.280001,26.440001,29.24,35900,22.805389
2009-10-01,26.50,30.68,26.34,26.90,43100,20.980335
2009-09-01,23.57,30.00,22.469999,26.59,32400,20.614164
2009-08-03,22.99,27.57,22.309999,23.879999,36500,18.513208
2009-07-01,23.809999,26.940001,20.00,22.73,42300,17.62166
2009-06-01,26.65,28.879999,20.690001,23.450001,62200,18.020918
2009-05-01,24.43,29.620001,23.35,25.959999,84700,19.949808
2009-04-01,13.00,26.00,12.69,24.360001,96900,18.720238
2009-03-02,10.53,14.23,7.58,13.26,124500,10.083749
2009-02-02,18.25,21.27,10.80,10.95,69100,8.327078
2009-01-02,22.08,24.969999,17.370001,18.49,42100,14.060974
2008-12-01,15.99,23.15,14.15,21.700001,76300,16.353989
2008-11-03,24.040001,25.74,12.45,16.65,77300,12.548105
2008-10-01,26.25,27.00,15.46,23.639999,83500,17.81605
2008-09-02,44.41,44.580002,23.73,25.90,91300,19.335518
2008-08-01,43.650002,45.689999,40.150002,43.439999,50300,32.429916
2008-07-01,43.540001,45.830002,38.779999,43.48,73100,32.459778
2008-06-02,46.75,53.689999,43.619999,44.48,97000,33.060684
2008-05-01,45.279999,48.400002,41.939999,46.66,90700,34.681015
2008-04-01,42.669998,50.880001,42.169998,45.220001,107400,33.610706
2008-03-03,38.00,45.68,36.099998,42.990002,123000,31.829546
2008-02-01,38.439999,40.799999,35.32,37.860001,100300,28.031324
2008-01-02,37.849998,38.959999,29.00,38.77,98900,28.705082
2007-12-03,35.599998,41.939999,33.299999,38.130001,92100,28.111742
2007-11-01,40.00,40.23,33.709999,35.220001,131900,25.966314
2007-10-01,39.580002,47.00,38.689999,40.080002,134800,29.5494
2007-09-04,42.779999,45.009998,38.91,39.380001,132800,28.934046
2007-08-01,42.049999,46.799999,36.34,42.529999,147400,31.248474
2007-07-02,40.549999,54.459999,40.099998,42.220001,205600,31.020706
2007-06-01,37.880001,40.34,36.009998,40.09,134800,29.356468
2007-05-01,35.970001,39.240002,35.060001,37.880001,117200,27.738165
2007-04-02,29.00,37.720001,28.84,36.02,127100,26.376154
2007-03-01,25.15,29.299999,22.99,28.889999,98700,21.055696
2007-02-01,29.809999,31.08,25.120001,25.25,88000,18.402781
2007-01-03,33.00,33.580002,28.32,29.83,87400,21.740789
2006-12-01,34.689999,37.330002,33.009998,33.48,60800,24.323383
2006-11-01,33.18,36.849998,30.50,34.689999,67900,25.202454
2006-10-02,31.049999,36.00,29.93,33.200001,150500,24.119963
2006-09-01,29.00,33.02,26.74,30.93,167700,22.401377
2006-08-01,31.32,31.549999,25.190001,28.84,83400,20.887672
2006-07-03,28.65,33.759998,26.790001,31.52,145300,22.82869
2006-06-01,32.860001,35.98,24.620001,28.65,159200,20.685118
2006-05-01,29.40,35.439999,25.98,32.860001,135500,23.72471
2006-04-03,20.00,29.940001,18.42,29.49,130900,21.291592
2006-03-01,20.299999,20.959999,17.76,20.00,50500,14.372616
2006-02-01,19.450001,21.90,18.799999,20.309999,69300,14.595391
2006-01-03,14.61,19.860001,13.91,19.440001,28800,13.970183
2005-12-01,14.42,15.14,14.18,14.51,3300,10.355271
2005-11-01,14.81,14.95,14.02,14.42,3600,10.291041
2005-10-03,15.70,15.70,14.30,14.31,3400,10.212539
2005-09-01,14.10,15.92,14.10,15.47,3500,10.967515
2005-08-01,14.00,14.58,13.95,14.10,2600,9.996249
2005-07-01,11.92,14.00,11.85,13.99,6900,9.918263
2005-06-01,11.63,12.00,11.46,12.00,7300,8.436961
2005-05-02,12.00,12.22,10.88,11.53,16700,8.106514
2005-04-01,13.53,13.53,12.20,12.23,13300,8.598669
2005-03-01,13.34,13.88,13.07,13.53,8800,9.440499
2005-02-01,13.65,14.15,12.85,13.25,9900,9.245131
2005-01-03,14.60,14.94,13.40,13.64,6600,9.517251
2004-12-01,13.37,14.68,13.00,14.60,10000,10.114941
2004-11-01,13.32,14.09,13.00,13.47,6900,9.332072
2004-10-01,13.36,13.51,13.00,13.32,3500,9.228151
2004-09-01,13.24,13.35,12.95,13.26,3000,9.117458
2004-08-02,13.00,13.29,12.95,13.23,3400,9.09683
2004-07-01,12.86,13.15,12.80,13.10,4700,9.007444
2004-06-01,13.02,13.30,12.75,12.86,17700,8.774716
2004-05-03,12.94,13.40,12.89,12.97,19200,8.849772
2004-04-01,12.98,13.32,12.81,12.94,9700,8.829302
2004-03-01,13.80,13.80,12.50,12.91,10100,8.741281
2004-02-02,13.46,13.75,12.83,13.75,14700,9.310039
2004-01-02,13.70,13.95,12.99,13.60,12900,9.208475
2003-12-01,10.75,14.12,10.70,13.67,27300,9.187914
2003-11-03,12.20,12.43,10.25,10.72,13300,7.205153
2003-10-01,11.95,13.00,11.82,12.15,5200,8.166287
2003-09-02,12.40,13.50,11.99,11.99,6500,7.992747
2003-08-01,11.81,12.35,11.60,12.30,4600,8.199398
2003-07-01,13.50,13.82,11.39,11.84,24500,7.892754
2003-06-02,14.24,15.38,13.40,13.40,31400,8.860054
2003-05-01,13.35,14.45,13.10,14.30,14900,9.455132
2003-04-01,12.99,13.45,12.30,13.32,10200,8.807158
2003-03-03,12.50,13.48,11.97,12.98,6900,8.514506
2003-02-03,12.57,12.85,11.90,12.50,4300,8.19964
2003-01-02,12.26,13.55,12.23,12.67,4700,8.311155
2002-12-02,12.64,12.81,11.95,12.16,1700,7.9165
2002-11-01,11.95,12.74,11.70,12.69,4200,8.261544
2002-10-01,9.81,12.01,9.81,11.97,5200,7.792804
2002-09-03,10.90,11.40,9.81,9.81,10800,6.32541
2002-08-01,11.99,12.08,9.90,11.00,12300,7.092712
2002-07-01,12.00,12.17,11.30,11.97,12500,7.718161
2002-06-03,11.99,12.15,11.75,12.00,14500,7.673025
2002-05-01,12.35,12.35,11.60,11.95,6000,7.641054
2002-04-01,11.70,12.50,11.46,12.01,3600,7.67942
2002-03-01,10.70,11.85,10.45,11.65,9300,7.387152
2002-02-01,11.30,11.60,10.40,10.70,11800,6.784766
2002-01-02,10.85,11.30,10.70,11.27,4200,7.146198
