Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,86.690002,86.830002,85.239998,85.510002,2554200,78.974243
2013-03-01,85.849998,90.339996,85.32,87.120003,1003700,80.461189
2013-02-01,88.150002,89.129997,84.150002,86.339996,1040500,79.096848
2013-01-02,85.459999,89.989998,85.040001,87.43,1031000,80.095413
2012-12-03,83.199997,86.309998,81.160004,84.019997,982900,76.971474
2012-11-01,78.07,83.339996,77.00,82.940002,1524900,75.408638
2012-10-01,82.529999,85.949997,76.779999,77.529999,1302900,70.489891
2012-09-04,82.459999,85.830002,81.160004,82.699997,914600,75.190422
2012-08-01,80.830002,85.169998,79.389999,82.580002,808900,74.503639
2012-07-02,79.949997,82.00,77.209999,80.43,1199200,72.563904
2012-06-01,77.779999,81.720001,76.110001,80.730003,1485900,72.834572
2012-05-01,84.82,86.849998,77.580002,79.040001,1208600,70.718681
2012-04-02,91.830002,92.790001,81.580002,85.489998,1554000,76.489624
2012-03-01,90.669998,92.480003,88.150002,91.800003,969700,82.135315
2012-02-01,88.989998,92.440002,88.519997,90.239998,839300,80.172516
2012-01-03,86.620003,92.230003,85.599998,88.029999,1160300,78.209068
2011-12-01,83.709999,86.629997,80.029999,85.190002,1024200,75.685913
2011-11-01,82.980003,87.760002,76.639999,83.75,1096800,73.898727
2011-10-03,75.900002,90.199997,72.260002,86.139999,1520600,76.007599
2011-09-01,81.639999,83.139999,75.040001,76.370003,1678300,67.386818
2011-08-01,89.970001,90.110001,74.580002,81.870003,1927500,71.709503
2011-07-01,95.470001,98.00,87.75,88.730003,1259500,77.71814
2011-06-01,94.93,95.93,89.25,95.580002,1358700,83.718018
2011-05-02,96.00,96.00,89.25,95.089996,1021400,82.779465
2011-04-01,90.529999,96.00,89.18,95.519997,1109200,83.153801
2011-03-01,92.459999,92.50,83.220001,90.18,1640300,78.505127
2011-02-01,88.440002,95.00,87.870003,92.00,1617900,79.574974
2011-01-03,91.540001,91.709999,85.540001,87.25,1620200,75.466484
2010-12-01,87.889999,91.389999,86.019997,90.949997,1029100,78.666779
2010-11-01,85.50,87.68,82.860001,86.220001,918000,74.175133
2010-10-01,83.220001,86.50,80.900002,84.970001,1218300,73.099754
2010-09-01,74.970001,84.43,74.040001,82.82,1672400,71.250107
2010-08-02,73.580002,77.839996,72.809998,74.029999,1480700,63.316414
2010-07-01,64.540001,73.989998,64.129997,72.580002,1492800,62.076263
2010-06-01,68.300003,72.940002,64.620003,64.809998,1789500,55.430729
2010-05-03,77.300003,77.360001,64.470001,69.059998,2169200,58.638733
2010-04-01,74.440002,80.239998,73.190002,76.779999,1422300,65.193771
2010-03-01,68.800003,75.540001,68.040001,73.949997,1949800,62.790821
2010-02-01,76.650002,77.639999,65.050003,68.580002,3123600,57.847137
2010-01-04,82.110001,83.800003,75.910004,75.959999,1420000,64.072159
2009-12-01,83.830002,84.510002,79.550003,81.059998,1112900,68.374001
2009-11-02,78.00,85.440002,77.230003,82.93,1126500,69.570625
2009-10-01,77.669998,84.43,73.760002,77.129997,1724400,64.704956
2009-09-01,74.589996,80.599998,72.93,77.580002,1561100,65.082466
2009-08-03,75.00,77.50,72.199997,75.029999,1135100,62.582706
2009-07-01,64.900002,75.57,60.52,74.599998,1525300,62.224041
2009-06-01,65.57,69.93,61.360001,64.589996,1660900,53.874676
2009-05-01,65.790001,67.889999,59.599998,64.779999,2063200,53.660168
2009-04-01,55.540001,67.93,54.73,65.900002,1818700,54.587917
2009-03-02,45.369999,60.200001,43.439999,56.25,2629900,46.594391
2009-02-02,49.240002,56.98,45.560001,46.25,2650400,38.017597
2009-01-02,50.310001,59.639999,49.900002,50.299999,2895300,41.346706
2008-12-01,46.709999,54.48,43.00,50.27,2595300,41.322048
2008-11-03,57.889999,61.419998,41.459999,47.759998,2484400,38.898422
2008-10-01,68.010002,68.510002,46.330002,58.130001,3349400,47.344334
2008-09-02,93.349998,93.349998,65.050003,68.489998,2995000,55.782097
2008-08-01,95.709999,97.099998,86.160004,91.849998,1740500,74.346985
2008-07-01,97.669998,100.139999,94.169998,95.209999,1913200,77.066696
2008-06-02,101.32,106.059998,97.559998,98.860001,1818400,80.021149
2008-05-01,98.669998,103.220001,96.220001,101.919998,1181300,82.129517
2008-04-01,93.349998,102.68,92.199997,98.43,1257800,79.3172
2008-03-03,91.400002,95.769997,84.510002,92.00,1677400,74.13575
2008-02-01,90.559998,96.400002,88.07,91.330002,1334400,73.246338
2008-01-02,98.760002,98.800003,80.730003,89.669998,2373500,71.915024
2007-12-03,99.470001,105.019997,96.910004,98.629997,1536200,79.100906
2007-11-01,97.050003,101.160004,92.050003,99.040001,1535700,79.13044
2007-10-01,98.00,99.400002,94.07,97.849998,1187200,78.179665
2007-09-04,90.419998,98.510002,87.389999,97.760002,1261800,78.107758
2007-08-01,87.139999,91.699997,77.260002,90.010002,1767400,71.634407
2007-07-02,80.800003,90.940002,80.379997,86.370003,1764000,68.737511
2007-06-01,78.239998,82.739998,76.839996,80.370003,1293200,63.962418
2007-05-01,76.650002,79.400002,75.720001,77.989998,1182300,61.778927
2007-04-02,74.209999,79.00,73.300003,76.50,1089300,60.59864
2007-03-01,74.089996,76.419998,71.110001,73.959999,1101100,58.586609
2007-02-01,74.620003,78.629997,73.349998,74.809998,1129600,58.955578
2007-01-03,70.339996,75.00,68.580002,74.660004,1349100,58.837372
2006-12-01,69.400002,72.449997,68.760002,70.279999,790200,55.38562
2006-11-01,69.870003,71.93,68.75,69.139999,802300,54.229668
2006-10-02,66.75,70.080002,66.190002,69.669998,874400,54.64537
2006-09-01,66.650002,68.480003,64.620003,66.370003,1071100,52.057034
2006-08-01,63.509998,67.00,62.990002,66.290001,888400,51.732811
2006-07-03,64.300003,65.00,60.919998,63.93,1207800,49.891064
2006-06-01,64.699997,67.379997,59.18,63.919998,1505900,49.883255
2006-05-01,67.900002,69.25,62.689999,64.849998,1335700,50.33123
2006-04-03,67.540001,69.540001,65.449997,68.519997,1297900,53.179581
2006-03-01,64.160004,68.099998,62.560001,67.190002,1318300,52.14735
2006-02-01,61.700001,64.900002,60.50,64.160004,1119700,49.542301
2006-01-03,59.400002,62.50,58.009998,61.689999,1216900,47.63504
2005-12-01,59.599998,61.889999,58.849998,59.189999,815600,45.70462
2005-11-01,57.150002,60.549999,56.18,59.169998,928400,45.44635
2005-10-03,55.080002,57.779999,53.00,57.240002,1267700,43.963989
2005-09-01,55.400002,57.25,53.299999,55.139999,1424000,42.351051
2005-08-01,59.759998,61.599998,54.900002,55.400002,984100,42.301689
2005-07-01,60.25,60.970001,57.450001,59.759998,1309900,45.630848
2005-06-01,60.240002,62.830002,59.099998,60.299999,1038500,46.043175
2005-05-02,58.830002,61.349998,57.25,60.23,1067300,45.746552
2005-04-01,63.470001,64.059998,55.529999,58.73,1320500,44.607258
2005-03-01,62.700001,65.809998,62.049999,63.290001,1088300,48.070721
2005-02-01,58.91,63.290001,58.66,62.619999,938700,47.31773
2005-01-03,58.25,58.990002,55.990002,58.91,931400,44.514332
2004-12-01,57.50,59.18,56.130001,57.970001,818700,43.804039
2004-11-01,53.029999,57.369999,52.209999,57.25,1067200,43.046078
2004-10-01,54.130001,55.360001,51.849998,53.18,1005300,39.985859
2004-09-01,53.00,55.759998,52.02,54.380001,1158200,40.888134
2004-08-02,51.759998,52.98,49.150002,52.380001,837200,39.174313
2004-07-01,52.02,52.16,48.419998,51.75,933300,38.703144
2004-06-01,49.720001,52.68,48.349998,52.450001,1068900,39.226665
2004-05-03,49.900002,50.880001,47.490002,49.970001,990900,37.16256
2004-04-01,50.119999,53.200001,49.599998,49.810001,921700,37.043568
2004-03-01,48.650002,50.799999,46.709999,50.119999,1053300,37.274113
2004-02-02,49.91,51.599998,48.00,48.240002,1032200,35.710602
2004-01-02,52.82,55.400002,48.00,49.91,1449100,36.94685
2003-12-01,48.099998,53.07,48.099998,52.830002,933700,39.108437
2003-11-03,45.450001,48.220001,44.400002,47.939999,1101200,35.334717
2003-10-01,45.200001,48.48,44.119999,45.41,1095500,33.469952
2003-09-02,47.32,48.779999,44.50,45.099998,1177500,33.241463
2003-08-01,46.25,47.740002,44.150002,47.32,821500,34.699947
2003-07-01,41.220001,47.41,40.50,46.48,1456400,34.083973
2003-06-02,43.799999,44.139999,40.759998,41.599998,1351000,30.505449
2003-05-01,43.07,44.25,41.77,43.59,1076800,31.787998
2003-04-01,41.849998,43.970001,40.720001,43.07,1146800,31.408787
2003-03-03,39.349998,43.25,37.02,41.43,1091800,30.212818
2003-02-03,41.459999,41.869999,36.970001,38.759998,1067200,28.123135
2003-01-02,42.700001,44.200001,39.32,41.450001,1065500,30.074923
2002-12-02,44.849998,44.91,41.939999,42.75,792400,31.018164
2002-11-01,43.799999,45.040001,40.380001,44.220001,1215400,31.926031
2002-10-01,43.099998,46.50,40.34,44.200001,1159900,31.911592
2002-09-03,46.66,46.990002,40.00,42.009998,936300,30.33045
2002-08-01,44.25,48.900002,40.700001,46.91,913200,33.703106
2002-07-01,50.299999,51.66,40.200001,44.25,1167100,31.791994
2002-06-03,50.50,50.709999,45.59,50.470001,853500,36.260834
2002-05-01,48.049999,52.580002,47.099998,50.150002,757900,35.877602
2002-04-01,51.50,51.639999,46.099998,48.049999,1080100,34.375248
2002-03-01,48.75,53.52,48.650002,51.650002,1056000,36.95071
2002-02-01,46.25,49.50,45.48,48.50,1295200,34.560173
2002-01-02,47.00,47.990002,43.299999,46.25,1558000,32.956867
2001-12-03,45.720001,48.09,44.599998,46.91,900500,33.42717
2001-11-01,40.139999,46.349998,39.73,45.720001,653300,32.440536
2001-10-01,38.580002,41.09,36.150002,40.040001,873300,28.410303
2001-09-04,42.549999,43.25,32.25,38.580002,962900,27.374363
2001-08-01,41.50,43.549999,40.619999,42.400002,732200,29.92173
2001-07-02,45.849998,49.00,40.169998,40.830002,1282500,28.81378
2001-06-01,46.849998,48.700001,44.00,45.75,878600,32.285828
2001-05-01,42.50,47.52,41.650002,46.77,1040400,32.860565
2001-04-02,39.00,44.049999,37.98,42.990002,1035500,30.204739
2001-03-01,40.299999,43.450001,36.400002,38.400002,1207400,26.979809
2001-02-01,37.25,40.599998,37.110001,40.549999,1241200,28.351133
2001-01-02,40.625,42.4375,35.00,37.77,1015300,26.407455
2000-12-01,35.4375,42.25,34.75,41.00,839500,28.665756
2000-11-01,37.8125,37.8125,32.375,34.4375,802800,23.968889
2000-10-02,36.25,39.6875,30.50,37.3125,921500,25.969921
2000-09-01,36.3125,39.125,32.6875,36.00,869100,25.056408
2000-08-01,33.375,38.0625,32.8125,36.328121,531000,25.141378
2000-07-03,30.875,34.00,29.25,33.375,1017500,23.09763
2000-06-01,34.625,37.8125,30.625,30.8125,779500,21.324217
2000-05-01,30.8125,39.0625,30.3125,34.625,920200,23.825907
2000-04-03,28.6875,33.00,27.5625,31.0625,843100,21.374506
2000-03-01,25.75,30.3125,23.00,28.4375,1133500,19.568209
2000-02-01,29.625,31.0625,25.625,25.75,694200,17.60675
2000-01-03,33.3125,37.00,28.50,29.625,954700,20.25631
