Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.97,2.98,2.92,2.95,410000,2.95
2013-03-01,2.19,3.03,2.12,2.98,280800,2.98
2013-02-01,2.44,2.55,2.14,2.25,173800,2.25
2013-01-02,2.68,2.81,2.33,2.39,124900,2.39
2012-12-03,2.55,2.71,2.19,2.56,149200,2.56
2012-11-01,3.83,4.15,2.39,2.52,154400,2.52
2012-10-01,4.29,4.38,3.51,3.83,47600,3.83
2012-09-04,4.02,5.00,3.87,4.27,112400,4.27
2012-08-01,4.39,5.95,3.68,4.02,253800,4.02
2012-07-02,5.04,5.40,3.84,4.37,66400,4.37
2012-06-01,5.01,5.75,4.63,5.03,120100,5.03
2012-05-01,5.45,5.85,5.00,5.17,129000,5.17
2012-04-02,5.37,6.08,4.95,5.46,89600,5.46
2012-03-01,5.33,5.90,4.86,5.39,102800,5.39
2012-02-01,6.07,6.99,5.25,5.28,117700,5.28
2012-01-03,4.73,6.30,4.53,6.01,80200,6.01
2011-12-01,4.69,4.99,4.11,4.59,119300,4.59
2011-11-01,3.75,5.11,3.71,4.71,151800,4.71
2011-10-03,3.30,4.64,3.08,3.99,124500,3.99
2011-09-01,3.91,4.23,3.22,3.36,158900,3.36
2011-08-01,6.96,7.02,3.54,3.91,306500,3.91
2011-07-01,7.09,7.66,6.73,6.83,148800,6.83
2011-06-01,9.33,9.34,6.63,7.07,270200,7.07
2011-05-02,9.00,9.39,8.32,9.38,158500,9.38
2011-04-01,10.43,10.50,8.57,8.95,145700,8.95
2011-03-01,8.99,10.37,8.40,10.35,147700,10.35
2011-02-01,8.15,9.50,7.28,8.90,163500,8.90
2011-01-03,7.70,8.38,7.59,8.07,124800,8.07
2010-12-01,7.19,7.73,6.73,7.59,349500,7.59
2010-11-01,7.16,7.78,6.95,7.03,167400,7.03
2010-10-01,7.95,7.97,6.00,7.12,200000,7.12
2010-09-01,6.72,7.99,6.65,7.85,210500,7.85
2010-08-02,9.04,9.13,6.52,6.60,234500,6.60
2010-07-01,8.73,9.70,7.94,8.90,194200,8.90
2010-06-01,9.57,10.01,8.30,8.73,263100,8.73
2010-05-03,10.01,10.80,8.89,9.59,248100,9.59
2010-04-01,8.98,11.31,8.91,9.99,203300,9.99
2010-03-01,7.21,9.16,7.16,8.97,207600,8.97
2010-02-01,7.08,7.45,6.55,7.16,170700,7.16
2010-01-04,7.13,7.73,6.43,7.03,253600,7.03
2009-12-01,5.61,7.26,5.11,7.01,231000,7.01
2009-11-02,6.00,6.63,5.43,5.56,352200,5.56
2009-10-01,9.52,9.74,5.91,6.00,447600,6.00
2009-09-01,8.95,10.12,8.24,9.52,242900,9.52
2009-08-03,8.83,10.21,8.59,9.14,288000,9.14
2009-07-01,8.40,8.81,7.20,8.65,260800,8.65
2009-06-01,8.68,10.26,6.91,8.32,380500,8.32
2009-05-01,6.58,8.83,6.03,8.71,516400,8.71
2009-04-01,3.44,6.77,3.26,6.45,419200,6.45
2009-03-02,3.84,3.96,2.54,3.54,448600,3.54
2009-02-02,6.02,6.56,3.61,3.90,419700,3.90
2009-01-02,6.95,7.11,5.85,6.08,444400,6.08
2008-12-01,7.67,7.98,6.30,6.90,395800,6.90
2008-11-03,10.53,11.50,5.36,7.83,281400,7.83
2008-10-01,17.08,17.15,8.59,10.64,333600,10.64
2008-09-02,17.709999,21.83,15.42,17.25,317600,17.25
2008-08-01,15.93,18.09,14.83,17.709999,347100,17.709999
2008-07-01,16.50,17.549999,15.30,16.01,314600,16.01
2008-06-02,18.32,19.40,16.440001,16.65,300200,16.65
2008-05-01,15.83,19.969999,15.83,18.290001,363800,18.290001
2008-04-01,14.82,16.299999,14.57,15.87,262800,15.87
2008-03-03,16.129999,16.50,14.02,14.84,291100,14.84
2008-02-01,15.76,17.059999,14.52,16.18,379100,16.18
2008-01-02,16.49,16.84,13.49,15.65,332500,15.65
2007-12-03,15.53,18.17,15.00,16.48,389200,16.48
2007-11-01,20.00,20.790001,14.33,15.48,674300,15.48
2007-10-01,18.700001,23.00,18.25,20.280001,603900,20.280001
2007-09-04,24.370001,24.52,18.67,18.719999,489400,18.719999
2007-08-01,24.799999,25.43,20.10,24.43,819200,24.43
2007-07-02,31.15,31.50,24.389999,24.92,546300,24.92
2007-06-01,30.60,32.48,29.07,30.790001,616600,30.790001
2007-05-01,33.200001,33.240002,29.48,30.799999,733700,30.799999
2007-04-02,30.940001,33.799999,30.549999,33.200001,257700,33.200001
2007-03-01,32.400002,34.040001,30.25,30.790001,521400,30.790001
2007-02-01,31.360001,35.34,30.41,33.110001,289700,33.110001
2007-01-03,33.700001,34.619999,29.99,31.32,228900,31.32
2006-12-01,31.10,34.09,30.74,33.310001,232700,33.310001
2006-11-01,35.50,35.650002,29.16,31.26,283700,31.26
2006-10-02,31.950001,36.27,29.50,35.50,230700,35.50
2006-09-01,30.77,32.490002,28.379999,32.060001,177700,32.060001
2006-08-01,31.73,35.400002,29.190001,30.52,264700,30.52
2006-07-03,36.799999,38.59,31.43,31.98,215400,31.98
2006-06-01,34.66,36.990002,30.620001,36.25,319000,36.25
2006-05-01,35.619999,39.00,30.059999,34.669998,298100,34.669998
2006-04-03,34.759998,37.299999,33.169998,35.470001,414600,35.470001
2006-03-01,28.50,35.799999,28.27,34.689999,148000,34.689999
2006-02-01,27.15,28.90,25.84,28.700001,256700,28.700001
2006-01-03,25.50,28.450001,24.98,27.299999,96400,27.299999
2005-12-01,21.450001,25.950001,21.26,25.41,87700,25.41
2005-11-01,18.00,21.99,17.950001,21.51,108900,21.51
2005-10-03,17.10,17.82,16.549999,16.85,40000,16.85
2005-09-01,17.00,17.450001,16.15,17.10,62500,17.10
2005-08-01,17.85,18.40,16.60,16.99,88000,16.99
2005-07-01,16.00,18.049999,15.85,17.799999,65800,17.799999
2005-06-01,14.90,16.75,14.65,16.09,54800,16.09
2005-05-02,14.10,15.10,13.42,14.90,31200,14.90
2005-04-01,14.65,15.45,13.77,14.05,104600,14.05
2005-03-01,14.50,15.64,13.50,14.35,176300,14.35
2005-02-04,13.05,14.60,13.00,14.45,618500,14.45
