Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.17,13.24,12.48,12.50,2339400,11.91334
2013-03-01,12.69,13.79,11.91,13.20,1174900,12.580486
2013-02-01,13.88,14.50,12.42,12.67,1380900,12.021852
2013-01-02,12.39,14.25,12.16,13.74,1348600,13.037114
2012-12-03,12.28,13.20,11.46,11.96,1575100,11.348172
2012-11-01,13.00,13.29,10.53,12.25,2022200,11.567988
2012-10-01,15.45,16.00,12.82,12.91,1543100,12.191243
2012-09-04,13.20,15.72,13.05,15.43,1519100,14.511992
2012-08-01,13.24,15.43,12.66,13.21,1186600,12.42407
2012-07-02,14.80,15.14,12.13,13.08,1220000,12.301805
2012-06-01,13.43,14.97,12.51,14.78,1567800,13.842216
2012-05-01,17.93,18.219999,12.03,13.52,3560500,12.662163
2012-04-02,18.030001,19.639999,17.32,17.870001,1580300,16.736158
2012-03-01,21.200001,21.219999,17.870001,18.09,1860200,16.88525
2012-02-01,21.709999,22.99,20.00,21.02,1248200,19.620119
2012-01-03,21.02,22.15,17.620001,21.50,1619800,20.068151
2011-12-01,22.139999,22.889999,19.67,20.530001,1095500,19.162752
2011-11-01,22.559999,23.10,19.50,21.92,1631000,20.400385
2011-10-03,23.200001,25.950001,20.40,23.40,3828500,21.777782
2011-09-01,27.98,29.43,22.049999,23.190001,1425700,21.582342
2011-08-01,23.879999,28.60,21.00,27.57,1480200,25.591671
2011-07-01,21.059999,24.17,19.950001,23.459999,762800,21.77659
2011-06-01,22.940001,23.379999,19.700001,21.09,842400,19.576654
2011-05-02,22.09,23.40,20.889999,22.75,1220400,21.056595
2011-04-14,21.00,25.950001,20.799999,22.030001,9557900,20.390188
