Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.13,4.16,4.13,4.15,7400,4.15
2013-03-01,3.26,4.18,3.25,4.12,4000,4.12
2013-02-01,2.76,3.36,2.76,3.35,3400,3.35
2013-01-02,2.79,3.69,2.71,2.76,2700,2.76
2012-12-03,2.75,3.15,2.70,2.73,2300,2.73
2012-11-01,3.32,3.33,2.60,2.92,1500,2.92
2012-10-01,3.10,3.55,2.72,3.22,5600,3.22
2012-09-04,2.08,3.96,2.00,3.36,12500,3.36
2012-08-01,2.09,2.28,1.66,2.07,2000,2.07
2012-07-02,2.01,2.32,1.70,2.09,1100,2.09
2012-06-01,2.13,2.25,1.51,1.95,2000,1.95
2012-05-01,2.96,3.27,2.22,2.22,3400,2.22
2012-04-02,1.70,3.35,1.70,2.92,20300,2.92
2012-03-01,1.56,1.70,1.26,1.70,3100,1.70
2012-02-01,1.74,1.86,1.50,1.56,5500,1.56
2012-01-03,2.07,2.29,1.50,1.74,8300,1.74
2011-12-01,1.30,2.43,1.26,1.87,13400,1.87
2011-11-01,1.93,1.93,1.25,1.30,1800,1.30
2011-10-03,1.62,2.75,1.15,1.94,7100,1.94
2011-09-01,1.82,2.10,1.62,1.62,900,1.62
2011-08-01,2.10,2.51,1.72,1.88,5200,1.88
2011-07-01,2.59,2.66,2.05,2.24,5300,2.24
2011-06-01,2.50,4.85,1.75,2.61,36000,2.61
2011-05-02,2.49,3.74,2.21,2.58,13400,2.58
2011-04-01,3.08,3.29,2.10,2.54,7500,2.54
2011-03-01,3.86,3.99,2.95,3.08,3100,3.08
2011-02-01,5.87,6.69,3.55,3.96,16700,3.96
2011-01-03,7.95,10.49,5.83,5.95,12700,5.95
2010-12-01,8.75,8.99,6.81,7.95,4000,7.95
2010-11-01,7.75,8.71,7.60,8.71,1800,8.71
2010-10-01,8.03,8.30,7.56,7.75,1900,7.75
2010-09-01,8.02,9.33,7.71,8.12,4600,8.12
2010-08-02,8.13,8.65,7.50,8.17,3500,8.17
2010-07-01,7.91,8.23,7.50,8.03,5800,8.03
2010-06-01,8.62,8.95,7.59,8.10,17300,8.10
2010-05-03,8.54,9.53,7.60,8.53,11900,8.53
2010-04-01,10.75,11.53,8.49,8.49,6100,8.49
2010-03-01,9.46,11.64,8.50,10.75,9900,10.75
2010-02-01,11.12,11.55,9.19,9.47,4000,9.47
2010-01-04,12.40,12.40,11.01,11.07,3000,11.07
2009-12-01,10.19,13.02,10.00,12.25,3500,12.25
2009-11-02,9.94,10.19,8.27,10.19,3600,10.19
2009-10-01,11.48,12.56,9.85,9.88,3800,9.88
2009-09-01,12.18,12.60,10.80,11.57,2800,11.57
2009-08-03,12.34,14.06,10.98,12.28,4200,12.28
2009-07-01,10.55,12.33,10.12,12.19,3700,12.19
2009-06-01,10.93,12.00,10.10,10.20,16400,10.20
2009-05-01,9.69,11.86,9.62,10.90,2100,10.90
2009-04-01,9.92,9.92,9.62,9.79,400,9.79
2009-03-02,10.00,11.25,9.20,10.08,5100,10.08
2009-02-02,8.70,10.70,8.46,10.25,2500,10.25
2009-01-02,8.80,9.73,8.47,8.70,800,8.70
2008-12-01,9.00,9.10,8.10,8.95,800,8.95
2008-11-03,8.50,9.85,7.94,9.00,1500,9.00
2008-10-01,8.14,8.72,7.50,8.72,4500,8.72
2008-09-02,8.08,8.68,7.51,8.33,4100,8.33
2008-08-01,8.50,8.71,7.60,7.95,7500,7.95
2008-07-01,9.60,10.05,7.90,8.36,7300,8.36
2008-06-02,12.00,12.00,9.28,9.48,5100,9.48
2008-05-01,11.05,13.04,10.75,11.94,9100,11.94
2008-04-01,10.70,11.50,8.79,11.15,16300,11.15
2008-03-03,9.91,12.34,9.35,11.01,18100,11.01
2008-02-01,8.80,10.40,8.80,10.00,6600,10.00
2008-01-02,9.85,9.90,8.71,8.80,3600,8.80
2007-12-03,8.84,10.50,8.45,9.80,11800,9.80
2007-11-01,7.31,8.85,7.25,8.85,7800,8.85
2007-10-01,7.35,7.47,7.04,7.39,1900,7.39
2007-09-04,7.70,7.70,7.13,7.36,3600,7.36
