Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,41.419998,41.580002,40.849998,41.27,1176800,37.902657
2013-03-01,39.509998,41.450001,39.169998,41.439999,960000,38.058784
2013-02-01,38.52,39.98,38.040001,39.450001,792300,36.231159
2013-01-02,37.669998,38.900002,36.959999,38.279999,1132400,35.15662
2012-12-03,37.779999,38.50,36.560001,37.130001,960200,34.100452
2012-11-01,36.799999,38.259998,35.950001,38.169998,853600,34.825089
2012-10-01,36.98,37.450001,36.00,36.740002,711400,33.292065
2012-09-04,37.00,37.860001,35.50,37.060001,989400,33.582031
2012-08-01,36.360001,39.380001,35.950001,36.869999,866000,33.409863
2012-07-02,34.380001,36.959999,34.049999,36.25,675000,32.848045
2012-06-01,33.970001,35.00,32.75,34.279999,910400,30.838936
2012-05-01,34.34,34.889999,32.77,34.209999,778200,30.775963
2012-04-02,34.09,34.66,32.830002,34.240002,871900,30.802954
2012-03-01,34.43,34.450001,33.110001,34.029999,844700,30.403027
2012-02-01,33.73,34.669998,33.369999,34.279999,1181000,30.626381
2012-01-03,32.049999,33.939999,31.25,33.73,976100,29.929514
2011-12-01,31.129999,32.779999,30.34,31.860001,995300,28.270214
2011-11-01,29.879999,31.49,29.629999,31.07,1039300,27.569225
2011-10-03,30.280001,31.08,28.34,30.530001,1402300,26.889469
2011-09-01,29.93,31.030001,28.10,30.18,1368000,26.581203
2011-08-01,28.440001,29.82,25.389999,29.780001,1573600,26.228903
2011-07-01,29.450001,30.219999,27.540001,28.00,927100,24.457493
2011-06-01,29.90,30.15,28.280001,29.450001,1285200,25.724041
2011-05-02,29.91,30.700001,28.709999,30.01,1531200,26.213192
2011-04-01,28.110001,29.42,27.870001,29.379999,898700,25.470663
2011-03-01,27.809999,28.33,26.799999,28.049999,1270200,24.317635
2011-02-01,25.75,27.93,25.58,27.74,1337500,24.048885
2011-01-03,25.49,26.34,25.17,25.50,930000,21.928595
2010-12-01,24.68,25.82,24.50,25.290001,912600,21.748007
2010-11-01,24.059999,24.93,23.52,24.51,1235600,21.07725
2010-10-01,23.440001,24.120001,23.129999,23.879999,897300,20.353754
2010-09-01,22.90,23.52,22.16,23.27,1063800,19.833832
2010-08-02,21.67,23.00,21.440001,22.58,1415500,19.24572
2010-07-01,20.65,21.959999,19.92,21.379999,888700,18.045996
2010-06-01,20.309999,21.809999,19.780001,20.60,1476700,17.38763
2010-05-03,21.82,22.129999,19.41,20.34,1361600,17.168175
2010-04-01,21.790001,22.219999,20.75,21.780001,962800,18.206123
2010-03-01,22.389999,22.389999,20.389999,21.76,1587700,18.189405
2010-02-01,21.889999,23.00,21.200001,22.26,934800,18.607361
2010-01-04,22.41,23.77,21.389999,21.799999,1415700,18.050152
2009-12-01,22.389999,23.030001,21.34,22.41,1541500,18.555225
2009-11-02,19.09,22.280001,18.969999,22.24,3537700,18.414467
2009-10-01,19.99,20.17,18.91,18.969999,959800,15.544377
2009-09-01,20.00,20.50,19.51,19.940001,791700,16.339214
2009-08-03,19.75,20.50,18.700001,20.10,2340400,16.470322
2009-07-01,18.23,19.91,18.07,19.709999,654000,15.975378
2009-06-01,16.75,19.49,16.549999,19.110001,2193500,15.489066
2009-05-01,18.00,18.77,16.860001,17.280001,578000,14.005812
2009-04-01,18.99,19.09,17.43,18.00,344300,14.426467
2009-03-02,18.389999,19.50,16.219999,19.24,500200,15.42029
2009-02-02,21.16,21.540001,17.969999,18.549999,397600,14.867275
2009-01-02,21.129999,21.49,19.610001,21.18,327700,16.81386
2008-12-01,19.90,22.35,17.85,20.879999,577700,16.575703
2008-11-03,19.82,21.49,18.51,20.280001,570300,16.09939
2008-10-01,21.190001,21.469999,16.469999,20.280001,478700,15.945182
2008-09-02,23.00,23.00,18.75,21.50,543400,16.904408
2008-08-01,19.389999,23.120001,19.049999,22.950001,544300,18.044474
2008-07-01,22.40,23.23,18.09,19.25,433900,14.990297
2008-06-02,22.370001,23.65,21.07,22.18,1003600,17.271938
2008-05-01,21.219999,22.450001,20.51,21.50,911400,16.742411
2008-04-23,20.60,21.49,20.219999,21.15,5612700,16.469858
