Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.62,13.92,13.40,13.49,3720000,13.49
2013-03-01,12.50,13.72,12.00,13.65,1683400,13.65
2013-02-01,11.79,12.95,11.50,12.65,2075200,12.65
2013-01-02,11.40,12.27,10.94,11.68,1649300,11.68
2012-12-03,10.50,11.23,9.98,11.20,1220100,11.20
2012-11-01,10.85,11.14,9.27,10.46,1312400,10.46
2012-10-01,11.42,12.70,10.15,10.87,1978800,10.87
2012-09-04,11.14,12.94,10.82,11.27,1648900,11.27
2012-08-01,10.90,11.73,9.71,11.17,1116200,11.17
2012-07-02,10.49,11.15,9.40,10.79,1627600,10.79
2012-06-01,8.95,10.60,7.93,10.49,1676500,10.49
2012-05-01,9.72,10.06,8.19,9.26,1511600,9.26
2012-04-02,11.70,12.30,9.44,9.69,1825700,9.69
2012-03-01,11.54,12.03,10.69,11.71,1435900,11.71
2012-02-01,12.25,13.08,11.36,11.39,2379200,11.39
2012-01-03,10.23,12.59,9.91,12.06,2388300,12.06
2011-12-01,8.67,10.10,8.12,9.89,1663900,9.89
2011-11-01,9.23,9.50,7.50,8.77,2182200,8.77
2011-10-03,7.48,10.16,6.77,9.69,2337100,9.69
2011-09-01,9.31,9.35,6.81,7.63,2420000,7.63
2011-08-01,11.95,12.11,7.66,9.35,3189600,9.35
2011-07-01,11.43,12.07,10.42,11.47,2751300,11.47
2011-06-01,11.53,11.69,9.66,11.38,2093700,11.38
2011-05-02,12.93,12.97,10.53,11.56,2046300,11.56
2011-04-01,12.76,13.44,11.00,12.80,2638800,12.80
2011-03-01,13.38,13.79,12.12,12.59,2148600,12.59
2011-02-01,14.49,14.91,12.55,13.37,3096700,13.37
2011-01-03,13.00,16.200001,12.95,14.30,3136400,14.30
2010-12-01,11.02,13.36,10.43,12.86,1791900,12.86
2010-11-01,9.16,11.60,8.84,10.74,3095600,10.74
2010-10-01,9.14,10.15,8.52,9.22,3057900,9.22
2010-09-01,8.57,9.49,8.40,9.02,1808400,9.02
2010-08-02,9.55,10.45,8.21,8.37,2306000,8.37
2010-07-01,7.32,9.96,6.67,9.31,3260000,9.31
2010-06-01,8.78,9.97,7.27,7.33,2489500,7.33
2010-05-03,10.84,11.12,7.50,8.97,3983500,8.97
