Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,62.290001,62.369999,59.919998,60.099998,2399000,56.352631
2013-03-01,55.040001,64.959999,54.57,62.16,1088100,58.284187
2013-02-01,56.00,61.00,51.389999,56.580002,2362100,52.983227
2013-01-02,42.57,58.00,40.75,56.18,5247400,52.608654
2012-12-03,46.540001,46.540001,39.650002,41.279999,931300,38.655842
2012-11-01,35.779999,47.169998,35.330002,45.860001,955000,42.86821
2012-10-01,36.450001,40.57,35.27,35.389999,641400,33.081245
2012-09-04,39.700001,40.880001,35.41,36.220001,830700,33.857101
2012-08-01,33.099998,39.970001,32.50,39.639999,754800,36.974106
2012-07-02,25.790001,34.990002,24.52,32.779999,1029400,30.575459
2012-06-01,28.969999,29.16,23.799999,25.67,737800,23.943626
2012-05-01,35.470001,37.240002,27.25,29.76,789700,27.668146
2012-04-02,34.810001,36.110001,31.190001,35.450001,280000,32.958191
2012-03-01,32.43,35.00,30.059999,34.880001,565200,32.428257
2012-02-01,33.450001,35.23,31.32,32.259998,1199400,29.992416
2012-01-03,20.26,35.560001,20.24,35.049999,1141200,32.586308
2011-12-01,19.129999,20.530001,17.360001,19.49,464300,18.120031
2011-11-01,17.200001,20.83,16.290001,19.209999,579400,17.859713
2011-10-03,13.71,19.559999,12.19,18.10,477200,16.827736
2011-09-01,21.360001,22.959999,13.69,13.83,579300,12.857878
2011-08-01,20.459999,22.23,15.45,21.190001,967600,19.700539
2011-07-01,24.24,25.42,19.25,20.040001,547800,18.631372
2011-06-01,28.190001,28.33,22.57,24.139999,718600,22.44318
2011-05-02,39.540001,40.23,26.620001,28.34,1285100,26.34796
2011-04-01,37.349998,40.59,34.279999,39.380001,848500,36.61195
2011-03-01,32.330002,38.150002,31.15,37.00,762000,34.399239
2011-02-01,27.02,33.060001,26.889999,31.92,682200,29.676317
2011-01-03,24.43,27.969999,23.68,26.629999,379800,24.758156
2010-12-01,20.90,24.75,20.90,24.059999,461400,22.368803
2010-11-01,20.49,21.620001,16.870001,20.33,385400,18.900988
2010-10-01,16.51,20.870001,15.61,20.23,415800,18.808016
2010-09-01,13.34,17.00,13.34,16.34,330500,15.191448
2010-08-02,15.67,16.309999,12.01,13.00,344800,12.08622
2010-07-01,13.34,16.200001,11.11,15.35,419400,14.271036
2010-06-01,17.219999,18.110001,13.26,13.34,450900,12.402321
2010-05-03,20.780001,20.780001,13.85,17.40,553700,16.176939
2010-04-01,18.49,21.790001,18.290001,20.540001,432100,19.096228
2010-03-01,14.30,19.08,13.98,18.49,430800,17.190323
2010-02-01,15.45,17.23,13.91,14.27,372700,13.266951
2010-01-04,17.65,18.93,15.10,15.35,188800,14.271036
2009-12-01,15.00,18.00,14.37,17.379999,225200,16.158344
2009-11-02,14.50,17.85,13.00,14.59,243400,13.564457
2009-10-01,29.969999,30.85,13.90,14.37,120300,13.359921
2009-09-01,29.91,36.240002,26.139999,30.00,177100,27.891275
2009-08-03,18.219999,47.189999,17.620001,30.01,650600,27.900574
2009-07-01,0.68,20.75,0.23,17.290001,305600,16.074673
2009-06-01,0.89,0.90,0.42,0.64,25300,14.875347
2009-05-01,1.10,1.66,0.71,0.89,25100,20.686029
2009-04-01,0.71,1.35,0.70,1.10,15200,25.567003
2009-03-02,0.67,2.00,0.22,0.71,41000,16.502338
2009-02-02,1.00,1.11,0.60,0.67,8400,15.572629
2009-01-02,1.12,1.70,0.94,0.94,19200,21.848166
2008-12-01,1.95,2.11,1.01,1.07,10400,24.86972
2008-11-03,2.30,2.98,1.16,2.10,17700,48.809731
2008-10-01,2.65,3.32,1.84,2.30,20200,53.458279
2008-09-02,3.50,4.84,2.18,2.50,26400,58.106823
2008-08-01,2.90,4.00,2.56,3.37,20400,78.327995
2008-07-01,2.90,4.00,1.96,2.90,33200,67.403915
2008-06-02,4.15,5.21,2.85,2.90,29200,67.403915
2008-05-01,6.00,6.50,3.99,4.24,30600,96.846375
2008-04-01,7.01,8.16,5.83,6.01,21100,137.275177
2008-03-03,6.02,8.00,4.92,6.93,24300,158.289001
2008-02-01,9.00,9.00,5.78,6.06,28400,136.385422
2008-01-02,6.68,7.90,3.12,7.80,50600,175.545593
2007-12-03,7.44,9.54,6.04,6.62,30400,148.988693
2007-11-01,11.83,12.28,6.16,7.44,44300,165.33728
2007-10-01,13.90,14.33,10.50,12.099999,30800,268.895294
2007-09-04,15.009999,15.71,13.77,13.90,23500,308.896271
2007-08-01,16.84,20.289999,14.04,14.969999,47000,330.950897
2007-07-02,18.18,21.359999,16.039999,16.190001,33400,357.92218
2007-06-01,17.26,19.23,16.129999,18.109999,26600,400.368774
2007-05-01,16.18,19.469999,16.17,17.26,56900,379.906494
2007-04-02,16.199999,17.869999,14.849999,15.969999,67600,351.512543
2007-03-01,18.91,19.209999,16.15,16.209999,43300,356.795135
2007-02-01,20.91,21.90,19.16,19.18,29900,420.253723
2007-01-03,19.799999,20.99,18.50,20.809999,30900,455.968689
2006-12-01,20.34,20.59,18.359999,19.309999,31800,423.102142
2006-11-01,21.50,22.07,20.33,20.369999,27600,444.41333
2006-10-02,27.25,28.65,21.199999,21.389999,34700,466.666718
2006-09-01,26.74,30.049999,25.969999,27.42,23700,598.223511
2006-08-01,25.209999,27.15,24.15,26.539999,18100,577.464294
2006-07-03,25.189999,25.939999,22.40,25.459999,22500,553.965393
2006-06-01,32.099998,32.649998,22.00,25.019999,46100,544.391785
2006-05-01,28.799999,32.880001,27.389999,32.23,34900,698.84021
2006-04-03,26.24,29.73,24.91,29.66,26300,643.115112
2006-03-01,28.709999,29.869999,25.949999,25.99,19600,563.538818
2006-02-01,34.079998,34.119999,27.08,28.699999,27600,620.553345
2006-01-03,30.469999,34.649998,29.269999,34.200001,22200,739.47467
