Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.52,12.28,10.82,11.25,16400,11.25
2013-03-01,8.52,12.46,8.05,11.15,8800,11.15
2013-02-01,9.90,10.22,8.40,8.69,16600,8.69
2013-01-02,14.90,15.49,9.58,9.96,17900,9.96
2012-12-03,8.40,15.77,7.51,14.91,25300,14.91
2012-11-01,6.61,9.49,6.30,7.98,14700,7.98
2012-10-01,10.10,10.15,6.22,6.50,8800,6.50
2012-09-04,4.99,10.40,4.88,10.00,38100,10.00
2012-08-01,6.12,6.26,4.80,5.05,10200,5.05
2012-07-02,6.05,6.34,6.05,6.12,3900,6.12
2012-06-01,6.68,6.75,5.80,6.05,4100,6.05
2012-05-01,8.00,8.17,6.38,6.80,1500,6.80
2012-04-02,8.97,8.97,7.48,7.77,2800,7.77
2012-03-01,8.51,8.99,7.22,8.74,6600,8.74
2012-02-01,6.04,8.90,6.00,8.56,13600,8.56
2012-01-03,6.61,8.25,5.64,6.00,14800,6.00
2011-12-01,6.00,6.91,5.75,6.69,5200,6.69
2011-11-01,7.50,8.74,6.05,6.26,13500,6.26
2011-10-03,7.27,7.65,6.06,7.46,5200,7.46
2011-09-01,7.33,7.79,7.10,7.27,2400,7.27
2011-08-01,8.95,8.95,7.09,7.33,4500,7.33
2011-07-01,9.22,9.40,8.60,8.94,3900,8.94
2011-06-01,9.54,9.74,9.15,9.15,1200,9.15
2011-05-02,10.00,10.19,9.28,9.64,2200,9.64
2011-04-01,9.98,10.22,9.50,10.00,1200,10.00
2011-03-01,10.22,10.60,9.35,9.77,2800,9.77
2011-02-01,12.76,13.07,10.03,10.26,3400,10.26
2011-01-03,11.49,13.82,11.25,12.83,3200,12.83
2010-12-01,12.02,14.62,11.22,12.00,4600,12.00
2010-11-01,9.89,12.17,9.64,12.17,4000,12.17
2010-10-01,12.41,12.80,9.96,9.99,7600,9.99
2010-09-01,11.19,13.89,10.11,12.37,3500,12.37
2010-08-02,11.97,12.25,10.98,11.01,2000,11.01
2010-07-01,12.51,13.25,11.90,11.97,3500,11.97
2010-06-01,13.57,15.32,12.37,12.58,12800,12.58
2010-05-03,14.33,14.51,13.03,13.44,6200,13.44
2010-04-01,14.50,15.75,13.50,14.50,3500,14.50
2010-03-01,13.46,15.59,13.46,14.53,3100,14.53
2010-02-01,13.76,14.29,13.38,13.40,3600,13.40
2010-01-04,13.78,14.79,13.34,13.70,4400,13.70
2009-12-01,13.65,14.58,13.07,13.70,5900,13.70
2009-11-02,12.15,14.24,12.09,13.48,5500,13.48
2009-10-01,13.33,14.93,12.10,12.17,7700,12.17
2009-09-01,12.00,15.39,11.56,13.20,13800,13.20
2009-08-03,12.73,13.60,11.04,11.77,10900,11.77
2009-07-01,11.40,12.63,9.70,12.59,11800,12.59
2009-06-01,14.42,16.940001,10.50,11.03,25500,11.03
2009-05-01,18.780001,20.60,13.55,14.40,25600,14.40
2009-04-01,15.71,20.65,15.01,18.59,14200,18.59
2009-03-02,18.65,20.24,13.18,15.70,10000,15.70
2009-02-02,27.450001,34.50,18.60,18.60,8400,18.60
2009-01-02,31.459999,37.150002,27.139999,27.75,10300,27.75
2008-12-01,28.299999,40.27,26.90,31.280001,12700,31.280001
2008-11-03,30.299999,34.540001,22.01,28.700001,15000,28.700001
2008-10-01,42.400002,43.689999,26.91,30.110001,19300,30.110001
2008-09-02,54.099998,62.66,40.380001,42.41,25100,42.41
2008-08-01,49.25,56.299999,46.799999,54.00,26800,54.00
2008-07-01,47.59,52.52,41.119999,49.400002,35400,49.400002
2008-06-02,50.25,55.00,46.509998,47.59,25200,47.59
2008-05-01,52.25,56.669998,46.18,50.009998,33300,50.009998
2008-04-01,52.650002,58.25,51.349998,52.150002,39400,52.150002
2008-03-03,37.00,57.189999,34.689999,52.299999,38300,52.299999
2008-02-01,46.00,47.75,34.470001,37.200001,25700,37.200001
2008-01-02,30.549999,46.34,27.940001,45.119999,41200,45.119999
2007-12-03,33.040001,36.400002,28.139999,30.549999,46600,30.549999
2007-11-01,37.25,39.490002,30.50,33.060001,48700,33.060001
2007-10-01,26.85,38.50,26.85,37.380001,100000,37.380001
2007-09-04,33.209999,34.68,26.17,26.799999,160400,26.799999
2007-08-01,40.900002,41.540001,28.52,33.599998,158600,33.599998
2007-07-02,47.740002,55.82,40.75,41.200001,176800,40.098984
2007-06-01,58.450001,63.419998,46.00,47.549999,127600,46.279289
2007-05-01,60.169998,69.309998,57.169998,58.299999,142700,56.742008
2007-04-02,78.00,78.00,59.00,60.259998,116500,58.649628
2007-03-01,88.50,94.75,73.459999,77.25,89200,75.185593
2007-02-01,103.75,111.75,90.040001,90.50,157500,88.081505
