Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.799999,28.860001,27.92,28.26,454800,27.014584
2013-03-01,26.35,29.200001,25.98,28.93,261300,27.655056
2013-02-01,24.030001,29.110001,23.790001,26.610001,396400,25.4373
2013-01-02,23.030001,24.16,21.84,23.90,326600,22.759192
2012-12-03,21.299999,23.50,20.860001,22.459999,295700,21.387926
2012-11-01,22.91,23.35,19.709999,21.09,381500,20.083321
2012-10-01,25.09,25.530001,22.290001,22.879999,216700,21.68358
2012-09-04,23.67,26.379999,23.360001,25.01,246500,23.702202
2012-08-01,23.99,24.879999,22.07,23.67,215900,22.432272
2012-07-02,24.290001,24.440001,21.620001,23.860001,376200,22.516886
2012-06-01,22.459999,24.870001,22.299999,24.290001,329000,22.922682
2012-05-01,26.360001,27.030001,22.690001,23.27,366000,21.960098
2012-04-02,26.219999,28.629999,26.120001,26.40,423500,24.808203
2012-03-01,27.77,28.07,25.690001,26.309999,284600,24.723629
2012-02-01,25.57,28.35,25.379999,27.700001,362200,26.029819
2012-01-03,24.68,26.02,23.99,25.290001,333200,23.6798
2011-12-01,24.68,25.00,22.530001,24.110001,323400,22.574928
2011-11-01,22.16,24.91,21.91,24.91,453000,23.323992
2011-10-03,19.040001,25.15,17.469999,23.27,456600,21.689642
2011-09-01,22.379999,23.190001,18.700001,19.25,485000,17.942656
2011-08-01,24.74,25.08,19.41,23.02,583300,21.456621
2011-07-01,24.809999,25.82,22.969999,24.35,288300,22.61293
2011-06-01,24.08,24.91,21.799999,24.809999,409100,23.040113
2011-05-02,24.90,25.85,23.040001,24.110001,589000,22.390051
2011-04-01,21.08,24.99,20.219999,24.74,633600,22.897652
2011-03-01,21.27,21.709999,20.10,20.879999,538400,19.3251
2011-02-01,19.959999,22.00,19.77,21.280001,564300,19.695314
2011-01-03,20.90,21.25,19.639999,19.82,387700,18.273005
2010-12-01,19.49,21.27,19.450001,20.67,321700,19.05666
2010-11-01,18.18,19.85,17.52,19.09,465300,17.599983
2010-10-01,17.66,18.940001,17.030001,18.190001,399300,16.701004
2010-09-01,15.46,18.110001,15.39,17.59,329900,16.150118
2010-08-02,18.65,18.870001,14.95,15.21,425400,13.96494
2010-07-01,16.360001,18.41,15.90,18.379999,296100,16.787384
2010-06-01,18.49,18.889999,16.16,16.389999,414600,14.969816
2010-05-03,21.040001,21.299999,17.33,18.719999,493000,17.097923
2010-04-01,19.65,22.40,19.41,20.799999,357500,18.913071
2010-03-01,16.219999,20.17,16.219999,19.450001,339500,17.685541
2010-02-01,16.129999,16.83,15.00,16.059999,281200,14.603073
2010-01-04,17.10,18.139999,16.00,16.040001,270400,14.510854
2009-12-01,15.52,17.48,15.52,16.90,302900,15.288866
2009-11-02,15.83,17.83,15.01,15.51,373000,14.03138
2009-10-01,17.02,19.110001,15.34,15.85,565600,14.268418
2009-09-01,14.60,17.870001,14.26,17.09,388700,15.384686
2009-08-03,14.41,15.75,13.52,14.69,458000,13.224167
2009-07-01,11.96,14.60,10.85,14.07,453800,12.598527
2009-06-01,15.55,16.940001,11.28,11.89,720500,10.646517
2009-05-01,14.25,16.09,13.20,15.26,538400,13.664074
2009-04-01,10.50,14.73,10.33,14.16,502800,12.552323
2009-03-02,10.06,11.88,7.69,10.69,490900,9.476295
2009-02-02,11.14,12.22,9.01,9.32,609700,8.26184
2009-01-02,14.40,16.040001,10.86,11.30,414900,9.847437
2008-12-01,12.92,15.08,11.64,14.50,586400,12.636091
2008-11-03,14.07,14.41,8.51,13.39,653400,11.668777
2008-10-01,20.030001,20.25,10.78,14.51,869900,12.453761
2008-09-02,24.209999,25.00,18.559999,20.219999,711200,17.354586
2008-08-01,22.59,26.200001,21.040001,24.120001,563500,20.701912
2008-07-01,22.879999,25.360001,20.91,22.59,582400,19.25728
2008-06-02,31.90,31.940001,22.700001,23.09,664100,19.683516
2008-05-01,26.110001,32.330002,25.950001,31.940001,660400,27.227869
2008-04-01,23.41,26.18,22.84,26.08,520100,22.116604
2008-03-03,22.709999,24.540001,20.370001,22.950001,516200,19.462273
2008-02-01,26.809999,27.60,22.27,22.74,693900,19.284187
2008-01-02,33.400002,34.150002,23.129999,26.639999,579600,22.459936
2007-12-03,30.690001,34.48,28.530001,33.389999,475300,28.150799
2007-11-01,35.98,36.610001,30.549999,30.959999,508500,26.102087
2007-10-01,31.700001,36.889999,30.85,36.73,468900,30.825872
2007-09-04,31.389999,33.470001,29.76,31.92,439900,26.789051
2007-08-01,31.42,32.540001,26.00,31.459999,767900,26.402992
2007-07-02,32.00,34.439999,29.67,31.200001,581400,26.062998
2007-06-01,29.610001,34.689999,29.25,31.68,978900,26.463966
2007-05-01,24.33,30.07,23.809999,29.49,942400,24.634544
2007-04-02,23.129999,24.84,22.620001,24.299999,329200,20.202139
2007-03-01,21.82,24.950001,20.24,23.01,490200,19.129681
2007-02-01,21.530001,23.709999,20.870001,22.34,388200,18.572666
2007-01-03,21.77,21.959999,19.76,21.42,245800,17.712152
2006-12-01,20.93,22.040001,20.48,21.75,257800,17.985029
2006-11-01,20.08,21.389999,19.60,20.950001,318300,17.323511
2006-10-02,17.57,20.98,17.139999,20.049999,519000,16.482233
2006-09-01,16.58,18.25,16.049999,17.559999,333400,14.435312
2006-08-01,16.83,17.60,15.90,16.42,360900,13.498168
2006-07-03,20.030001,20.030001,15.28,17.01,653400,13.877696
2006-06-01,41.34,43.41,18.719999,19.950001,389700,16.27631
2006-05-01,45.00,47.529999,40.220001,41.290001,401300,16.84333
2006-04-03,40.299999,47.950001,40.00,45.07,501800,18.273327
2006-03-01,38.400002,40.540001,36.599998,40.50,264300,16.420452
2006-02-01,37.869999,39.389999,36.299999,38.380001,312600,15.560912
2006-01-03,33.139999,38.00,32.25,37.869999,334100,15.265755
2005-12-01,34.599998,35.50,31.950001,33.00,235100,13.302612
2005-11-01,35.00,36.259998,33.889999,34.470001,220600,13.895184
2005-10-03,36.00,36.549999,32.799999,35.00,274500,14.019893
2005-09-01,34.549999,37.200001,33.599998,35.860001,335800,14.364382
2005-08-01,34.290001,35.619999,33.50,34.50,294800,13.819609
2005-07-01,33.150002,37.259998,32.82,34.040001,398100,13.547249
2005-06-01,30.639999,34.75,29.67,33.099998,191900,13.173146
2005-05-02,28.799999,31.60,28.620001,30.68,143200,12.210035
2005-04-01,27.17,31.40,25.299999,28.75,215200,11.363963
