Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.55,13.64,13.43,13.61,441200,11.788456
2013-03-01,14.73,15.22,13.26,13.54,285400,11.727825
2013-02-01,15.41,15.66,14.28,15.05,376900,13.035729
2013-01-02,13.45,15.42,13.14,15.20,376500,13.165653
2012-12-03,13.23,13.45,12.37,13.35,315300,11.563255
2012-11-01,13.35,14.65,12.25,13.02,269200,11.277422
2012-10-01,14.11,14.60,13.00,13.08,428100,11.329391
2012-09-04,12.77,16.58,12.52,14.11,654500,12.221538
2012-08-01,12.32,15.48,11.85,12.57,611800,10.887649
2012-07-02,13.35,13.50,10.73,12.15,422300,10.523861
2012-06-01,10.97,13.39,10.48,13.31,580900,11.528608
2012-05-01,14.10,14.44,10.52,11.20,618900,9.701008
2012-04-02,15.96,17.02,14.68,14.70,536000,12.173898
2012-03-01,18.33,19.34,15.35,15.93,552900,13.192531
2012-02-01,18.299999,19.65,17.049999,18.459999,476600,15.287766
2012-01-03,15.03,18.549999,14.00,18.02,581300,14.923378
2011-12-01,16.139999,16.540001,13.75,14.10,301600,11.677005
2011-11-01,17.049999,18.82,13.89,15.97,380300,13.225657
2011-10-03,15.48,18.780001,14.38,18.040001,730900,14.939941
2011-09-01,23.940001,24.370001,15.23,15.62,638000,12.935802
2011-08-01,24.459999,25.219999,16.719999,23.790001,703400,19.701839
2011-07-01,28.719999,29.559999,24.00,24.27,355700,20.099356
2011-06-01,31.790001,32.299999,26.99,29.08,310200,24.082787
2011-05-02,29.549999,32.150002,25.43,32.080002,297600,26.567257
2011-04-01,27.450001,30.629999,27.26,29.83,221400,23.753544
2011-03-01,24.549999,26.959999,24.00,26.93,192900,21.444283
2011-02-01,25.120001,25.889999,22.49,24.379999,171300,19.413723
2011-01-03,25.190001,26.030001,22.709999,25.23,205800,20.090576
2010-12-01,22.01,25.299999,21.32,25.10,145400,19.987059
2010-11-01,20.780001,22.17,20.35,21.469999,171400,17.096498
2010-10-01,20.93,22.23,20.18,20.85,158000,16.602795
2010-09-01,17.98,20.549999,16.870001,20.530001,204800,16.34798
2010-08-02,15.48,18.379999,15.05,17.940001,230100,14.285571
2010-07-01,13.99,15.70,13.72,15.28,229300,12.16742
2010-06-01,11.49,14.68,11.49,14.15,214100,11.267604
2010-05-03,14.41,14.80,10.17,11.74,434000,9.348528
2010-04-01,14.60,15.24,13.62,14.25,230600,11.347234
2010-03-01,14.37,15.65,14.09,14.47,181900,11.507577
2010-02-01,14.15,15.29,13.50,14.21,203800,11.300807
2010-01-04,16.99,17.860001,13.90,13.91,246100,11.062225
2009-12-01,13.38,17.00,13.38,16.41,288100,13.050404
2009-11-02,13.25,14.42,12.80,13.20,227200,10.497582
