Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.25,8.25,8.10,8.22,19400,8.22
2013-03-01,8.04,8.25,7.80,8.25,15900,8.25
2013-02-01,7.83,8.25,7.11,8.08,43300,8.08
2013-01-02,6.72,8.00,6.72,7.76,32700,7.76
2012-12-03,7.21,7.25,6.45,6.70,27800,6.70
2012-11-01,6.53,7.24,6.22,7.23,29100,7.23
2012-10-01,6.50,6.75,6.27,6.54,12600,6.54
2012-09-04,6.19,6.60,6.08,6.46,20700,6.46
2012-08-01,6.23,6.50,5.78,6.25,24500,6.25
2012-07-02,5.47,6.15,5.34,6.04,16800,6.04
2012-06-01,4.76,5.93,4.60,5.49,27200,5.49
2012-05-01,5.54,5.58,4.77,4.91,32500,4.91
2012-04-02,4.08,6.67,3.98,5.61,130000,5.61
2012-03-01,2.20,4.21,1.82,4.10,204600,4.10
2012-02-01,3.20,3.65,2.20,2.20,94700,2.20
2012-01-03,3.55,3.74,2.76,3.15,66100,3.15
2011-12-01,3.53,3.89,3.16,3.38,52100,3.38
2011-11-01,4.32,7.00,3.22,3.53,221900,3.53
2011-10-03,0.61,2.83,0.42,2.37,54900,2.37
2011-09-01,0.78,0.80,0.60,0.62,19900,3.10
2011-08-01,1.05,1.08,0.65,0.78,63400,3.90
2011-07-01,0.97,1.18,0.86,1.03,46700,5.15
2011-06-01,0.79,0.99,0.69,0.95,40800,4.75
2011-05-02,0.97,0.97,0.76,0.77,38200,3.85
2011-04-01,0.94,1.03,0.83,0.91,48400,4.55
2011-03-01,1.04,1.08,0.82,0.92,67500,4.60
2011-02-01,1.01,1.25,1.01,1.04,103000,5.20
2011-01-03,1.16,1.33,0.86,1.00,219800,5.00
2010-12-01,0.70,1.59,0.68,1.15,322800,5.75
2010-11-01,0.92,0.99,0.60,0.70,65900,3.50
2010-10-01,0.82,1.05,0.81,0.91,58000,4.55
2010-09-01,1.11,1.18,0.75,0.80,126800,4.00
2010-08-02,1.61,1.70,1.10,1.11,88500,5.55
2010-07-01,1.36,1.85,1.28,1.61,121400,8.05
2010-06-01,1.90,1.97,1.35,1.40,116400,7.00
2010-05-03,2.61,2.73,1.69,1.95,257200,9.75
2010-04-01,1.80,3.28,1.77,2.62,539500,13.10
2010-03-01,1.27,3.24,1.14,1.77,433700,8.85
2010-02-01,1.53,1.53,1.15,1.26,63800,6.30
2010-01-04,1.30,2.07,1.25,1.47,174100,7.35
2009-12-01,1.39,1.60,1.20,1.30,57000,6.50
2009-11-02,1.58,1.74,1.26,1.33,46800,6.65
2009-10-01,2.96,2.96,1.35,1.47,128000,7.35
2009-09-01,4.12,4.17,2.60,2.90,79200,14.50
2009-08-03,4.20,6.68,3.60,4.06,75400,20.299999
2009-07-01,3.85,4.30,2.66,4.20,25900,21.00
2009-06-01,3.74,3.90,3.40,3.86,12700,19.299999
2009-05-01,2.43,4.75,2.34,3.75,30900,18.75
2009-04-01,2.01,3.05,1.99,2.32,29100,11.60
2009-03-02,1.10,3.24,0.66,2.01,48500,10.05
2009-02-02,2.35,3.50,0.93,1.14,64100,5.70
2009-01-02,5.67,5.67,2.29,2.32,23900,11.60
2008-12-01,2.72,5.80,2.26,5.80,34300,28.813145
2008-11-03,6.12,6.74,2.25,2.75,33100,13.661405
2008-10-01,8.35,11.75,4.75,6.17,46700,30.651224
2008-09-02,1.94,8.64,1.41,8.20,29000,40.636471
2008-08-01,1.30,1.86,1.15,1.86,27800,46.0877
2008-07-01,1.76,2.20,0.81,1.36,55700,33.698536
2008-06-02,1.77,2.43,1.56,1.76,37100,43.485977
2008-05-01,3.08,3.13,1.72,1.76,43200,43.485977
2008-04-01,3.88,4.15,2.88,3.08,23600,76.100456
2008-03-03,4.51,4.83,3.84,3.91,19600,96.484192
2008-02-01,5.58,5.74,4.54,4.56,22400,112.523766
2008-01-02,4.18,5.80,3.26,5.65,31200,139.420898
2007-12-03,3.85,4.79,3.72,4.10,36800,101.172684
2007-11-01,4.05,4.34,2.89,3.85,53400,94.892632
2007-10-01,8.65,9.599999,3.77,4.11,51300,101.300964
2007-09-04,8.27,9.25,7.68,8.67,21200,212.682739
2007-08-01,8.44,9.19,7.53,8.29,38800,203.361008
2007-07-02,8.15,9.099999,7.50,8.77,29500,215.135834
2007-06-01,9.50,9.63,8.38,8.61,21600,211.210892
2007-05-01,9.639999,10.099999,9.13,9.48,19500,231.436279
2007-04-02,10.92,11.25,9.61,9.639999,22300,235.342377
2007-03-01,12.57,12.969999,10.87,10.96,14800,266.566742
2007-02-01,13.08,13.91,12.66,12.75,16400,310.102753
2007-01-03,13.87,13.98,12.87,13.28,16900,322.993286
2006-12-01,13.02,14.00,12.99,13.809999,11800,335.88382
2006-11-01,13.09,13.78,12.759999,13.07,14700,316.950745
2006-10-02,13.99,14.00,12.309999,13.099999,29000,317.678253
2006-09-01,14.099999,14.96,13.799999,14.219999,11800,344.838531
2006-08-01,13.849999,14.50,13.50,14.07,12500,340.239532
2006-07-03,14.86,14.969999,12.96,13.88,22100,335.644958
2006-06-01,14.70,15.00,13.86,14.839999,15600,358.859589
2006-05-01,15.02,15.92,14.46,14.70,18100,354.538025
2006-04-03,14.309999,15.99,14.049999,14.92,19500,359.844055
2006-03-01,13.62,15.17,12.67,14.389999,15100,346.139771
2006-02-01,13.90,14.02,12.84,13.65,13900,328.339661
2006-01-03,14.00,15.23,13.25,14.00,26300,336.758636
2005-12-01,14.00,14.589999,13.48,14.00,14200,336.758636
2005-11-01,13.889999,14.679999,13.549999,13.94,14800,334.403931
2005-10-03,17.09,17.190001,13.29,13.889999,28400,333.204498
2005-09-01,17.049999,17.50,15.639999,16.99,14300,407.569794
2005-08-01,17.90,18.039999,16.51,17.049999,12200,408.048523
2005-07-01,18.98,19.33,17.75,17.940001,17000,429.348419
2005-06-01,17.68,19.15,17.440001,18.949999,10100,453.520233
2005-05-02,17.17,18.07,16.66,17.74,8500,423.76944
2005-04-01,17.41,17.75,16.51,17.059999,10800,407.525726
2005-03-01,17.949999,18.859999,17.02,17.40,10400,415.647583
2005-02-01,19.32,19.73,17.529999,18.01,8800,429.355743
2005-01-03,19.90,20.00,18.08,19.219999,11800,458.201935
2004-12-01,18.99,20.119999,18.039999,19.90,10000,474.413055
2004-11-01,17.48,19.26,17.33,19.00,11700,452.155273
2004-10-01,18.449999,19.23,16.059999,17.49,11300,416.220825
2004-09-01,18.35,19.25,17.60,18.32,11900,435.97287
2004-08-02,18.26,18.66,17.35,17.709999,7800,420.661133
2004-07-01,18.40,18.779999,17.58,18.24,14400,433.250092
2004-06-01,16.059999,18.529999,15.90,18.449999,24100,438.238159
2004-05-03,15.639999,16.18,14.37,16.00,9700,379.340515
2004-04-01,17.00,17.549999,14.849999,15.65,10700,371.04245
2004-03-01,17.92,19.00,16.02,16.959999,10300,402.100952
2004-02-02,16.42,18.07,16.26,17.92,11500,424.042419
2004-01-02,14.25,16.67,13.70,16.50,21200,390.440857
2003-12-01,19.029999,19.75,18.08,19.00,11900,448.602814
2003-11-03,16.799999,19.25,16.299999,18.969999,9000,447.894501
2003-10-01,14.28,16.949999,14.15,16.789999,7100,396.423218
2003-09-02,14.95,15.77,14.139999,14.25,9900,335.672943
2003-08-01,13.94,14.99,13.179999,14.82,9000,349.099854
2003-07-01,12.02,14.049999,11.759999,13.95,9600,328.60614
2003-06-02,11.599999,12.49,11.34,11.889999,10700,280.080811
2003-05-01,11.00,12.00,10.059999,11.54,11300,271.167755
2003-04-01,9.79,11.54,9.599999,11.52,10000,270.697784
2003-03-03,9.12,10.05,8.91,9.79,7400,229.309418
2003-02-03,9.15,9.49,8.76,9.07,4600,212.444977
2003-01-02,9.469999,10.12,8.78,9.15,9400,214.318802
2002-12-02,9.40,9.76,8.929999,9.45,6400,221.345657
2002-11-01,9.349999,9.73,8.849999,9.37,5500,218.749573
2002-10-01,8.84,9.69,7.30,9.32,5900,217.582275
2002-09-03,10.099999,10.27,8.50,8.98,7500,208.921021
2002-08-01,9.05,11.099999,8.20,10.25,7100,238.467758
2002-07-01,12.15,12.15,7.00,9.05,10100,210.549576
2002-06-03,11.05,12.40,10.05,12.40,10200,287.760315
2002-05-01,12.90,12.94,10.099999,11.15,10600,258.752228
2002-04-01,12.95,13.009999,11.759999,12.75,6800,295.882599
2002-03-01,11.28,13.00,10.50,13.00,9000,300.995331
2002-02-01,11.13,11.48,9.95,11.429999,6300,264.644348
