Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,46.549999,46.68,46.34,46.540001,1508800,39.740562
2013-03-01,44.98,46.709999,44.84,46.689999,797200,39.868645
2013-02-01,44.59,45.240002,43.799999,45.07,918800,38.004574
2013-01-02,43.59,44.869999,42.32,44.419998,1053300,37.45647
2012-12-03,42.389999,43.919998,42.360001,42.939999,691700,36.208481
2012-11-01,43.490002,43.630001,41.18,42.299999,519600,35.20229
2012-10-01,44.029999,45.110001,42.349998,43.66,542200,36.334087
2012-09-04,44.700001,45.68,43.419998,43.939999,573100,36.567104
2012-08-01,42.73,45.619999,41.919998,44.490002,588200,36.550205
2012-07-02,41.209999,42.790001,40.549999,42.540001,572100,34.948204
2012-06-01,39.66,41.27,39.139999,41.200001,588300,33.847347
2012-05-01,40.419998,41.189999,39.119999,39.889999,584900,32.348793
2012-04-02,40.130001,40.849998,39.220001,40.529999,549400,32.867798
2012-03-01,41.119999,42.07,39.50,40.060001,733600,32.486656
2012-02-01,40.970001,41.110001,39.029999,40.919998,800000,32.751476
2012-01-03,42.459999,42.509998,39.880001,40.799999,683400,32.65543
2011-12-01,39.099998,41.75,38.68,41.669998,685100,33.351757
2011-11-01,38.779999,39.599998,37.450001,39.189999,593300,30.971708
2011-10-03,37.27,39.860001,35.740002,39.610001,740000,31.303635
2011-09-01,40.099998,40.290001,36.400002,37.459999,918300,29.604498
2011-08-01,38.939999,40.360001,35.41,40.130001,1086600,31.292273
2011-07-01,39.380001,40.23,37.880001,38.169998,651300,29.763916
2011-06-01,40.23,40.23,37.380001,39.290001,697300,30.637262
2011-05-02,37.470001,40.490002,36.849998,40.240002,660500,30.951769
2011-04-01,36.490002,37.549999,36.360001,37.43,479200,28.790375
2011-03-01,36.799999,37.00,34.080002,36.34,679200,27.951969
2011-02-01,36.68,37.119999,35.639999,37.119999,699900,28.153364
2011-01-03,35.669998,36.66,35.169998,36.330002,667800,27.554197
2010-12-01,34.32,35.939999,34.279999,35.459999,716900,26.89435
2010-11-01,33.75,34.360001,32.150002,33.880001,795000,25.370228
2010-10-01,32.580002,34.240002,32.07,33.509998,668700,25.093161
2010-09-01,31.719999,33.290001,31.129999,32.50,695600,24.336847
2010-08-02,30.92,32.029999,30.33,31.24,808700,23.067217
2010-07-01,29.370001,31.60,28.83,30.610001,724800,22.602034
2010-06-01,29.00,31.190001,28.690001,29.27,976300,21.612595
2010-05-03,30.32,31.24,28.10,29.209999,1537600,21.276865
2010-04-01,29.60,31.08,29.18,30.10,1112100,21.92515
2010-03-01,28.030001,30.73,27.93,29.35,1060300,21.378843
2010-02-01,25.76,28.24,25.709999,27.76,854500,19.940672
2010-01-04,28.09,28.129999,25.68,25.75,1030700,18.49684
2009-12-01,26.76,27.68,24.67,27.610001,948800,19.832924
2009-11-02,24.02,26.700001,23.57,26.50,756600,18.763948
2009-10-01,24.610001,25.26,23.610001,23.98,723000,16.979603
2009-09-01,24.540001,25.450001,23.83,24.67,609800,17.468174
2009-08-03,23.25,24.950001,22.709999,24.57,738100,17.141178
2009-07-01,20.85,23.139999,19.91,23.040001,656900,16.07378
2009-06-01,23.16,23.18,20.280001,20.66,751100,14.413381
2009-05-01,21.50,22.90,20.24,22.90,1127400,15.728361
2009-04-01,19.860001,22.110001,19.77,21.40,1252300,14.698119
2009-03-02,19.290001,20.49,18.450001,19.90,1645500,13.667877
2009-02-02,20.07,21.309999,19.42,19.57,1410100,13.226693
2009-01-02,20.549999,21.26,19.10,20.459999,1500700,13.828213
2008-12-01,19.52,22.48,16.85,20.49,3241600,13.84849
2008-11-03,29.49,32.16,18.59,19.790001,2359400,13.164905
2008-10-01,34.41,34.509998,25.799999,29.01,1575800,19.298325
2008-09-02,37.810001,38.040001,29.91,34.709999,1145100,23.090136
2008-08-01,37.91,38.330002,37.290001,37.830002,281000,25.165655
2008-07-01,34.459999,39.130001,34.450001,37.939999,1108200,25.238829
2008-06-02,35.00,37.549999,32.200001,34.810001,2011600,23.15666
2008-05-01,36.00,39.610001,32.209999,35.139999,2286300,23.376184
2008-04-01,34.259998,38.189999,33.66,36.48,638700,24.267593
2008-03-03,36.130001,39.18,33.57,33.73,904800,22.438211
2008-02-01,35.700001,38.299999,34.25,36.200001,555200,23.856958
2008-01-02,39.82,40.00,32.939999,34.84,631900,22.960674
2007-12-03,39.049999,40.439999,36.540001,39.740002,407800,26.189932
2007-11-01,43.32,44.59,38.799999,39.200001,345300,25.593414
2007-10-01,40.18,43.68,39.830002,43.610001,206600,28.472672
2007-09-04,38.25,40.279999,38.200001,40.049999,635900,26.148371
2007-08-01,37.689999,38.459999,34.970001,38.200001,840500,24.720495
2007-07-02,39.189999,39.880001,37.360001,37.84,1297300,24.487526
2007-06-01,37.040001,38.41,36.330002,37.790001,992000,24.45517
2007-05-01,33.689999,37.09,33.110001,36.900002,1101100,23.657808
2007-04-02,28.040001,35.880001,27.85,33.75,1732900,21.638239
2007-03-01,25.77,29.15,25.389999,28.280001,744900,18.131243
2007-02-01,26.58,27.450001,25.42,26.219999,493900,16.611721
2007-01-03,26.969999,27.01,24.51,26.26,634400,16.637064
2006-12-01,24.57,27.41,24.32,27.00,555400,17.105892
2006-11-01,24.309999,25.49,23.540001,24.59,693900,15.409412
2006-10-02,26.99,30.02,26.93,28.280001,408000,17.721766
2006-09-01,24.969999,27.84,24.32,27.09,445900,16.976046
2006-08-01,22.719999,25.23,22.559999,24.99,240700,15.49147
2006-07-03,23.66,24.049999,22.23,22.84,223700,14.158671
2006-06-01,24.16,25.25,23.049999,23.65,231300,14.660795
2006-05-01,24.75,25.040001,23.25,24.24,212200,14.848776
2006-04-03,23.959999,25.07,23.639999,24.719999,272300,15.142811
2006-03-01,24.120001,24.98,23.90,24.059999,253100,14.738512
2006-02-01,24.879999,25.25,23.15,24.26,266300,14.68721
2006-01-03,23.860001,25.700001,23.200001,24.209999,268400,14.656939
2005-12-01,23.74,24.33,23.200001,23.950001,289800,14.499534
2005-11-01,24.709999,25.50,22.379999,23.719999,391500,14.187456
2005-10-03,27.219999,27.280001,24.15,24.75,324600,14.803522
2005-09-01,26.24,28.27,26.16,27.440001,695100,16.412472
2005-08-01,24.200001,26.309999,24.190001,26.200001,387100,15.480278
2005-07-01,23.690001,24.68,23.219999,24.16,290700,14.274943
2005-06-01,23.00,24.08,22.719999,23.68,296800,13.991335
2005-05-02,23.99,24.15,22.360001,23.00,264600,13.437092
2005-04-01,24.969999,24.969999,23.82,24.059999,216500,14.056366
2005-03-01,23.450001,25.00,23.40,24.99,298300,14.599691
2005-02-01,23.719999,24.17,23.00,23.440001,324700,13.542362
2005-01-03,24.00,25.030001,23.549999,23.84,298400,13.773459
2004-12-01,24.200001,24.290001,22.90,24.129999,310400,13.941006
2004-11-01,23.139999,24.639999,22.700001,24.25,220700,13.830408
2004-10-01,21.719999,23.379999,21.559999,23.219999,217900,13.242971
2004-09-01,20.83,22.40,20.83,21.65,305400,12.34756
2004-08-02,21.40,21.469999,20.450001,20.82,219100,11.713001
2004-07-01,19.92,21.120001,19.540001,20.969999,313500,11.797388
2004-06-01,19.82,20.25,18.67,20.040001,316500,11.274186
2004-05-03,20.120001,20.58,18.93,19.90,271000,11.026308
2004-04-01,21.049999,22.00,19.40,19.940001,232900,11.048472
2004-03-01,21.91,22.15,20.49,21.030001,257900,11.652426
2004-02-02,22.200001,22.43,21.23,21.879999,515300,11.958155
2004-01-02,22.51,23.23,22.16,22.26,503300,12.165837
2003-12-01,22.360001,22.940001,21.43,22.360001,350700,12.220491
2003-11-03,22.58,22.68,22.129999,22.370001,202900,12.132119
2003-10-01,21.67,22.82,21.280001,22.610001,293200,12.26228
2003-09-02,21.700001,22.360001,21.209999,21.85,656300,11.850102
2003-08-01,22.299999,22.389999,21.379999,21.700001,240900,11.609355
2003-07-01,23.00,23.41,21.450001,22.200001,241300,11.876851
2003-06-02,22.15,23.84,22.059999,23.110001,322600,12.363695
2003-05-01,19.879999,22.040001,19.73,22.02,363600,11.62676
2003-04-01,18.450001,20.02,18.360001,19.82,391200,10.465139
2003-03-03,18.77,18.959999,18.00,18.32,358700,9.673126
2003-02-03,18.969999,19.27,18.299999,18.74,265700,9.732235
2003-01-02,18.139999,19.83,18.120001,18.940001,553400,9.836101
2002-12-02,18.48,18.68,17.629999,18.01,449200,9.353125
2002-11-01,17.309999,18.540001,17.18,18.32,579500,9.357719
2002-10-01,17.709999,18.120001,15.17,17.35,542100,8.862251
2002-09-03,18.110001,18.620001,17.34,17.700001,329500,9.041029
2002-08-01,16.40,18.299999,15.40,18.16,527900,9.12351
2002-07-01,17.35,18.75,14.65,16.530001,399100,8.304605
2002-06-03,18.40,19.139999,16.10,17.42,404600,8.751737
2002-05-01,17.43,18.58,16.360001,18.51,893000,9.144274
2002-04-01,17.209999,18.530001,14.59,17.49,602700,8.640375
2002-03-01,20.870001,21.959999,17.360001,17.620001,542600,8.704598
2002-02-01,21.799999,22.66,20.35,20.870001,230300,10.16696
2002-01-02,22.76,23.219999,21.200001,21.959999,237000,10.69796
2001-12-03,22.799999,23.549999,21.209999,22.799999,308800,11.107171
2001-11-01,22.219999,24.16,21.84,23.02,281600,11.061424
2001-10-01,21.85,24.530001,21.530001,22.129999,252600,10.633766
2001-09-04,24.860001,25.09,20.59,22.049999,380200,10.595325
2001-08-01,26.790001,27.17,24.440001,24.82,300700,11.704268
2001-07-02,26.50,27.360001,25.790001,26.73,297700,12.604959
2001-06-01,25.43,27.129999,23.799999,26.299999,370900,12.402185
2001-05-01,25.07,27.07,24.60,25.379999,277200,11.830407
2001-04-02,22.50,25.940001,22.02,24.950001,357900,11.629972
2001-03-01,26.66,26.780001,21.969999,22.51,483100,10.492612
2001-02-01,28.66,28.77,24.879999,26.65,333200,12.276305
2001-01-02,28.875,29.4375,26.25,28.559999,523800,13.156146
2000-12-01,27.4375,29.5625,26.6875,28.9375,452700,13.330041
2000-11-01,26.875,28.125,25.1875,27.375,571200,12.475767
2000-10-02,23.5625,27.4375,22.125,27.0625,599800,12.333349
2000-09-01,22.6875,25.00,21.00,23.375,577700,10.652823
2000-08-01,22.8125,23.50,21.6875,22.390619,451300,10.072538
2000-07-03,23.8125,25.3125,22.8125,22.8125,433700,10.262324
2000-06-01,23.4375,26.1875,23.1875,23.8125,708800,10.712179
2000-05-01,117.25,122.625,21.0625,23.00,1495300,10.22313
2000-04-03,125.50,126.25,92.375,114.75,1848800,11.947005
