Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.97,13.05,12.87,12.95,511000,9.516084
2013-03-01,13.18,13.46,12.71,12.87,214100,9.457297
2013-02-01,13.79,14.23,12.98,13.24,187100,9.518313
2013-01-02,12.97,13.97,12.95,13.68,224800,9.834633
2012-12-03,13.64,13.64,12.55,12.80,319200,9.201995
2012-11-01,14.20,14.32,12.53,13.54,182400,9.520132
2012-10-01,14.59,14.99,13.60,14.13,193200,9.934969
2012-09-04,14.05,14.78,13.99,14.55,196300,10.230275
2012-08-01,13.69,14.29,13.47,14.08,124200,9.663943
2012-07-02,13.37,13.95,13.12,13.64,147000,9.361945
2012-06-01,12.94,13.96,12.40,13.34,205700,9.156037
2012-05-01,14.23,14.50,12.51,13.09,199000,8.747658
2012-04-02,15.14,15.31,13.86,14.25,226300,9.522852
2012-03-01,16.16,16.27,14.83,15.13,192800,10.110929
2012-02-01,15.61,16.33,15.51,16.17,254200,10.564573
2012-01-03,13.41,15.58,13.41,15.54,218700,10.152966
2011-12-01,14.68,14.74,12.78,13.28,381900,8.676409
2011-11-01,14.41,15.24,13.77,14.66,223400,9.32578
2011-10-03,13.43,15.44,11.77,14.95,249200,9.51026
2011-09-01,16.700001,16.90,13.25,13.45,221200,8.556053
2011-08-01,18.440001,19.68,13.89,16.75,290100,10.421785
2011-07-01,18.59,19.24,17.299999,18.360001,149900,11.423521
2011-06-01,19.15,19.82,17.389999,18.559999,105500,11.54796
2011-05-02,20.02,20.059999,18.17,19.059999,203000,11.634212
2011-04-01,20.02,20.139999,20.00,20.02,79400,12.220196
2011-03-29,20.00,20.049999,19.450001,20.01,614300,12.214091
