Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.15,15.24,15.11,15.11,265400,12.065348
2013-03-01,15.92,16.08,14.81,15.13,119100,12.081318
2013-02-01,15.79,16.08,15.60,15.82,73100,12.567502
2013-01-02,15.61,16.530001,15.61,15.82,91200,12.504507
2012-12-03,16.65,16.790001,15.21,15.52,132400,12.207612
2012-11-01,16.440001,16.66,15.45,16.66,99100,13.039661
2012-10-01,16.52,16.690001,16.01,16.34,84100,12.726121
2012-09-04,15.63,16.50,15.47,16.50,87300,12.787313
2012-08-01,16.139999,16.139999,15.01,15.59,96800,12.020193
2012-07-02,15.74,16.18,15.74,16.059999,68000,12.318909
2012-06-01,15.15,15.71,14.91,15.71,92900,11.990262
2012-05-01,14.90,15.23,14.82,15.02,70000,11.403893
2012-04-02,14.50,14.94,14.33,14.83,57200,11.199743
2012-03-01,15.22,15.34,13.85,14.49,120700,10.883338
2012-02-01,15.24,15.37,14.26,15.21,106500,11.364429
2012-01-03,14.02,15.20,13.90,15.10,102500,11.22219
2011-12-01,13.79,14.10,13.70,13.95,64900,10.31028
2011-11-01,13.89,13.89,13.50,13.75,59600,10.103999
2011-10-03,13.78,13.89,13.33,13.81,63800,10.088526
2011-09-01,13.40,13.71,13.08,13.67,57200,9.927031
2011-08-01,12.88,13.38,12.35,13.38,77200,9.658166
2011-07-01,13.05,13.47,12.54,12.71,76700,9.119102
2011-06-01,12.75,13.19,12.75,12.98,63400,9.257385
2011-05-02,12.46,12.87,12.30,12.76,73400,9.044087
2011-04-01,12.42,12.47,12.02,12.35,66600,8.698519
2011-03-01,12.36,12.58,12.14,12.34,61500,8.6349
2011-02-01,12.25,12.49,11.98,12.30,91300,8.551336
2011-01-03,12.54,12.72,11.15,12.20,161200,8.426058
2010-12-01,13.33,13.33,11.70,12.69,172200,8.705855
2010-11-01,14.15,14.18,11.85,13.22,148000,9.010214
2010-10-01,14.26,14.38,13.83,14.09,57600,9.549327
2010-09-01,14.66,14.66,13.90,14.14,78800,9.53053
2010-08-02,13.82,14.54,13.62,14.52,62900,9.73348
2010-07-01,13.61,13.78,13.41,13.57,52600,9.045207
2010-06-01,13.73,13.85,13.37,13.56,57000,8.98661
2010-05-03,13.58,13.72,13.15,13.63,64800,8.980876
2010-04-01,13.59,13.72,13.33,13.44,57100,8.804393
2010-03-01,13.45,13.79,13.06,13.50,84600,8.7921
2010-02-01,13.19,13.48,12.60,13.26,77600,8.585446
2010-01-04,12.75,13.43,12.71,13.09,69600,8.424959
2009-12-01,12.99,12.99,12.52,12.80,79800,8.18859
2009-11-02,12.73,12.98,12.25,12.68,62900,8.062261
2009-10-01,13.95,14.25,11.96,12.50,110800,7.898682
2009-09-01,12.80,14.10,12.73,13.86,64400,8.703835
2009-08-03,12.48,12.69,12.13,12.69,51500,7.922218
2009-07-01,11.65,12.36,11.39,12.33,49900,7.648196
2009-06-01,11.48,12.70,11.12,11.58,69800,7.135611
2009-05-01,11.10,11.76,10.68,11.40,61200,6.978906
2009-04-01,10.18,11.10,10.02,11.10,56500,6.753313
2009-03-02,10.52,10.65,9.60,10.10,67100,6.104332
2009-02-02,10.80,11.08,8.63,10.52,91900,6.315375
2009-01-02,8.36,10.94,8.34,10.80,103400,6.442042
2008-12-01,9.24,9.41,6.61,8.27,181400,4.899727
2008-11-03,9.11,10.39,8.41,8.91,121800,5.230791
2008-10-01,10.25,10.75,6.40,8.75,155300,5.101486
2008-09-02,12.75,12.94,9.74,10.16,151700,5.871751
2008-08-01,12.65,12.81,12.27,12.68,74800,7.288628
2008-07-01,13.53,13.56,12.33,12.65,66400,7.231115
2008-06-02,14.64,14.64,13.31,13.45,89700,7.6488
2008-05-01,15.04,15.17,14.46,14.58,70500,8.250401
2008-04-01,14.40,15.50,14.36,15.02,74600,8.455189
2008-03-03,14.38,15.18,14.00,14.39,110600,8.057356
2008-02-01,15.17,15.90,13.67,13.93,184800,7.758709
2008-01-02,13.84,15.20,13.73,15.05,139400,8.340933
2007-12-03,14.93,15.10,13.39,13.74,222600,7.575128
2007-11-01,15.99,16.00,14.00,14.71,98600,8.052848
2007-10-01,15.98,16.110001,15.60,15.88,58700,8.646957
2007-09-04,15.47,16.01,15.25,15.95,63700,8.641648
2007-08-01,15.64,15.64,13.92,15.41,92200,8.307097
2007-07-02,16.35,16.709999,15.23,15.62,68400,8.374352
2007-06-01,15.88,16.360001,15.13,16.35,142300,8.72174
2007-05-01,18.74,18.76,15.55,15.85,181300,8.409154
2007-04-02,17.85,18.73,17.799999,18.68,54100,9.865991
2007-03-01,17.60,17.92,17.469999,17.790001,47000,9.353592
2007-02-01,17.950001,18.299999,17.42,17.559999,60200,9.189539
2007-01-03,17.790001,18.200001,17.59,17.91,55100,9.328998
2006-12-01,17.200001,17.700001,17.01,17.700001,45700,9.176934
2006-11-01,17.389999,17.709999,16.959999,17.190001,64100,8.869951
2006-10-02,16.950001,17.309999,16.700001,17.299999,67500,8.884732
2006-09-01,17.129999,17.190001,16.66,16.93,66500,8.652608
2006-08-01,16.83,17.33,16.709999,17.049999,59800,8.671641
2006-07-03,16.450001,16.879999,16.360001,16.76,52900,8.482407
2006-06-01,16.59,16.790001,16.299999,16.41,59800,8.264188
2006-05-01,16.49,16.639999,16.08,16.49,55600,8.263003
2006-04-03,16.67,16.75,16.35,16.440001,46200,8.196258
2006-03-01,16.700001,16.799999,16.360001,16.58,54900,8.224849
2006-02-01,16.74,16.77,16.110001,16.549999,75500,8.168793
2006-01-03,16.25,16.90,15.88,16.68,86900,8.191241
2005-12-01,15.59,16.639999,15.52,16.219999,69300,7.925516
2005-11-01,15.77,15.85,15.26,15.52,62800,7.543616
