Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.40,15.42,15.14,15.40,58600,12.539322
2013-03-01,14.76,15.47,14.60,15.47,32600,12.596319
2013-02-01,14.77,14.93,14.50,14.75,43500,11.954261
2013-01-02,14.32,14.89,13.94,14.71,49500,11.865384
2012-12-03,13.98,14.18,13.50,14.18,32500,11.437875
2012-11-01,14.08,14.36,12.92,13.97,33200,11.134721
2012-10-01,13.99,14.20,13.59,14.02,26700,11.119576
2012-09-04,13.86,14.08,13.71,14.04,30800,11.080517
2012-08-01,13.58,13.94,13.49,13.94,14500,10.946984
2012-07-02,13.54,13.77,13.21,13.58,12000,10.610607
2012-06-01,13.10,13.68,12.86,13.63,20600,10.595364
2012-05-01,13.61,13.71,13.02,13.17,26100,10.18406
2012-04-02,13.40,13.75,13.38,13.56,27000,10.43407
2012-03-01,13.43,13.66,13.12,13.40,61600,10.260916
2012-02-01,13.15,13.58,13.09,13.45,32600,10.248888
2012-01-03,12.49,13.28,12.47,13.15,25800,9.971227
2011-12-01,12.47,12.75,12.16,12.45,26000,9.440439
2011-11-01,12.67,12.80,12.08,12.55,21700,9.416039
2011-10-03,12.12,12.88,11.58,12.82,22300,9.56795
2011-09-01,12.66,12.80,12.07,12.26,25100,9.099806
2011-08-01,13.77,13.99,11.77,12.60,44000,9.302548
2011-07-01,14.11,14.26,13.54,13.75,28400,10.096895
2011-06-01,14.53,14.69,13.50,14.06,43400,10.275758
2011-05-02,15.32,15.75,14.36,14.51,73400,10.555421
2011-04-01,14.98,15.30,14.38,15.18,73100,10.994869
2011-03-01,14.70,15.17,14.06,14.95,102000,10.778822
2011-02-01,14.07,14.72,13.99,14.69,66700,10.544605
2011-01-03,13.65,14.19,13.54,14.02,67800,10.017962
2010-12-01,13.60,13.98,13.29,13.51,48000,9.653543
2010-11-01,13.35,13.67,13.06,13.43,32200,9.504266
2010-10-01,13.33,13.42,13.02,13.39,39700,9.429803
2010-09-01,12.87,13.26,12.81,13.25,43800,9.284694
2010-08-02,12.84,12.99,12.64,12.86,20500,8.966007
2010-07-01,12.43,12.96,12.32,12.82,25200,8.893808
2010-06-01,11.81,12.75,11.66,12.43,35400,8.579309
2010-05-03,13.24,13.43,11.80,12.44,59000,8.542702
2010-04-01,12.86,13.56,12.77,13.20,61600,9.026569
2010-03-01,12.66,13.06,12.52,12.88,40100,8.770875
2010-02-01,12.16,12.69,11.97,12.62,26700,8.558234
2010-01-04,11.94,12.66,11.88,12.15,45000,8.202703
2009-12-01,11.45,12.13,11.40,11.94,31500,8.060927
2009-11-02,11.39,11.65,11.03,11.43,34700,7.646446
2009-10-01,11.70,11.79,11.28,11.41,31900,7.59275
2009-09-01,10.98,12.24,10.92,11.70,32200,7.745597
2009-08-03,10.65,11.21,10.60,11.03,37000,7.26324
2009-07-01,10.18,10.64,10.04,10.59,31100,6.936142
2009-06-01,11.02,11.05,10.08,10.16,48000,6.615965
2009-05-01,10.26,11.62,9.88,10.84,38100,7.018545
2009-04-01,9.00,10.44,8.93,10.18,30600,6.539801
2009-03-02,9.45,9.50,8.54,9.06,29900,5.76912
2009-02-02,9.74,10.50,9.26,9.35,29800,5.898692
2009-01-02,9.26,10.30,8.91,9.75,24500,6.084845
2008-12-01,9.26,9.99,7.99,9.17,47200,5.722875
2008-11-03,10.87,11.45,7.80,9.40,42300,5.72568
2008-10-01,10.25,12.45,6.30,10.87,67800,6.550363
2008-09-02,12.56,13.29,9.76,10.23,48500,6.080358
2008-08-01,13.18,13.55,11.76,12.66,32400,7.457819
2008-07-01,14.31,14.80,12.30,13.01,22700,7.597381
2008-06-02,14.91,14.91,13.84,14.26,23600,8.262442
2008-05-01,14.54,14.98,14.50,14.80,24500,8.507323
2008-04-01,13.92,15.00,13.71,14.45,26200,8.242719
2008-03-03,14.80,14.80,13.51,13.90,34300,7.867233
2008-02-12,15.00,15.15,14.80,15.00,28000,8.42352
