Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.80,9.88,9.53,9.57,2059400,9.39365
2013-03-01,8.54,9.86,8.50,9.83,611700,9.64886
2013-02-01,8.50,9.07,8.4201,8.64,715000,8.48079
2013-01-01,7.67,8.60,7.66,8.47,409400,8.23868
2012-12-03,7.25,7.86,7.10,7.67,663300,7.46053
2012-11-01,7.52,7.70,6.76,7.20,741900,7.00336
2012-10-01,7.90,8.32,7.41,7.48,472100,7.19598
2012-09-03,7.30,8.33,7.27,7.83,713700,7.53269
2012-08-01,6.91,7.56,6.76,7.30,586000,7.02282
2012-07-02,6.45,7.18,6.07,6.85,476400,6.51481
2012-06-01,5.65,6.48,5.59,6.44,637600,6.12487
2012-05-01,6.74,6.91,5.63,5.78,703500,5.49716
2012-04-02,7.12,7.28,6.27,6.74,546800,6.33388
2012-03-01,7.19,7.5405,6.75,7.17,579400,6.73797
2012-02-01,7.51,9.00,7.04,7.17,581200,6.73797
2012-01-02,6.30,7.729,6.30,7.43,598000,6.93719
2011-12-01,5.85,6.35,5.37,6.30,599200,5.88214
2011-11-01,5.93,6.58,5.07,5.85,724200,5.46199
2011-10-03,4.84,6.80,4.36,6.34,896900,5.87198
2011-09-01,5.43,6.05,4.85,4.89,1031200,4.52902
2011-08-01,7.10,7.14,4.69,5.45,1415700,5.04768
2011-07-01,7.52,7.72,6.82,6.99,769200,6.41163
2011-06-01,7.93,7.93,6.79,7.53,1002700,6.90695
2011-05-02,8.50,8.58,7.10,7.94,1105900,7.28302
2011-04-01,8.91,9.27,7.58,8.45,1199100,7.75083
2011-03-01,7.98,8.93,6.78,8.81,1173500,8.08104
2011-02-01,6.79,8.42,1.66,7.97,927100,7.31054
2011-01-03,7.19,7.28,1.66,6.74,550800,6.18232
2010-12-01,5.95,7.29,1.66,7.08,626800,6.49418
2010-11-01,5.83,6.38,1.66,5.80,733100,5.32009
2010-10-01,6.29,6.701,5.73,5.77,757200,5.29258
2010-09-01,5.36,6.52,1.66,6.20,807700,5.687
2010-08-02,6.20,6.45,5.04,5.23,752600,4.79726
2010-07-01,5.73,6.77,1.66,6.05,724700,5.54941
2010-06-01,7.32,7.49,5.67,5.69,998400,5.2192
2010-05-03,8.71,9.13,1.66,1.66,1086200,1.52265
2010-04-01,6.87,9.45,1.66,8.67,799000,7.95262
2010-03-01,6.81,7.75,6.31,6.82,863800,6.2557
2010-02-01,6.65,7.10,1.50,6.73,962300,6.17314
2010-01-04,5.47,6.79,1.66,6.64,926600,6.09059
2009-12-01,4.72,5.98,4.54,5.44,882300,4.98988
2009-11-02,4.73,5.50,1.60,4.71,747700,4.32028
2009-10-01,5.35,6.18,4.69,4.70,930600,4.31111
2009-09-01,3.28,5.72,2.11,5.41,937900,4.96236
2009-08-03,2.97,3.98,2.94,3.34,1149900,3.06364
2009-07-01,1.80,7.40,1.68,2.87,856900,2.63253
2009-06-01,1.76,2.40,1.68,1.79,774500,1.64189
2009-05-01,1.70,7.40,1.60,1.80,967300,1.65106
2009-04-01,0.61,7.40,0.58,1.70,1618800,1.50086
2009-03-02,0.79,1.36,0.47,0.61,758200,0.53854
2009-02-02,1.41,7.40,0.75,0.80,488600,0.70629
2009-01-01,7.40,7.40,1.42,1.43,512500,1.20101
2008-12-01,1.92,7.40,1.4701,1.56,612400,1.31019
2008-11-03,2.21,7.40,1.44,1.93,793700,1.62094
2008-10-01,5.93,5.93,1.89,2.13,1624200,1.71639
2008-09-01,7.40,8.00,5.83,5.96,1000900,4.80266
2008-08-01,6.78,7.94,6.54,7.33,1091200,5.90663
2008-07-01,7.20,7.41,6.14,6.79,1154700,5.4164
2008-06-02,9.48,9.66,7.31,7.31,880000,5.83121
2008-05-01,10.07,10.80,7.40,9.56,807900,7.62604
2008-04-01,10.60,11.35,9.88,10.10,1027000,7.99756
2008-03-03,11.75,11.80,10.15,10.57,1131900,8.36972
2008-02-01,13.4719,13.97,10.12,11.77,1134900,9.31993
2008-01-01,10.12,13.8955,10.12,13.4079,1426500,10.61688
2007-12-03,13.12,14.4391,10.12,14.0394,1092200,11.00692
2007-11-01,14.5512,14.5832,10.12,13.7676,1473500,10.79383
2007-10-01,15.9983,17.5839,14.4792,14.8869,1306000,11.56396
2007-09-03,10.12,14.2634,10.12,14.0475,959600,10.91192
2007-08-01,14.2074,14.5832,13.208,13.8476,1731600,10.75664
2007-07-02,16.51,16.9737,10.12,14.3113,1533800,11.01853
2007-06-01,17.8292,18.3249,16.3021,16.7658,1324700,12.9083
2007-05-01,15.3986,18.3409,10.12,17.7732,1523700,13.68391
2007-04-02,14.9829,15.9023,10.12,15.5665,756200,11.89227
2007-03-01,14.6471,15.0469,14.4792,14.9269,778200,11.40363
2007-02-01,15.0149,15.3028,14.4313,15.0548,768600,11.50134
2007-01-03,14.767,15.0548,14.1035,14.9669,684900,11.33844
2006-12-01,14.5512,15.0229,14.3033,14.903,820300,11.29003
2006-11-01,14.0316,15.0548,13.2639,14.6632,852700,11.10837
2006-10-02,12.5684,14.1354,12.5684,14.0075,695700,10.51987
2006-09-01,13.0241,13.208,10.12,12.6403,644600,9.49308
2006-08-01,12.8401,13.3279,12.4404,13.1441,621300,9.87144
2006-07-03,12.5844,13.096,10.12,12.8882,849100,9.58748
2006-06-01,13.8156,14.1514,12.4724,13.1521,1288200,9.7838
2006-05-01,14.6071,14.6311,10.12,13.8156,687700,10.27737
2006-04-03,15.7905,16.1103,10.12,14.6551,465400,10.82695
2006-03-01,16.9817,17.4054,15.7584,15.9343,434400,11.77201
2006-02-01,18.149,18.3808,10.12,16.9817,511400,12.54581
2006-01-02,8.00,18.3888,8.00,18.2369,399600,13.39722
2005-12-01,17.1896,17.6213,16.7898,17.1176,427200,12.57496
2005-11-01,17.1896,18.6686,17.1896,17.4294,403700,12.80401
2005-10-03,18.2689,18.8445,16.5819,17.2695,356700,12.61792
2005-09-01,19.5641,19.756,6.25,18.2769,377900,13.35397
2005-08-01,19.1004,19.66,18.7086,19.6361,285900,14.34707
2005-07-01,19.0444,19.668,6.25,19.0924,295400,13.87693
2005-06-01,19.5881,19.9559,19.1644,19.1644,356600,13.92926
2005-05-02,18.7006,19.788,2.94,19.6521,422200,14.28374
2005-04-01,19.2843,19.6201,17.6613,18.7326,457500,13.54298
2005-03-01,18.8685,19.5721,18.7726,19.3003,415500,13.95341
2005-02-01,18.6766,19.5881,18.4288,18.8685,441400,13.64123
2005-01-03,21.1471,21.1471,18.053,18.7006,350900,13.44749
2004-12-01,20.1478,21.0432,19.5961,20.9792,356400,15.08602
2004-11-01,18.5088,20.5235,18.4208,20.1637,421700,14.4996
2004-10-01,18.157,18.8925,17.6693,18.5887,341200,13.30112
2004-09-01,18.3089,18.9005,17.3095,18.021,527900,12.8949
2004-08-02,18.6686,19.0604,14.3912,18.3409,899000,13.12381
2004-07-01,21.411,21.5789,18.3249,18.6926,759900,13.30329
2004-06-01,23.5217,23.5457,20.3716,21.4669,540300,15.27772
2004-05-03,22.6182,23.6816,21.9067,23.5217,368900,16.7401
2004-04-01,22.3064,23.9055,22.2585,22.7542,387500,16.12667
2004-03-01,22.2904,23.7855,20.8593,22.1945,633600,15.72999
2004-02-02,22.0666,22.7861,21.0272,22.3064,514000,15.8093
2004-01-02,22.5063,22.7861,21.387,22.0266,402800,15.54432
2003-12-01,22.7062,23.018,21.7228,22.6582,332500,15.99004
2003-11-03,21.8267,22.8501,21.315,22.7142,373500,16.02956
2003-10-01,19.3482,22.0586,19.0924,21.7948,691800,15.31305
2003-09-02,18.6447,20.7074,18.4688,19.3882,607700,13.62217
2003-08-01,17.9491,18.7326,17.2855,18.6447,273000,13.09978
2003-07-01,17.8771,18.4688,17.4294,17.8531,414000,12.45836
2003-06-02,18.7246,19.1803,17.5893,17.8771,405300,12.47511
2003-05-01,17.7972,18.7486,17.2695,18.7086,377200,13.05535
2003-04-01,16.0782,18.2289,15.9103,17.9971,411400,12.507
2003-03-03,17.2135,17.2135,15.0709,16.398,549000,11.39571
2003-02-03,17.1496,17.4774,16.3421,17.2295,432000,11.97356
2003-01-02,17.1016,18.5487,16.8777,17.1656,526100,11.87674
2002-12-02,18.6207,18.9965,15.9903,17.0456,525400,11.79371
2002-11-01,18.3089,18.9085,17.0856,18.5407,362800,12.82816
2002-10-01,17.5093,19.5161,16.1502,18.7646,382800,12.92774
2002-09-03,18.2289,19.1723,17.2695,17.4934,397600,12.05195
2002-08-01,17.4614,19.6041,15.5905,18.3488,521600,12.64128
2002-07-01,17.9491,18.029,14.4313,17.4694,401000,11.97866
2002-06-03,19.2603,19.3962,17.6373,18.077,471900,12.39528
2002-05-01,18.6766,19.3083,17.7092,19.1563,391300,13.13535
2002-04-01,18.5088,19.6041,18.1969,18.6766,301500,12.7418
2002-03-01,17.3494,19.1883,17.2855,18.5887,442700,12.68183
2002-02-01,14.791,17.9251,14.6311,17.5493,557300,11.97272
2002-01-02,14.991,15.5905,14.5512,14.783,278000,10.03467
2001-12-03,14.1915,15.3108,13.7117,15.1908,229800,10.31149
2001-11-01,13.7917,14.9988,13.7516,14.3912,222900,9.76872
2001-10-01,12.7922,14.4472,12.2086,14.2233,315600,9.60539
2001-09-04,14.6311,15.3186,12.3205,12.9521,340400,8.74692
2001-08-01,15.1508,15.3907,14.3912,14.6712,200000,9.90787
2001-07-02,15.0628,15.6065,14.3033,15.3827,265900,10.33708
2001-06-01,15.5825,15.9903,14.7511,15.1988,246900,10.2135
2001-05-01,14.1514,16.0702,14.0475,15.6226,423900,10.49829
2001-04-02,13.176,14.3912,12.2885,14.3912,283700,9.60926
2001-03-01,14.3833,15.1908,12.3925,13.168,234100,8.79251
2001-02-01,15.1828,15.6065,13.9915,14.3912,277500,9.60926
2001-01-02,12.9521,15.5106,12.3925,15.3108,398800,10.17247
2000-12-01,13.4958,14.4712,12.1526,12.7922,643800,8.49912
2000-11-01,15.3906,15.4906,13.092,13.5917,263400,9.03031
2000-10-02,14.8949,15.5905,13.6917,15.3411,239100,10.14533
2000-09-01,15.3427,15.5409,14.1914,14.7414,257900,9.74874
2000-08-01,15.2947,15.9903,14.6911,15.2907,266500,10.112
2000-07-03,13.7916,15.6905,13.3919,15.441,289400,10.1648
2000-06-01,12.8962,14.3417,12.4924,13.842,377900,9.11218
2000-05-01,13.192,14.4416,12.1926,12.8426,320400,8.45427
2000-04-03,13.7916,13.7916,11.8928,13.3423,356400,8.73749
2000-03-01,10.3937,14.2913,10.1442,14.2913,502900,9.35896
2000-02-01,12.6963,13.192,9.84441,10.2937,507100,6.74105
2000-01-03,15.0908,15.0908,12.5428,12.6923,309400,8.26687
