Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.42,15.50,15.37,15.43,37800,12.652244
2013-03-01,16.690001,16.75,15.16,15.46,27000,12.676843
2013-02-01,16.84,17.01,16.549999,16.60,12700,13.552435
2013-01-02,16.50,17.280001,16.50,16.82,16400,13.671212
2012-12-03,17.219999,17.219999,16.09,16.51,28000,13.360251
2012-11-01,16.35,17.24,16.08,17.09,29800,13.768516
2012-10-01,16.549999,16.620001,16.08,16.27,21600,13.048733
2012-09-04,16.68,16.799999,16.34,16.530001,25600,13.195919
2012-08-01,16.83,16.92,15.90,16.65,28200,13.232163
2012-07-02,16.549999,17.08,16.549999,16.74,28000,13.242959
2012-06-01,16.299999,16.530001,16.110001,16.530001,19300,13.012758
2012-05-01,16.35,16.59,16.01,16.299999,14800,12.766437
2012-04-02,15.70,16.33,15.45,16.32,18200,12.717372
2012-03-01,16.17,16.360001,15.15,15.67,33100,12.146996
2012-02-01,16.209999,16.389999,15.90,16.15,21900,12.454541
2012-01-03,15.37,16.15,15.21,16.120001,27700,12.367949
2011-12-01,15.08,15.46,14.95,15.32,16600,11.690928
2011-11-01,14.79,15.48,14.77,14.99,15400,11.376842
2011-10-03,14.64,15.20,14.40,14.77,17300,11.149414
2011-09-01,14.68,15.94,14.43,14.60,29600,10.958901
2011-08-01,14.28,14.76,13.99,14.62,21200,10.912035
2011-07-01,14.28,14.45,13.79,14.20,20000,10.53751
2011-06-01,14.34,14.49,14.18,14.23,11200,10.498695
2011-05-02,14.03,14.37,13.93,14.32,19500,10.504369
2011-04-01,13.98,14.15,13.79,13.96,14100,10.180606
2011-03-01,14.05,14.18,13.83,13.88,16900,10.062678
2011-02-01,13.89,14.07,13.55,14.00,24100,10.089546
2011-01-03,13.60,13.87,12.97,13.82,40100,9.899789
2010-12-01,14.76,14.83,13.12,13.63,43700,9.703877
2010-11-01,15.18,15.23,13.75,14.75,28800,10.438557
2010-10-01,15.39,15.40,15.07,15.12,14000,10.641549
2010-09-01,15.65,15.74,15.10,15.29,22200,10.703009
2010-08-02,15.16,15.72,15.09,15.62,23600,10.875609
2010-07-01,14.96,15.16,14.71,15.11,14100,10.463555
2010-06-01,15.18,15.18,14.58,14.94,15600,10.288585
2010-05-03,15.16,16.90,14.56,15.14,18300,10.368082
2010-04-01,14.89,15.17,14.76,15.09,19000,10.276774
2010-03-01,14.65,15.02,14.57,14.84,25400,10.050482
2010-02-01,14.49,14.82,14.22,14.54,24300,9.791893
2010-01-04,14.49,14.61,13.78,14.45,21500,9.674919
2009-12-01,15.01,15.10,14.10,14.50,22300,9.652515
2009-11-02,14.82,15.26,14.71,14.87,36800,9.842815
2009-10-01,15.48,15.64,13.59,14.61,33500,9.616808
2009-09-01,14.65,15.33,14.40,15.30,19600,10.014664
2009-08-03,14.15,14.56,13.59,14.50,9600,9.437213
2009-07-01,13.45,14.13,13.27,13.95,12400,9.028134
2009-06-01,13.51,14.49,13.01,13.44,31100,8.64672
2009-05-01,12.84,13.73,12.80,13.40,14900,8.57126
2009-04-01,11.83,12.80,11.59,12.74,25900,8.103381
2009-03-02,11.92,12.59,11.58,11.75,22500,7.425979
2009-02-02,11.52,13.05,11.47,11.85,23100,7.443772
2009-01-02,9.48,12.88,9.48,11.50,33800,7.181653
2008-12-01,9.99,10.01,8.43,9.54,49100,5.922017
2008-11-03,12.35,12.51,9.47,9.98,37200,6.14593
2008-10-01,13.25,13.39,7.75,12.37,50800,7.56837
2008-09-02,15.35,15.35,12.90,13.01,28600,7.89309
2008-08-01,15.26,15.71,14.90,15.27,12100,9.217991
2008-07-01,15.24,15.40,14.80,15.26,11800,9.166321
2008-06-02,15.39,15.76,15.08,15.25,23300,9.115233
2008-05-01,16.190001,16.91,15.13,15.34,25500,9.124286
2008-04-01,15.80,16.200001,15.46,16.120001,12900,9.544089
2008-03-03,15.39,16.17,14.90,15.70,26500,9.251957
2008-02-01,16.719999,17.129999,15.13,15.27,38700,8.956247
2008-01-02,15.27,17.24,15.25,16.790001,39700,9.803699
2007-12-03,15.72,16.50,15.15,15.35,24200,8.92214
2007-11-01,15.54,16.40,14.84,15.67,25400,9.048469
2007-10-01,16.219999,17.950001,15.43,15.55,79900,8.93431
2007-09-04,16.24,16.860001,15.87,16.370001,15100,9.360741
2007-08-01,15.94,16.35,14.81,16.139999,16500,9.186308
2007-07-02,17.190001,17.219999,15.74,15.90,16400,9.006779
2007-06-01,17.26,17.49,16.42,17.17,17000,9.682897
2007-05-01,17.59,17.83,16.84,17.26,16500,9.690352
2007-04-02,17.40,17.700001,17.219999,17.59,11900,9.833131
2007-03-01,16.879999,17.450001,16.74,17.389999,19600,9.67983
2007-02-01,17.299999,17.559999,16.700001,16.879999,27200,9.354834
2007-01-03,17.90,18.00,17.24,17.34,17200,9.567812
2006-12-01,17.41,17.90,17.32,17.90,14600,9.835074
2006-11-01,17.40,17.469999,17.040001,17.41,16900,9.525013
2006-10-02,17.059999,17.360001,16.74,17.360001,20600,9.456293
2006-09-01,17.139999,17.450001,16.75,17.09,19900,9.268101
2006-08-01,17.00,17.200001,16.40,17.10,22200,9.232992
2006-07-03,15.94,17.059999,15.89,16.969999,17500,9.121943
2006-06-01,16.120001,16.40,15.70,15.87,14300,8.49126
2006-05-01,16.26,16.450001,15.82,16.08,15200,8.563788
2006-04-03,16.18,16.450001,16.110001,16.219999,19900,8.597958
2006-03-01,16.389999,16.42,16.049999,16.209999,21900,8.553046
2006-02-01,15.86,16.549999,15.86,16.24,22300,8.529205
2006-01-03,15.90,16.10,15.44,15.96,25200,8.343127
2005-12-01,15.79,15.93,15.51,15.78,21900,8.209271
2005-11-01,15.34,15.73,15.00,15.73,19900,8.144167
2005-10-03,14.98,15.39,14.53,15.19,27200,7.825495
2005-09-01,15.62,15.80,14.75,14.98,20300,7.678697
2005-08-01,15.48,15.72,15.28,15.65,18600,7.983244
2005-07-01,15.05,15.59,15.00,15.43,25900,7.83291
2005-06-01,14.98,15.17,14.67,15.07,26400,7.612337
2005-05-02,14.59,15.00,14.50,14.95,19900,7.513683
2005-04-01,14.30,14.52,14.25,14.52,16200,7.260389
2005-03-01,14.60,14.76,13.90,14.20,20700,7.063296
2005-02-01,14.60,14.77,14.46,14.60,24500,7.224802
2005-01-03,13.94,14.60,13.90,14.52,28500,7.14863
2004-12-01,13.98,14.14,13.80,13.88,26800,6.797293
2004-11-01,14.04,14.14,13.65,13.89,20900,6.766008
2004-10-01,14.10,14.27,13.92,13.99,22700,6.77779
2004-09-01,13.80,14.25,13.69,14.08,26000,6.784901
2004-08-02,13.45,13.94,13.43,13.82,23300,6.623523
2004-07-01,13.14,13.65,13.10,13.42,22800,6.396501
2004-06-01,13.05,13.20,12.82,13.04,23500,6.180797
2004-05-03,12.95,13.10,12.35,13.00,43100,6.12656
2004-04-01,14.62,14.66,12.80,12.98,33100,6.080809
2004-03-01,14.55,14.88,14.47,14.62,19700,6.811966
2004-02-02,14.28,14.67,14.28,14.51,24400,6.72629
2004-01-02,13.77,14.43,13.77,14.26,23700,6.576325
2003-12-01,13.86,14.01,13.68,13.79,25200,6.326008
2003-11-03,13.45,13.91,13.31,13.84,22500,6.314614
2003-10-01,13.63,13.96,13.39,13.45,15200,6.103078
2003-09-02,13.22,13.80,13.16,13.50,16400,6.092498
2003-08-01,13.45,13.63,13.11,13.20,14200,5.924014
2003-07-01,14.36,14.58,13.35,13.35,19100,5.958195
2003-06-02,14.19,14.53,14.01,14.29,23600,6.344848
2003-05-01,13.43,14.25,13.35,14.12,26300,6.237228
2003-04-01,13.40,13.50,13.06,13.39,16500,5.883203
2003-03-03,13.22,13.47,13.12,13.33,14600,5.824694
2003-02-03,13.25,13.34,13.00,13.20,16800,5.736466
2003-01-02,13.56,13.59,12.95,13.25,20400,5.726327
2002-12-02,13.14,13.56,12.93,13.56,37400,5.828014
2002-11-01,13.42,13.90,13.00,13.13,19500,5.611994
2002-10-01,14.57,14.59,13.35,13.42,16500,5.705403
2002-09-03,14.31,14.59,14.07,14.59,18700,6.171266
2002-08-01,14.24,14.49,14.08,14.32,13800,6.026075
2002-07-01,14.00,14.50,13.72,14.20,12900,5.945073
2002-06-03,14.01,14.36,13.87,13.91,9300,5.79434
2002-05-01,13.99,14.50,13.96,14.01,15800,5.806099
2002-04-01,13.34,14.19,13.21,13.94,20700,5.747701
2002-03-01,14.55,14.62,13.20,13.24,20500,5.431347
2002-02-01,14.76,14.86,14.45,14.50,13400,5.91741
2002-01-02,13.65,14.79,13.56,14.65,19700,5.949195
2001-12-03,14.70,14.70,13.20,13.55,32000,5.474191
2001-11-01,14.71,15.00,14.50,14.70,14900,5.908974
2001-10-01,14.99,15.31,14.28,14.62,14700,5.876816
2001-09-04,15.32,15.37,13.91,14.99,19500,5.996182
2001-08-01,15.01,15.32,15.00,15.32,24800,6.098162
2001-07-27,15.00,15.08,15.00,15.01,97400,5.974766
