Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.86,13.93,13.81,13.84,524200,10.158535
2013-03-01,13.66,13.96,13.55,13.88,286500,10.187895
2013-02-01,14.19,14.20,13.31,13.68,338500,10.041096
2013-01-02,13.46,14.16,13.36,14.10,299400,10.120204
2012-12-03,12.86,13.22,12.68,13.20,458100,9.474234
2012-11-01,13.32,13.51,11.92,12.77,524000,9.165604
2012-10-01,13.73,14.11,13.19,13.24,406700,9.275921
2012-09-04,13.40,13.90,13.25,13.63,273300,9.549154
2012-08-01,13.61,13.90,13.31,13.39,241600,9.381011
2012-07-02,13.25,13.76,12.99,13.51,229800,9.185091
2012-06-01,12.67,13.25,12.30,13.25,309200,9.008324
2012-05-01,15.25,15.29,12.55,12.80,434500,8.70238
2012-04-02,15.33,15.49,14.79,15.27,241100,10.082967
2012-03-01,15.36,15.53,14.75,15.35,291400,10.135792
2012-02-01,15.19,16.030001,14.91,15.37,371600,10.148998
2012-01-03,13.36,15.14,13.35,15.05,307900,9.579816
2011-12-01,13.77,14.22,13.02,13.21,327300,8.408596
2011-11-01,14.52,15.33,13.14,13.83,281600,8.803246
2011-10-03,13.80,15.40,12.75,14.95,293100,9.153247
2011-09-01,15.99,16.24,14.04,14.11,240700,8.63895
2011-08-01,17.66,17.799999,14.41,16.10,343000,9.857343
2011-07-01,18.040001,18.629999,17.120001,17.34,207100,10.226811
2011-06-01,18.790001,18.92,16.75,18.07,222000,10.657351
2011-05-02,19.299999,19.49,18.25,18.85,207400,11.117382
2011-04-01,18.629999,19.25,18.58,19.25,193600,11.018231
2011-03-01,18.799999,19.07,17.889999,18.58,200600,10.63474
2011-02-01,18.66,19.32,18.379999,18.790001,214700,10.754939
2011-01-03,18.440001,18.969999,18.42,18.639999,194400,10.353064
2010-12-01,18.48,18.77,17.60,18.35,223000,10.191992
2010-11-01,19.139999,19.65,17.610001,18.35,262600,10.191992
2010-10-01,18.50,19.25,18.299999,19.059999,225000,10.27375
2010-09-01,17.26,18.459999,17.139999,18.440001,216000,9.939558
2010-08-02,18.219999,18.76,16.530001,17.01,244100,9.168756
2010-07-01,16.18,18.00,15.44,17.92,236900,9.356782
2010-06-01,16.629999,17.459999,15.93,16.07,181800,8.39082
2010-05-03,20.02,20.35,7.59,16.889999,370100,8.818976
2010-04-01,19.73,20.50,19.68,20.00,211700,10.133037
2010-03-01,19.209999,20.09,18.93,19.610001,204400,9.935443
2010-02-01,19.120001,19.98,17.709999,19.17,213000,9.712516
