Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,65.989998,66.120003,64.370003,65.089996,394000,60.435097
2013-03-01,57.799999,67.129997,55.830002,65.940002,242000,61.224312
2013-02-01,57.25,61.650002,56.029999,58.259998,329700,54.093544
2013-01-02,54.389999,57.060001,53.57,56.98,267300,52.721256
2012-12-03,52.349998,54.970001,50.990002,53.66,232700,49.649399
2012-11-01,50.00,52.32,48.099998,52.099998,150100,48.205994
2012-10-01,50.91,51.220001,48.759998,49.919998,137500,46.009693
2012-09-04,47.09,52.540001,46.900002,50.549999,259500,46.590347
2012-08-01,46.009998,47.93,44.240002,46.889999,206400,43.217041
2012-07-02,40.82,47.700001,40.380001,45.77,173900,42.005222
2012-06-01,39.16,40.93,37.919998,40.669998,326000,37.324715
2012-05-01,49.02,50.139999,39.029999,40.049999,418100,36.572166
2012-04-02,47.529999,49.00,45.470001,48.849998,214800,44.608002
2012-03-01,47.25,48.779999,46.16,47.73,294000,43.585258
2012-02-01,49.34,50.400002,46.279999,47.209999,334800,43.110413
2012-01-03,48.650002,49.450001,44.330002,49.060001,196500,44.663376
2011-12-01,45.799999,48.610001,43.849998,47.389999,224900,43.143036
2011-11-01,47.790001,51.700001,42.450001,46.060001,354000,41.932228
2011-10-03,41.959999,52.259998,39.59,49.779999,305400,45.173161
2011-09-01,44.119999,45.810001,39.700001,42.43,324500,38.503361
2011-08-01,49.220001,49.68,37.98,43.98,382100,39.909916
2011-07-01,51.16,52.889999,48.110001,48.48,274700,43.826149
2011-06-01,45.91,51.060001,42.77,51.02,245600,46.122322
2011-05-02,46.560001,47.32,40.18,45.950001,271200,41.539021
2011-04-01,47.720001,49.349998,43.330002,46.400002,170200,41.793144
2011-03-01,48.18,50.57,45.16,47.299999,233700,42.603786
2011-02-01,51.790001,52.389999,45.369999,47.919998,277700,43.162228
2011-01-03,47.720001,51.59,45.060001,51.490002,238600,46.377781
2010-12-01,44.759998,48.099998,44.759998,47.349998,143300,42.648819
2010-11-01,39.040001,44.830002,38.869999,43.91,250200,39.550365
2010-10-01,36.439999,40.98,35.150002,38.779999,175300,34.929699
2010-09-01,33.419998,36.849998,33.18,36.080002,202500,32.497772
2010-08-02,34.099998,34.599998,32.00,33.00,328000,29.723572
2010-07-01,29.34,34.27,28.32,33.43,314200,30.110878
2010-06-01,32.07,33.369999,29.209999,29.40,400400,26.480999
2010-05-03,38.830002,40.59,30.030001,32.50,476700,29.273214
2010-04-01,38.139999,39.369999,36.299999,38.709999,332700,34.86665
