Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.06,2.06,2.00,2.00,10600,1.7033
2013-03-01,1.84,2.16,1.76,2.05,22700,1.7459
2013-02-01,2.10,2.13,1.88,1.94,14300,1.5844
2013-01-01,2.19,2.25,2.00,2.10,6400,1.7151
2012-12-03,1.79,2.25,1.70,2.19,14100,1.7886
2012-11-01,2.78,2.78,1.70,1.74,22300,1.3579
2012-10-01,2.67,2.83,2.66,2.75,10900,2.1461
2012-09-03,2.49,2.95,2.49,2.71,8000,2.1149
2012-08-01,2.86,2.98,2.35,2.49,10300,1.8856
2012-07-02,2.86,3.12,2.70,2.89,12700,2.1885
2012-06-01,3.37,3.55,2.81,2.86,14700,2.1658
2012-05-01,3.45,3.59,3.20,3.50,23400,2.586
2012-04-02,3.51,3.60,2.88,3.49,24600,2.5786
2012-03-01,4.10,4.35,3.50,3.60,48200,2.6599
2012-02-01,3.80,4.16,3.76,4.05,41900,2.934
2012-01-02,3.23,4.00,3.05,3.80,29600,2.7529
2011-12-01,3.25,3.30,2.86,3.23,33100,2.34
2011-11-01,32.68,43.56,2.65,3.25,205900,2.2956
2011-10-03,2.46,46.42,2.20,2.79,199800,1.9707
2011-09-01,2.81,48.32,2.41,35.38,97900,24.9902
2011-08-01,58.47,59.00,2.65,49.03,133800,33.6596
2011-07-01,53.13,55.66,3.70,3.75,55900,2.5744
2011-06-01,4.20,4.20,3.65,3.90,14400,2.6774
2011-05-02,3.40,48.62,3.15,4.20,97600,2.8264
2011-04-01,3.55,3.95,3.40,3.40,13100,2.2881
2011-03-01,3.75,3.85,2.46,3.55,25600,2.389
2011-02-01,3.95,4.00,3.60,3.80,18700,2.5025
2011-01-03,44.18,44.95,2.91,3.95,30800,2.6012
2010-12-01,3.12,43.51,2.86,3.06,73800,2.0151
2010-11-01,2.02,3.15,2.02,3.14,23100,2.064
2010-10-01,1.65,34.91,1.65,2.00,52200,1.3147
2010-09-01,1.30,31.99,1.30,1.62,226200,1.0649
2010-08-02,30.49,32.00,1.30,1.30,220800,0.8523
2010-07-01,25.50,30.80,1.00,1.40,338300,0.9179
2010-06-01,30.22,34.00,0.87,1.40,404400,0.9179
2010-05-03,0.80,34.31,0.71,30.74,528900,18.6431
2010-04-01,28.47,33.30,0.75,0.80,540400,0.4852
2010-03-01,0.80,29.86,0.80,28.16,371400,17.0783
2010-02-01,27.43,29.84,0.80,0.80,334000,0.4397
2010-01-04,29.84,31.27,0.80,27.08,708200,14.8837
2009-12-01,27.60,30.96,0.71,29.15,264000,16.0214
2009-11-02,25.88,29.21,0.80,27.33,310900,14.9786
2009-10-01,0.80,31.37,0.80,0.84,362900,0.4604
2009-09-01,0.71,1.00,0.71,0.80,1600,0.4385
2009-08-03,0.70,0.80,0.62,0.71,1700,0.3526
2009-07-01,0.78,0.78,0.60,0.70,2900,0.3477
2009-06-01,0.93,1.00,0.75,0.78,2100,0.3874
2009-05-01,0.97,1.15,0.83,1.00,1900,0.4583
2009-04-01,0.76,1.25,0.56,0.96,19400,0.4399
2009-03-02,0.81,0.85,0.76,0.76,2000,0.3483
2009-02-02,0.90,0.90,0.80,0.81,400,0.3385
2009-01-01,1.00,1.10,0.90,0.90,2300,0.3761
2008-12-01,1.00,1.50,0.80,1.00,2500,0.4178
2008-11-03,1.70,1.70,0.75,1.00,1300,0.3946
2008-10-01,2.01,2.30,1.25,1.25,7200,0.4933
2008-09-01,2.40,2.40,2.01,2.01,8400,0.7932
2008-08-01,2.35,2.40,2.00,2.40,1200,0.916
2008-07-01,2.20,2.40,1.75,2.10,2900,0.8015
2008-06-02,2.00,2.30,1.75,2.20,18700,0.8396
2008-05-01,2.30,2.30,1.75,2.20,1600,0.8036
2008-04-01,1.45,2.45,1.45,2.45,9400,0.895
2008-03-03,1.50,1.65,1.26,1.45,2200,0.5297
2008-02-01,1.25,1.71,1.16,1.50,1600,0.5186
2008-01-01,1.26,1.40,1.05,1.25,900,0.4322
2007-12-03,1.50,1.50,1.05,1.26,60400,0.4356
2007-11-01,1.15,1.50,1.00,1.50,7300,0.4839
2007-10-01,1.20,1.25,1.15,1.15,800,0.371
2007-09-03,1.50,1.55,1.13,1.21,500,0.3903
2007-08-01,1.70,1.75,1.45,1.50,1200,0.4604
2007-07-02,1.85,1.90,1.55,1.70,2500,0.5218
2007-06-01,2.09,2.25,1.85,1.85,10100,0.5679
2007-05-01,2.21,2.30,1.95,2.09,3200,0.6176
2007-04-02,2.40,2.45,2.25,2.25,3800,0.6649
2007-03-01,2.30,2.75,2.26,2.40,4900,0.7092
2007-02-01,2.07,2.55,2.07,2.30,6000,0.6597
2007-01-01,0.195,2.20,0.195,2.05,15800,0.588
2006-12-01,0.195,0.195,0.195,0.195,000,0.2796
2006-11-01,0.195,0.195,0.195,0.195,000,0.2581
2006-10-02,0.095,0.195,0.08,0.195,600,0.2581
2006-09-01,0.085,0.14,0.085,0.095,300,0.1258
2006-08-01,0.085,0.425,0.085,0.085,000,0.1005
2006-07-03,0.07,0.525,0.07,0.085,900,0.1005
2006-06-01,0.08,0.50,0.07,0.07,900,0.0827
2006-05-01,0.425,0.475,0.06,0.08,1100,0.0396
2006-04-03,0.475,0.60,0.095,0.10,400,0.0495
2006-03-01,0.105,0.90,0.10,0.10,3200,0.0495
2006-02-01,0.50,0.60,0.09,0.105,600,0.0391
2006-01-02,0.065,0.50,0.065,0.10,2700,0.0372
2005-12-01,0.06,0.35,0.03,0.065,1100,0.0242
