Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.00,26.00,25.10,25.50,1495000,25.082233
2013-03-01,25.190001,26.59,24.00,25.959999,1396800,25.534697
2013-02-01,30.309999,30.42,25.42,25.620001,1502700,25.200268
2013-01-02,36.50,36.580002,29.50,29.59,1376200,29.105227
2012-12-03,32.720001,36.27,30.860001,35.950001,1094700,35.361031
2012-11-01,35.990002,37.52,32.00,32.77,960300,32.233131
2012-10-01,38.889999,39.279999,34.560001,35.759998,716700,34.973778
2012-09-04,35.169998,40.09,33.639999,38.959999,1275100,38.10342
2012-08-01,35.84,36.16,31.049999,34.66,1019600,33.897964
2012-07-02,37.950001,39.099998,35.299999,36.419998,746100,35.619267
2012-06-01,39.619999,42.73,36.599998,37.98,1212400,37.14497
2012-05-01,41.549999,41.919998,35.029999,39.139999,1191200,38.279465
2012-04-02,40.009998,43.040001,38.689999,41.27,976000,40.362637
2012-03-01,40.310001,40.950001,37.689999,40.310001,1093400,39.047653
2012-02-01,43.110001,43.50,38.610001,40.130001,877700,38.873291
2012-01-03,38.91,43.900002,37.709999,42.900002,824600,41.556545
2011-12-01,39.23,40.619999,36.139999,38.34,1110200,37.139347
2011-11-01,39.470001,45.799999,37.939999,39.150002,1121400,37.923981
2011-10-03,38.50,44.150002,35.59,40.93,999500,39.446976
2011-09-01,46.959999,49.450001,37.099998,37.740002,1276500,36.372562
2011-08-01,41.060001,47.50,38.00,46.830002,1436700,45.133202
2011-07-01,37.849998,43.43,36.119999,40.939999,1285200,39.456612
2011-06-01,44.00,44.009998,35.330002,37.98,1922600,36.603863
2011-05-02,41.209999,44.380001,37.759998,44.119999,1481700,42.521389
2011-04-01,42.900002,44.779999,37.029999,41.669998,1633500,40.16016
2011-03-01,46.889999,47.490002,41.029999,42.970001,1034500,41.09853
2011-02-01,41.580002,48.450001,39.299999,46.669998,1482600,44.637383
2011-01-03,49.220001,49.529999,39.919998,41.00,1359700,39.214329
2010-12-01,51.650002,54.200001,46.639999,48.959999,841900,46.827648
2010-11-01,53.990002,57.200001,50.259998,50.639999,1182000,48.434479
2010-10-01,45.41,53.049999,44.669998,52.889999,1001800,50.441746
2010-09-01,41.73,45.200001,39.990002,45.18,947600,43.088638
2010-08-02,39.279999,41.759998,35.59,41.34,990000,39.426388
2010-07-01,38.07,40.369999,36.150002,38.610001,751700,36.822762
2010-06-01,35.91,40.889999,34.91,38.439999,1183200,36.660629
2010-05-03,33.009998,37.990002,30.790001,36.00,1818700,34.333576
2010-04-01,31.59,35.439999,29.84,32.889999,1241500,31.367537
2010-03-01,33.84,35.310001,29.48,30.969999,1221500,29.277548
2010-02-01,31.940001,34.869999,28.59,33.610001,1262400,31.773277
2010-01-04,34.599998,38.84,31.219999,31.48,1305700,29.759678
2009-12-01,40.98,42.689999,30.85,33.470001,1489600,31.640928
2009-11-02,34.50,42.43,33.060001,40.150002,1435300,37.955879
2009-10-01,35.209999,39.900002,32.419998,33.57,1680300,31.615545
2009-09-01,25.01,35.349998,24.10,35.209999,1899400,33.160065
2009-08-03,26.91,28.26,24.15,25.27,960100,23.798775
2009-07-01,24.50,26.209999,20.809999,26.049999,976200,24.533361
2009-06-01,29.030001,29.93,22.639999,24.030001,1292300,22.630968
2009-05-01,21.24,29.440001,20.780001,28.33,1372800,26.68062
2009-04-01,24.41,25.01,19.09,21.16,1190900,19.928059
2009-03-02,18.620001,25.110001,17.00,23.98,1588000,22.563883
