Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,100.860001,101.639999,100.00,100.50,1565000,87.608452
2013-03-01,103.57,105.900002,99.849998,101.059998,1171400,88.096619
2013-02-01,105.610001,107.839996,103.00,103.879997,1092600,89.971474
2013-01-02,106.760002,109.650002,105.129997,105.279999,843800,91.184029
2012-12-03,102.970001,106.870003,101.959999,105.809998,839300,91.643059
2012-11-01,106.449997,108.00,99.230003,102.629997,946000,88.341797
2012-10-01,110.669998,111.559998,105.410004,106.300003,746900,91.50087
2012-09-04,112.099998,117.00,110.220001,110.610001,866900,95.210823
2012-08-01,111.209999,113.830002,109.839996,112.129997,707300,96.040184
2012-07-02,109.230003,112.089996,107.519997,110.900002,712200,94.986679
2012-06-01,101.199997,108.370003,99.330002,108.370003,945400,92.819717
2012-05-01,108.349998,110.169998,100.470001,102.93,1047100,87.694534
2012-04-02,104.989998,108.300003,98.919998,108.25,997300,92.227074
2012-03-01,101.529999,106.360001,101.260002,104.989998,1008600,89.449615
2012-02-01,104.239998,107.870003,100.980003,101.550003,986100,86.061859
2012-01-03,101.739998,104.690002,96.730003,104.050003,1104700,88.180565
2011-12-01,94.940002,102.32,91.849998,99.599998,844300,84.409264
2011-11-01,96.739998,100.639999,88.400002,95.379997,1149400,80.395264
2011-10-03,88.349998,100.080002,81.519997,98.989998,1752000,83.43811
2011-09-01,104.32,104.720001,89.019997,89.099998,1658500,75.101891
2011-08-01,108.769997,108.980003,89.019997,104.290001,1936200,87.433662
2011-07-01,106.00,112.839996,105.269997,107.360001,1008200,90.007454
2011-06-01,107.68,108.199997,100.00,106.160004,1321800,89.001419
2011-05-02,105.190002,108.349998,102.360001,108.349998,1030600,90.400131
2011-04-01,95.529999,104.580002,93.290001,104.529999,1015200,87.212975
2011-03-01,96.099998,96.150002,89.82,94.849998,1118600,79.13662
2011-02-01,94.919998,96.589996,92.059998,95.919998,1165500,79.600014
2011-01-03,86.860001,94.940002,83.900002,94.370003,1365200,78.313736
2010-12-01,85.099998,87.330002,81.110001,86.099998,875900,71.450806
2010-11-01,86.589996,90.510002,81.019997,83.800003,1078200,69.14196
2010-10-01,83.900002,91.449997,82.709999,86.190002,1167000,71.113907
2010-09-01,82.800003,89.260002,82.190002,83.120003,1346000,68.580902
2010-08-02,83.760002,86.080002,79.209999,81.400002,1333100,66.76683
2010-07-01,71.559998,82.559998,68.470001,81.900002,1546800,67.176949
2010-06-01,76.150002,81.800003,70.910004,71.339996,1888600,58.515301
2010-05-03,79.870003,82.480003,70.940002,76.68,2216000,62.485542
2010-04-01,75.849998,83.419998,74.870003,78.860001,1440500,64.262001
2010-03-01,68.239998,78.220001,67.839996,75.440002,1259900,61.475086
2010-02-01,65.709999,68.75,61.50,67.93,1685900,54.992012
2010-01-04,67.589996,69.620003,63.349998,64.870003,1714300,52.51482
2009-12-01,67.449997,71.730003,66.610001,67.07,1704700,54.295807
2009-11-02,60.939999,67.709999,59.080002,66.980003,1991000,53.83746
2009-10-01,65.239998,67.25,57.189999,60.77,2199900,48.845959
2009-09-01,60.419998,72.230003,55.849998,65.550003,2460300,52.688049
2009-08-03,53.419998,62.98,53.02,60.580002,2450700,48.322102
2009-07-01,48.02,54.389999,42.619999,52.900002,2795500,42.196091
2009-06-01,49.360001,53.189999,44.02,47.700001,3912700,38.048271
2009-05-01,48.66,52.73,44.32,48.32,4098700,38.13496
2009-04-01,34.68,51.310001,33.790001,49.419998,5959700,39.003098
2009-03-02,35.450001,42.799999,29.299999,35.029999,6018700,27.646267
2009-02-02,42.189999,47.900002,35.439999,37.09,4934800,28.742102
2009-01-02,55.299999,56.779999,39.50,43.299999,4208200,33.554405
2008-12-01,51.009998,63.900002,42.580002,55.00,3863700,42.621071
2008-11-03,70.419998,73.050003,37.52,53.400002,4130300,40.858444
2008-10-01,92.00,92.410004,57.630001,70.879997,3705900,54.233078
2008-09-02,104.480003,105.800003,82.00,93.660004,2707100,71.662956
2008-08-01,96.860001,105.129997,93.650002,102.470001,1661800,77.824203
2008-07-01,89.489998,103.269997,86.720001,96.190002,2031000,73.054649
2008-06-02,97.099998,101.00,89.040001,90.220001,1290500,68.520538
2008-05-01,101.519997,106.529999,95.709999,97.739998,1060800,73.700897
2008-04-01,92.349998,103.900002,92.349998,100.489998,1125700,75.774536
2008-03-03,85.110001,98.720001,82.449997,92.07,1852300,69.42543
2008-02-01,90.910004,96.529999,83.790001,86.169998,1514600,64.509125
2008-01-02,91.57,94.879997,79.879997,91.709999,2178900,68.656509
2007-12-03,98.330002,105.110001,90.410004,91.809998,1268900,68.731369
2007-11-01,107.639999,107.800003,87.779999,98.419998,1367500,68.859962
2007-10-01,104.25,113.599998,98.00,108.339996,1012100,75.800529
2007-09-04,99.50,106.43,94.290001,103.900002,1015600,72.694069
2007-08-01,93.529999,105.860001,91.25,100.07,1463400,69.54895
2007-07-02,102.459999,108.25,92.190002,94.489998,1300500,65.67083
2007-06-01,115.68,118.00,97.940002,102.129997,1439500,70.980652
2007-05-01,117.709999,118.00,106.410004,115.68,1249300,79.851624
2007-04-02,117.410004,119.949997,114.779999,117.559998,877200,81.149345
2007-03-01,118.00,120.510002,113.160004,117.400002,1178100,81.038902
2007-02-01,123.510002,133.020004,117.00,120.029999,2271300,82.367722
2007-01-03,112.00,126.559998,109.07,126.089996,875900,86.526253
2006-12-01,116.800003,118.220001,107.519997,111.879997,879800,76.774979
2006-11-01,107.050003,118.209999,101.879997,117.050003,892500,75.996773
2006-10-02,103.75,107.010002,102.300003,106.830002,734100,69.361252
2006-09-01,101.779999,105.940002,99.32,103.339996,901200,67.095306
2006-08-01,96.099998,102.699997,94.690002,101.629997,634600,65.551743
2006-07-03,90.400002,98.790001,90.089996,98.199997,661700,63.339378
2006-06-01,84.709999,90.919998,84.709999,90.400002,737800,58.30835
2006-05-01,88.50,90.75,81.889999,84.650002,761800,54.174728
2006-04-03,93.150002,93.150002,85.379997,88.269997,946200,56.49147
2006-03-01,84.900002,97.18,84.269997,93.25,1541200,59.678596
2006-02-01,78.260002,86.18,76.959999,84.669998,606700,53.783939
2006-01-03,74.379997,80.949997,72.980003,78.260002,686700,49.712193
2005-12-01,75.25,76.370003,73.449997,74.129997,524900,47.088737
2005-11-01,69.220001,75.599998,66.169998,75.209999,728000,47.340282
2005-10-03,71.00,71.769997,64.400002,69.220001,506500,43.569927
2005-09-01,71.75,74.82,68.209999,70.900002,534300,44.627392
2005-08-01,76.400002,76.660004,68.980003,71.150002,577300,44.359955
2005-07-01,70.089996,76.669998,69.760002,76.150002,421300,47.47731
2005-06-01,66.779999,70.169998,66.470001,70.00,457900,43.642963
2005-05-02,66.470001,68.849998,64.910004,66.800003,558700,41.237656
2005-04-01,61.50,66.650002,58.84,66.470001,587400,41.033936
2005-03-01,59.810001,62.950001,58.669998,60.23,424000,37.181793
2005-02-01,58.029999,62.040001,57.599998,59.799999,439300,36.513729
2005-01-03,64.559998,65.050003,56.66,57.779999,515000,35.280323
2004-12-01,60.220001,64.900002,60.040001,64.669998,320700,39.487339
2004-11-01,59.720001,62.34,57.939999,60.18,478700,36.372849
2004-10-01,55.470001,59.860001,55.150002,59.720001,325100,36.094826
