Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.280001,16.299999,15.74,15.86,1668400,15.163013
2013-03-01,15.22,16.52,14.88,16.299999,728200,15.583676
2013-02-01,14.59,15.49,14.30,15.30,605700,14.618265
2013-01-02,14.94,15.23,14.14,14.50,749800,13.85391
2012-12-03,13.32,14.94,13.15,14.54,577400,13.892129
2012-11-01,14.13,14.53,12.55,13.23,567400,12.631326
2012-10-01,14.80,15.00,13.25,14.15,527400,13.509694
2012-09-04,14.72,15.69,14.54,14.74,598000,14.072996
2012-08-01,14.55,14.93,13.81,14.74,402600,14.063738
2012-07-02,14.52,15.29,13.96,14.49,493000,13.825208
2012-06-01,13.25,14.70,12.48,14.52,672300,13.853832
2012-05-01,13.45,13.86,13.03,13.49,747000,12.861292
2012-04-02,13.42,14.00,12.40,13.47,692400,12.842225
2012-03-01,11.90,14.21,11.43,13.47,719300,12.842225
2012-02-01,11.37,12.70,11.25,11.84,612100,11.278998
2012-01-03,11.31,12.60,10.85,11.23,1542600,10.697901
2011-12-01,9.79,11.39,9.66,11.02,781600,10.497852
2011-11-01,9.45,10.45,8.57,9.80,982900,9.32662
2011-10-03,8.74,11.13,8.23,9.77,1162500,9.29807
2011-09-01,11.29,11.38,8.61,8.78,1065700,8.35589
2011-08-01,13.68,13.69,9.88,11.29,1280500,10.733924
2011-07-01,12.43,14.35,11.57,13.54,1075900,12.873102
2011-06-01,12.80,12.80,11.57,12.41,1554700,11.798759
2011-05-02,13.58,13.74,12.56,12.84,626400,12.197525
2011-04-01,15.45,16.25,13.41,13.55,691100,12.871999
2011-03-01,15.38,16.23,14.98,15.45,545300,14.676928
2011-02-01,15.69,16.15,15.14,15.94,542500,15.036317
2011-01-03,16.129999,16.75,14.71,15.64,1322200,14.753325
2010-12-01,13.04,16.309999,12.98,15.95,933700,15.04575
2010-11-01,13.26,14.30,12.70,12.85,783900,11.942403
2010-10-01,14.33,14.71,12.27,13.19,931300,12.258388
2010-09-01,12.91,14.55,12.78,14.18,591600,13.178464
2010-08-02,14.82,14.96,12.41,12.75,639100,11.667166
2010-07-01,17.83,18.73,13.15,14.66,1042000,13.414953
2010-06-01,19.299999,19.73,17.860001,17.879999,487700,16.361485
2010-05-03,22.18,22.42,18.790001,19.389999,518900,17.538225
2010-04-01,21.08,23.25,21.030001,22.139999,657600,20.025597
2010-03-01,19.940001,21.32,18.969999,20.959999,619500,18.958288
2010-02-01,22.950001,23.10,17.549999,19.469999,1034600,17.412613
2010-01-04,23.639999,24.75,22.629999,22.879999,510100,20.46228
2009-12-01,23.299999,23.889999,22.309999,23.459999,394000,20.980991
2009-11-02,22.77,24.23,21.709999,23.200001,683000,20.54631
2009-10-01,24.41,25.190001,22.469999,22.58,653600,19.997229
2009-09-01,22.83,24.959999,21.91,24.41,489900,21.617907
2009-08-03,22.620001,24.540001,22.379999,23.00,516400,20.174858
2009-07-01,20.57,22.639999,19.41,22.50,632000,19.736275
2009-06-01,22.530001,22.76,19.459999,20.530001,680600,18.008255
2009-05-01,23.07,25.299999,21.01,22.24,914100,19.310705
2009-04-01,20.34,24.57,20.10,23.25,1076800,20.187675
2009-03-02,18.41,22.01,15.60,20.84,1358700,18.095102
2009-02-02,18.309999,21.549999,16.52,18.629999,1198400,15.986184
2009-01-02,23.620001,23.870001,16.01,18.90,952000,16.217869
2008-12-01,21.959999,23.360001,18.52,23.360001,705000,20.044943
2008-11-03,24.18,24.709999,16.93,22.24,984800,18.882904
2008-10-01,27.879999,29.25,18.75,24.27,934800,20.60648
2008-09-02,23.190001,31.90,22.620001,28.129999,1666900,23.883818
2008-08-01,21.459999,25.00,20.98,23.02,927000,19.368938
2008-07-01,17.450001,22.18,15.15,21.299999,1402900,17.921736
2008-06-02,23.52,23.700001,17.48,17.49,1024200,14.716018
2008-05-01,24.00,25.299999,23.379999,23.67,370000,19.717947
2008-04-01,23.91,25.299999,22.40,24.030001,406800,20.017839
2008-03-03,22.50,24.950001,20.77,23.16,494400,19.293098
2008-02-01,24.65,25.50,22.360001,22.48,401900,18.558718
2008-01-02,23.700001,24.83,19.01,24.469999,577900,20.201593
2007-12-03,24.24,25.780001,22.870001,23.610001,349300,19.491608
2007-11-01,23.940001,24.73,21.190001,24.459999,385400,20.018396
2007-10-01,24.559999,25.52,22.73,24.26,203700,19.854715
2007-09-04,24.99,26.50,23.82,24.299999,200200,19.887451
2007-08-01,23.370001,26.049999,21.75,24.99,320400,20.27599
2007-07-02,24.690001,25.00,22.90,23.35,218000,18.945353
2007-06-01,25.18,25.40,24.059999,24.459999,174500,19.845966
2007-05-01,24.620001,25.549999,24.280001,25.040001,132600,20.141844
2007-04-02,24.58,25.110001,23.219999,24.57,160100,19.763783
2007-03-01,24.76,25.309999,23.51,24.450001,117400,19.667255
2007-02-01,25.440001,26.17,24.83,24.90,145000,19.868029
2007-01-03,27.15,27.559999,24.65,25.33,176800,20.211132
2006-12-01,25.93,27.540001,25.41,26.82,107400,21.400023
2006-11-01,25.50,26.280001,24.610001,26.049999,147700,20.626717
2006-10-02,27.84,28.32,24.969999,25.549999,245700,20.23081
2006-09-01,28.120001,28.60,27.360001,27.76,130600,21.980717
2006-08-01,27.40,28.219999,27.10,28.059999,133300,22.061407
2006-07-03,26.85,28.00,26.030001,27.35,311100,21.503189
2006-06-01,26.049999,27.25,24.780001,27.25,662600,21.424566
2006-05-01,25.790001,26.559999,24.469999,26.02,271000,20.299358
2006-04-03,24.219999,26.33,23.60,25.629999,251600,19.9951
2006-03-01,24.01,24.690001,23.629999,24.01,194100,18.731268
2006-02-01,22.940001,24.629999,22.84,24.02,184700,18.59255
2006-01-03,22.280001,24.08,21.780001,23.040001,213500,17.833986
2005-12-01,22.91,23.35,21.90,22.07,148200,17.083162
2005-11-01,22.00,23.530001,21.799999,22.709999,132300,17.434338
2005-10-03,22.84,23.33,19.93,22.17,237200,17.019783
2005-09-01,22.440001,23.299999,22.049999,22.85,177900,17.541817
2005-08-01,23.379999,23.75,21.379999,22.49,145800,17.12319
2005-07-01,23.66,25.24,23.110001,23.280001,171900,17.724672
2005-06-01,22.280001,23.969999,21.790001,23.60,164500,17.968309
2005-05-02,21.15,22.74,21.040001,22.35,123900,16.870501
2005-04-01,20.75,21.73,19.91,21.17,188800,15.979798
2005-03-01,21.02,21.65,20.290001,20.639999,140300,15.579737
2005-02-01,21.809999,22.15,20.43,21.02,126400,15.723087
2005-01-03,24.25,24.450001,21.120001,21.799999,179100,16.306532
2004-12-01,24.93,25.25,23.60,24.370001,104100,18.228909
2004-11-01,23.85,25.00,23.59,24.860001,86400,18.451044
2004-10-01,23.08,24.299999,22.85,23.790001,105800,17.656893
2004-09-01,22.450001,23.50,22.25,22.99,93300,17.063133
2004-08-02,20.969999,22.700001,20.48,22.40,96600,16.496302
2004-07-01,22.65,22.950001,20.65,21.120001,142700,15.553658
2004-06-01,21.00,22.98,20.60,22.530001,199200,16.592041
2004-05-03,20.23,20.969999,19.35,20.92,79300,15.275868
2004-04-01,21.85,23.00,19.959999,20.23,105500,14.772028
2004-03-01,22.00,22.700001,21.379999,21.879999,83700,15.976864
2004-02-02,22.41,22.50,21.299999,21.879999,142000,15.846203
2004-01-02,23.799999,24.09,21.99,22.41,85500,16.230045
2003-12-01,24.299999,24.50,23.40,23.719999,42200,17.178789
2003-11-03,23.51,24.50,23.49,24.40,51600,17.538734
2003-10-01,21.950001,23.51,21.92,23.51,70000,16.899002
2003-09-02,21.60,22.17,20.90,21.90,63700,15.741733
2003-08-01,21.10,21.92,20.290001,21.549999,71500,15.372914
2003-07-01,20.799999,22.23,20.51,21.200001,85700,15.12324
2003-06-02,22.049999,22.76,20.35,20.85,87600,14.873563
2003-05-01,20.030001,22.049999,19.799999,22.049999,102900,15.61643
2003-04-01,18.60,20.23,18.309999,20.10,88500,14.235387
2003-03-03,18.65,18.91,17.50,18.40,76900,13.031398
2003-02-03,18.629999,19.00,18.030001,18.65,75700,13.089192
2003-01-02,19.620001,20.299999,18.23,18.879999,68500,13.250613
2002-12-02,19.450001,19.780001,18.860001,19.42,59700,13.629604
2002-11-01,18.950001,19.98,17.60,19.549999,97500,13.608145
2002-10-01,19.60,20.190001,17.43,18.950001,119000,13.190505
