Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.540001,17.67,17.059999,17.26,456600,17.26
2013-03-01,16.25,17.879999,15.87,17.50,287000,17.50
2013-02-01,16.940001,18.74,13.25,16.43,347600,16.43
2013-01-02,15.23,17.280001,14.63,16.85,463600,16.85
2012-12-03,12.80,14.97,12.24,14.77,149400,14.77
2012-11-01,12.20,12.99,10.83,12.76,145900,12.76
2012-10-01,12.63,12.98,11.90,12.15,120900,12.15
2012-09-04,13.03,13.54,11.98,12.49,254300,12.49
2012-08-01,7.14,13.26,6.99,13.03,481600,13.03
2012-07-02,10.67,11.54,7.11,7.29,201100,7.29
2012-06-01,10.74,11.09,9.65,10.62,127200,10.62
2012-05-01,14.20,14.20,10.28,10.97,230200,10.97
2012-04-02,12.64,13.90,11.98,13.39,224600,13.39
2012-03-01,11.30,12.90,9.65,12.65,237500,12.65
2012-02-01,10.47,12.11,10.22,11.45,216600,11.45
2012-01-03,9.75,10.91,9.59,10.37,170700,10.37
2011-12-01,13.80,13.80,7.85,9.46,436300,9.46
2011-11-01,10.91,14.88,10.91,13.60,62800,13.60
2011-10-03,10.81,14.91,10.19,13.69,73200,13.69
2011-09-01,12.13,12.40,10.37,10.94,88700,10.94
2011-08-01,17.709999,17.969999,10.51,12.14,113500,12.14
2011-07-01,16.629999,18.459999,16.59,17.360001,53600,17.360001
2011-06-01,18.469999,18.59,15.25,16.610001,67100,16.610001
2011-05-02,18.940001,19.10,17.49,18.48,59000,18.48
2011-04-01,18.98,19.24,16.360001,18.879999,63100,18.879999
2011-03-01,17.35,19.290001,16.360001,18.879999,54300,18.879999
2011-02-01,15.90,18.43,15.87,17.24,72400,17.24
2011-01-03,18.60,19.15,15.14,15.69,82600,15.69
2010-12-01,15.46,19.200001,15.32,18.41,85200,18.41
2010-11-01,15.45,15.90,14.48,15.14,95600,15.14
2010-10-01,13.42,16.00,13.11,15.40,112000,15.40
2010-09-01,14.27,15.10,12.66,13.25,100400,13.25
2010-08-02,15.15,15.52,12.97,13.94,119000,13.94
2010-07-01,13.85,16.09,13.37,14.77,173200,14.77
2010-06-01,14.61,14.93,12.17,13.89,240400,13.89
2010-05-03,13.88,15.32,12.19,14.87,255700,14.87
2010-04-01,13.20,19.290001,13.05,13.72,233100,13.72
2010-03-01,11.60,13.70,11.51,13.08,126800,13.08
2010-02-01,9.74,12.68,9.55,11.52,131900,11.52
2010-01-04,13.99,14.19,9.67,9.70,120100,9.70
2009-12-01,13.34,14.41,13.02,13.69,81200,13.69
2009-11-02,11.35,14.02,11.10,13.10,134600,13.10
2009-10-01,9.90,12.00,8.74,11.27,239500,11.27
2009-09-01,10.92,12.11,9.84,9.94,132700,9.94
2009-08-03,10.80,12.48,10.36,11.01,144600,11.01
2009-07-01,12.26,13.48,9.45,10.55,129300,10.55
2009-06-01,10.81,12.87,10.44,12.08,126200,12.08
2009-05-01,9.67,11.75,9.60,10.50,125700,10.50
2009-04-01,8.72,12.18,8.25,9.69,187700,9.69
2009-03-02,7.10,10.20,5.29,8.92,183100,8.92
2009-02-02,8.41,11.44,7.09,7.29,121600,7.241669
2009-01-02,10.80,13.09,8.04,8.46,153600,8.403912
2008-12-01,8.80,12.74,8.25,10.83,173500,10.758199
2008-11-03,12.11,13.79,6.12,9.08,166400,9.019801
2008-10-01,17.10,17.41,8.20,12.17,226700,12.033647
2008-09-02,20.559999,21.00,16.16,17.280001,213200,17.086395
2008-08-01,20.219999,21.639999,19.00,20.08,268100,19.855022
2008-07-01,28.40,28.459999,18.059999,20.24,303400,19.95146
2008-06-02,32.830002,32.950001,27.379999,28.610001,156900,28.202139
2008-05-01,30.809999,34.200001,29.690001,32.830002,178400,32.36198
2008-04-01,27.02,32.380001,26.08,30.91,150400,30.410301
2008-03-03,22.200001,29.459999,19.33,27.00,163300,26.563511
2008-02-01,21.18,24.620001,20.84,22.23,140300,21.870623
2008-01-02,27.190001,29.65,16.700001,21.18,245000,20.783825
2007-12-03,25.15,30.26,24.370001,27.190001,105900,26.681406
2007-11-01,29.700001,30.129999,23.66,25.10,167200,24.630501
2007-10-01,32.599998,37.18,26.75,30.10,197600,29.472296
2007-09-04,29.049999,34.25,27.799999,32.599998,123900,31.920158
2007-08-01,33.02,34.00,26.23,29.129999,280000,28.522522
2007-07-02,35.93,37.220001,30.120001,33.02,232700,32.262119
2007-06-01,36.75,38.099998,34.900002,35.91,214000,35.085785
2007-05-01,33.73,37.299999,30.26,37.00,226800,36.150768
2007-04-02,29.360001,35.709999,28.639999,33.900002,111000,33.059879
2007-03-01,28.09,29.66,26.42,29.360001,95700,28.632389
2007-02-01,25.15,30.85,24.889999,28.799999,105700,28.086266
2007-01-03,27.00,27.049999,22.719999,25.00,71100,24.329735
2006-12-01,26.639999,27.93,24.15,25.450001,79200,24.767672
2006-11-01,33.669998,34.200001,25.26,26.52,64400,25.808983
2006-10-02,26.809999,33.990002,25.809999,33.439999,43300,32.473915
2006-09-01,28.469999,30.00,25.34,26.84,66000,26.06459
2006-08-01,29.200001,33.98,25.50,28.26,61500,27.443567
2006-07-03,31.290001,34.860001,28.059999,33.080002,94300,32.060917
2006-06-01,27.60,32.25,23.610001,32.25,121000,31.256483
2006-05-01,37.50,44.25,25.50,27.700001,151300,26.846655
2006-04-03,29.459999,40.849998,29.450001,36.099998,110600,34.935524
2006-03-01,28.32,31.309999,22.16,29.50,89900,28.548422
2006-02-01,29.700001,30.93,26.450001,28.32,59000,27.406485
2006-01-03,22.209999,30.15,22.209999,30.15,68400,29.118391
2005-12-01,20.00,24.52,20.00,21.84,73600,21.092726
2005-11-01,21.75,21.799999,18.50,20.65,78100,19.943441
2005-10-03,17.74,20.15,15.02,19.93,83800,19.248077
2005-09-01,15.10,17.950001,15.10,17.50,60700,16.901222
2005-08-01,15.15,17.969999,14.01,15.20,70800,14.679918
2005-07-01,15.47,15.63,13.88,15.21,39200,14.689577
