Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,53.049999,53.50,52.919998,52.98,330400,51.243893
2013-03-01,50.450001,55.799999,50.02,53.279999,847000,51.534061
2013-02-01,47.73,51.110001,47.02,50.68,535600,49.019264
2013-01-02,44.720001,48.310001,43.66,47.740002,475500,46.175606
2012-12-03,44.169998,46.970001,43.560001,44.389999,443900,42.935379
2012-11-01,46.50,46.560001,43.110001,43.279999,351100,41.861752
2012-10-01,45.049999,49.060001,45.049999,46.740002,396200,45.153931
2012-09-04,42.389999,45.509998,41.959999,45.110001,380500,43.579239
2012-08-01,41.139999,43.299999,40.459999,42.880001,423100,41.424915
2012-07-02,40.349998,42.220001,37.639999,40.889999,383200,39.452023
2012-06-01,37.580002,40.169998,36.189999,39.990002,586200,38.583675
2012-05-01,46.709999,48.200001,37.689999,38.32,739900,36.918106
2012-04-02,48.099998,49.77,45.080002,47.029999,505900,45.093845
2012-03-01,46.93,49.98,45.00,47.619999,606800,45.659557
2012-02-01,42.959999,48.130001,42.650002,46.759998,591300,44.834961
2012-01-03,36.290001,42.990002,35.689999,42.610001,384900,40.855812
2011-12-01,37.32,38.709999,34.490002,36.43,418200,34.930233
2011-11-01,37.490002,39.48,31.77,36.560001,426600,35.054882
2011-10-03,30.43,41.599998,30.030001,39.189999,861000,37.522823
2011-09-01,42.470001,42.810001,30.41,30.780001,620000,29.470592
2011-08-01,43.509998,43.639999,33.950001,41.459999,788500,39.696255
2011-07-01,47.139999,48.619999,41.34,43.189999,738800,41.295048
2011-06-01,39.52,54.09,38.34,46.950001,2079400,44.890083
2011-05-02,45.810001,46.27,40.220001,40.610001,826700,38.828247
2011-04-01,43.02,45.52,41.509998,45.459999,658700,43.406658
2011-03-01,37.549999,41.950001,37.02,41.93,486400,39.774479
2011-02-01,38.060001,38.189999,35.700001,37.709999,596700,35.77142
2011-01-03,42.900002,43.470001,36.959999,38.16,750700,36.198288
2010-12-01,42.34,42.389999,39.290001,41.98,483000,39.821911
2010-11-01,39.509998,42.240002,37.91,42.07,734700,39.907284
2010-10-01,69.870003,78.18,36.209999,39.610001,1004200,37.527622
2010-09-01,71.540001,73.230003,66.849998,69.019997,1020400,32.695736
2010-08-02,67.540001,71.120003,63.029999,70.419998,1041700,33.358936
2010-07-01,69.339996,74.169998,64.720001,65.059998,949800,30.778116
2010-06-01,63.400002,71.370003,60.150002,69.519997,544300,32.88802
2010-05-03,68.709999,70.660004,56.869999,62.509998,857000,29.569927
2010-04-01,68.209999,75.650002,64.550003,68.510002,755300,32.361359
2010-03-01,69.370003,72.889999,63.00,67.230003,509400,31.54281
2010-02-01,68.290001,73.900002,63.00,68.459999,619700,32.119896
2010-01-04,76.440002,79.160004,66.220001,66.720001,693700,31.303528
2009-12-01,65.709999,76.139999,65.589996,75.120003,527800,35.244621
2009-11-02,60.91,69.989998,60.439999,63.950001,596400,30.003906
2009-10-01,56.34,66.589996,55.00,60.490002,651200,28.346807
2009-09-01,48.939999,56.639999,47.959999,56.299999,441400,26.383289
2009-08-03,47.57,50.849998,46.189999,48.77,490900,22.854584
2009-07-01,39.450001,46.91,38.330002,46.799999,423000,21.842514
2009-06-01,38.82,39.75,35.389999,38.459999,573000,17.950066
2009-05-01,32.740002,37.57,31.91,37.439999,482900,17.461788
2009-04-01,26.73,33.00,26.67,32.290001,590500,14.947853
2009-03-02,23.34,28.66,22.870001,27.08,627000,12.536013
2009-02-02,25.17,27.35,22.379999,24.23,682500,11.216676
2009-01-02,26.82,28.65,23.34,25.65,779200,11.874029
2008-12-01,30.52,32.580002,25.58,27.559999,919200,12.758217
2008-11-03,30.299999,34.040001,25.370001,32.990002,805400,15.271901
2008-10-01,34.599998,35.84,21.26,29.93,923000,13.85535
2008-09-02,42.540001,42.990002,33.029999,34.959999,819700,16.183863
2008-08-01,46.049999,47.169998,40.630001,41.669998,498600,19.290089
2008-07-01,41.810001,48.009998,41.380001,46.09,724000,21.33622
2008-06-02,46.700001,48.790001,41.77,42.459999,679000,19.655802
2008-05-01,47.299999,50.50,43.299999,47.18,716500,21.840809
2008-04-01,41.50,46.23,41.110001,45.490002,769200,20.907452
2008-03-03,43.50,45.93,38.43,40.939999,875300,18.816246
2008-02-01,36.110001,44.799999,34.880001,43.389999,1015300,19.94228
2008-01-02,37.43,37.91,30.49,36.459999,921900,16.757214
2007-12-03,33.200001,40.59,32.41,36.959999,959700,16.987017
2007-11-01,31.50,35.00,29.639999,33.02,793100,15.176171
2007-10-01,30.690001,34.360001,28.799999,32.18,978200,14.790103
2007-09-04,32.34,32.759998,27.719999,30.32,880000,13.935236
2007-08-01,37.150002,39.00,25.540001,32.130001,930300,14.767123
2007-07-02,39.259998,44.540001,34.740002,37.18,940800,17.088129
2007-06-01,34.18,40.560001,33.150002,38.650002,1064900,17.76375
2007-05-01,31.959999,34.110001,31.120001,33.720001,645900,15.497895
2007-04-02,28.790001,34.07,28.379999,31.860001,502600,14.601308
2007-03-01,28.299999,30.719999,27.10,28.889999,534000,13.240169
2007-02-01,33.00,33.759998,28.98,29.83,351000,13.670967
2007-01-03,34.75,34.860001,31.32,32.950001,345300,15.100851
2006-12-01,30.99,35.75,30.32,34.169998,456600,15.65997
2006-11-01,30.030001,32.990002,29.200001,31.02,519900,14.216339
2006-10-02,26.24,31.18,26.00,29.870001,643100,13.6893
2006-09-01,27.50,29.50,25.049999,26.01,675500,11.920277
2006-08-01,29.540001,30.10,25.799999,27.559999,780200,12.630635
2006-07-03,31.299999,31.889999,26.700001,29.950001,377500,13.725963
2006-06-01,33.490002,34.50,26.65,31.139999,1030400,14.271335
2006-05-01,39.360001,42.279999,30.26,33.049999,593900,15.14668
2006-04-03,42.150002,42.549999,38.25,39.360001,531100,18.038527
2006-03-01,42.509998,46.369999,40.689999,42.150002,514500,19.182636
2006-02-01,37.630001,43.130001,34.82,42.50,483500,19.341923
2006-01-03,34.790001,38.349998,33.869999,37.630001,600200,17.125566
2005-12-01,32.150002,34.869999,30.49,32.900002,388900,14.972924
2005-11-01,28.00,33.400002,27.360001,31.99,455800,14.558779
2005-10-03,28.85,29.25,25.43,27.559999,488000,12.542667
2005-09-01,24.040001,29.200001,24.030001,28.870001,406100,13.138854
2005-08-01,21.90,24.98,21.83,24.02,615700,10.9316
2005-07-01,20.01,22.049999,18.209999,21.879999,832200,9.957676
2005-06-01,21.549999,22.25,19.879999,19.889999,453700,9.052019
2005-05-02,19.85,23.879999,19.450001,21.700001,425500,9.875758
2005-04-01,21.50,22.41,19.49,20.10,344100,8.997863
2005-03-01,23.68,23.90,20.639999,20.99,435100,9.396276
2005-02-01,22.15,26.620001,21.209999,23.98,509300,10.734763
2005-01-03,25.629999,25.68,20.700001,22.07,280700,9.879743
2004-12-01,24.75,25.60,23.139999,25.60,256200,11.459964
2004-11-01,23.799999,24.959999,22.940001,24.32,391900,10.886966
2004-10-01,20.59,23.940001,20.459999,23.799999,270400,10.654185
2004-09-01,20.10,21.559999,19.52,19.99,259400,8.94862
2004-08-02,18.84,21.540001,18.23,20.60,328400,9.22169
2004-07-01,17.700001,19.26,17.209999,18.940001,412900,8.478583
2004-06-01,14.95,17.299999,14.63,17.299999,421600,7.744429
2004-05-03,17.40,18.059999,13.37,15.00,647900,6.714823
2004-04-01,21.049999,22.389999,17.799999,17.799999,243600,7.890364
2004-03-01,23.059999,23.15,19.27,21.049999,281600,9.33102
2004-02-02,22.790001,24.290001,20.799999,23.00,421000,10.195415
2004-01-02,25.15,28.27,22.91,22.99,308000,10.190981
2003-12-01,22.299999,25.15,22.18,25.15,224900,11.148463
2003-11-03,20.23,22.34,19.299999,22.200001,256800,9.840792
2003-10-01,18.93,20.58,18.60,20.129999,295000,8.923203
2003-09-02,19.91,20.879999,17.99,18.879999,308800,8.369104
2003-08-01,18.540001,20.040001,17.10,19.66,382000,8.714863
2003-07-01,15.45,18.66,15.20,18.65,412900,8.267151
2003-06-02,15.20,17.190001,15.00,15.34,310500,6.799898
2003-05-01,14.45,16.620001,14.26,15.15,405200,6.715675
2003-04-01,12.70,14.79,12.68,14.50,286300,6.427544
2003-03-03,12.52,14.15,11.15,12.62,167600,5.34376
2003-02-03,14.28,14.33,12.00,12.49,161700,5.288714
2003-01-02,15.25,16.40,14.11,14.30,235400,6.055133
2002-12-02,15.45,16.219999,14.00,15.30,190300,6.478569
2002-11-01,15.62,16.85,14.70,15.60,194100,6.6056
2002-10-01,11.94,16.77,10.90,15.52,329000,6.571725
2002-09-03,15.45,16.25,11.81,11.84,231000,5.013481
2002-08-01,12.00,16.35,12.00,15.39,290400,6.516678
2002-07-01,17.90,18.40,11.50,11.98,261700,5.072762
2002-06-03,20.950001,20.950001,16.389999,17.790001,206000,7.532925
2002-05-01,23.51,23.51,19.309999,20.950001,220500,8.870982
2002-04-01,22.60,25.50,22.360001,23.50,167100,9.950743
2002-03-01,23.50,23.50,21.889999,22.700001,113100,9.425432
2002-02-01,21.950001,23.700001,19.459999,23.48,199400,9.749302
2002-01-02,22.00,25.10,20.25,21.950001,224200,9.114019
2001-12-03,18.40,22.00,17.870001,22.00,249900,9.13478
2001-11-01,15.18,21.139999,15.00,18.58,394700,7.545101
2001-10-01,12.75,16.10,12.35,15.18,227000,6.164404
2001-09-04,19.299999,19.35,12.40,12.50,275900,5.076091
2001-08-01,19.299999,22.049999,19.15,19.299999,141600,7.837483
2001-07-02,23.10,23.35,17.90,19.76,231400,8.024284
2001-06-01,26.200001,28.16,20.75,23.209999,318800,9.425284
2001-05-01,28.25,29.99,24.50,26.10,342800,10.598877
2001-04-02,31.25,31.60,26.049999,28.450001,428100,11.553183
2001-03-01,33.599998,33.849998,27.90,31.10,392100,12.629313
2001-02-01,35.650002,37.25,33.099998,33.599998,241200,13.644531
2001-01-02,36.625,39.1875,34.549999,35.700001,360800,14.497315
2000-12-01,33.4375,37.4375,33.4375,36.50,167000,14.822185
2000-11-01,35.625,37.25,32.00,33.6875,315300,13.603326
2000-10-02,37.1875,40.00,33.1875,35.625,296200,14.199396
2000-09-01,37.6875,39.75,35.50,37.1875,234700,14.822177
2000-08-01,31.5625,38.00,31.50,37.3125,332000,14.871999
2000-07-03,32.00,36.50,30.75,31.5625,151800,12.580167
2000-06-01,30.125,33.875,30.00,32.125,174900,12.804368
2000-05-01,28.50,31.25,27.25,30.00,138300,11.957386
2000-04-03,36.00,38.0625,28.375,28.50,176000,11.359517
2000-03-01,33.75,37.00,33.375,35.75,154000,14.199024
2000-02-01,33.125,34.9375,30.375,33.75,292700,13.404673
2000-01-03,32.5625,37.25,31.625,33.00,216800,13.106791
