Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.549999,36.630001,36.220001,36.389999,8409000,24.322897
2013-03-01,35.52,37.369999,35.169998,36.919998,2267000,24.677145
2013-02-01,35.099998,36.57,34.32,35.779999,3570000,23.782389
2013-01-02,32.099998,34.970001,32.009998,34.869999,1960600,23.177526
2012-12-03,31.32,32.50,30.870001,31.73,3358000,21.09042
2012-11-01,31.49,32.07,29.290001,31.18,2771000,20.724844
2012-10-01,31.370001,32.549999,30.280001,31.440001,2221400,20.786577
2012-09-04,29.50,31.68,28.82,31.27,2569400,20.674181
2012-08-01,29.50,30.15,28.440001,29.530001,1899600,19.419025
2012-07-02,28.059999,29.799999,26.540001,29.32,2866000,19.280928
2012-06-01,26.90,28.15,26.049999,28.040001,3330900,18.439196
2012-05-01,30.110001,30.110001,26.82,27.360001,3326100,17.88265
2012-04-02,28.50,30.73,27.26,30.120001,3432900,19.686602
2012-03-01,28.93,28.99,27.049999,28.60,2609300,18.693121
2012-02-01,26.950001,29.040001,26.879999,28.90,2976400,18.778254
2012-01-03,26.32,27.42,25.450001,26.790001,2411300,17.407248
2011-12-01,26.07,26.51,24.879999,25.780001,2663900,16.750982
2011-11-01,26.08,26.85,24.200001,26.120001,2542200,16.971903
2011-10-03,24.66,27.49,23.030001,26.82,4174000,17.336946
2011-09-01,27.559999,27.92,24.16,24.879999,3574400,16.082893
2011-08-01,28.059999,28.50,23.969999,27.620001,4871700,17.76767
2011-07-01,29.23,29.99,27.48,28.110001,3888900,18.082882
2011-06-01,28.91,29.389999,27.73,29.18,3380600,18.771202
2011-05-02,28.450001,29.77,27.26,28.889999,3787700,18.499577
2011-04-01,27.43,28.860001,27.27,28.41,2494100,18.192211
2011-03-01,26.32,27.459999,25.16,27.299999,2979100,17.481426
2011-02-01,25.33,27.15,25.129999,26.299999,3447500,16.764936
2011-01-03,25.129999,25.93,23.629999,25.16,4175700,16.038242
2010-12-01,24.34,26.120001,24.200001,25.030001,3407000,15.955375
2010-11-01,23.780001,25.540001,23.66,24.15,4947700,15.394418
2010-10-01,31.00,31.799999,21.66,24.01,7216100,15.232696
2010-09-01,28.690001,31.450001,28.530001,31.00,4143800,13.482662
2010-08-02,28.889999,29.459999,27.879999,28.459999,3185900,12.340267
2010-07-01,25.82,29.00,25.559999,28.700001,3874500,12.444332
2010-06-01,26.059999,27.50,24.77,25.860001,5761000,11.212907
2010-05-03,27.85,28.200001,24.290001,26.10,7612000,11.276792
2010-04-01,27.75,28.93,27.709999,27.73,5824100,11.98105
2010-03-01,25.469999,28.16,25.40,27.66,8727600,11.950807
2010-02-01,20.34,26.00,18.84,25.549999,8521000,11.001092
2010-01-04,21.440001,21.98,20.15,20.190001,3837900,8.693232
2009-12-01,19.780001,21.530001,19.469999,21.200001,3068600,9.128108
2009-11-02,19.120001,20.790001,18.75,19.65,4069300,8.460723
2009-10-01,21.219999,21.25,18.940001,19.07,4396800,8.179104
2009-09-01,20.120001,21.440001,19.75,21.41,4002000,9.182728
2009-08-03,18.99,20.940001,18.76,20.209999,4004300,8.634222
2009-07-01,16.01,19.60,16.01,18.790001,4860400,8.027563
2009-06-01,16.92,17.83,16.280001,16.65,4845700,7.1133
2009-05-01,17.02,17.719999,16.42,16.66,5181000,7.088923
2009-04-01,13.02,17.219999,12.79,17.059999,5304000,7.259124
2009-03-02,11.32,13.48,9.70,13.19,4831800,5.612418
2009-02-02,11.23,13.57,10.90,11.48,4555500,4.851988
2009-01-02,12.00,13.47,10.95,11.23,3204500,4.746326
2008-12-01,9.00,12.40,8.43,12.03,4013300,5.084444
2008-11-03,10.10,10.72,7.25,9.18,4127100,3.8799
2008-10-01,16.780001,17.120001,8.25,10.05,6676600,4.212989
2008-09-02,17.26,19.60,16.10,16.77,3681600,7.030033
2008-08-01,17.02,18.110001,16.709999,17.07,2144900,7.126789
2008-07-01,17.23,17.450001,15.99,16.93,3861100,7.068339
2008-06-02,20.01,20.08,16.389999,17.299999,3596900,7.222815
2008-05-01,22.690001,22.879999,19.35,20.139999,3827200,8.378449
2008-04-01,24.49,24.809999,22.43,22.50,3119600,9.360234
2008-03-03,24.360001,25.190001,23.620001,24.200001,2619000,10.067452
2008-02-01,23.030001,25.459999,23.030001,24.43,2777300,10.134297
2008-01-02,25.889999,26.99,21.799999,23.049999,3204200,9.561831
2007-12-03,25.85,27.09,24.540001,26.030001,2475700,10.798025
2007-11-01,25.75,26.32,24.629999,25.969999,2230700,10.773135
2007-10-01,24.280001,25.84,23.719999,25.809999,1940100,10.681795
2007-09-04,23.889999,24.60,23.58,24.219999,2495400,10.023753
2007-08-01,22.530001,24.35,22.32,23.82,2943500,9.833531
2007-07-02,24.15,24.450001,22.35,22.66,2820600,9.354652
2007-06-01,23.309999,24.290001,22.299999,24.00,2917300,9.907841
2007-05-01,22.40,23.790001,21.790001,23.35,3053100,9.613683
2007-04-02,20.24,22.959999,20.24,21.940001,3166700,9.033156
2007-03-01,19.959999,20.48,19.780001,20.25,2399300,8.337348
2007-02-01,20.52,21.25,20.049999,20.08,3044500,8.242824
2007-01-03,20.530001,21.219999,20.120001,20.52,2316700,8.423444
2006-12-01,20.50,21.030001,19.969999,20.42,2094300,8.382394
2006-11-01,20.15,21.33,19.530001,20.450001,2518800,8.394709
2006-10-02,20.76,21.23,19.959999,20.030001,2917200,8.198032
2006-09-01,22.299999,22.49,20.33,20.83,2002600,8.525462
2006-08-01,21.48,22.43,20.780001,22.299999,1454300,9.100912
2006-07-03,20.24,21.83,20.059999,21.459999,1677500,8.758098
2006-06-01,19.690001,20.459999,18.83,20.370001,1508200,8.313255
2006-05-01,19.690001,20.17,19.200001,19.66,1612000,7.998565
2006-04-03,20.440001,20.950001,19.450001,19.530001,1675600,7.945675
2006-03-01,19.700001,20.93,19.290001,20.34,1462700,8.275219
2006-02-01,19.620001,20.32,19.15,19.65,1243000,7.970891
2006-01-03,19.26,20.09,18.940001,19.74,1333300,8.007399
2005-12-01,19.450001,20.530001,19.01,19.17,1316300,7.776182
2005-11-01,18.870001,19.68,18.52,19.219999,1113100,7.796463
2005-10-03,19.549999,19.950001,18.68,18.90,1467000,7.650956
2005-09-01,22.290001,22.41,19.01,19.50,3175100,7.893844
2005-08-01,23.620001,23.90,21.83,22.35,1418200,9.028961
2005-07-01,22.059999,23.92,21.50,23.50,2084400,9.493539
2005-06-01,21.92,22.809999,21.299999,22.01,1501000,8.891608
2005-05-02,20.50,22.299999,19.860001,21.879999,1245500,8.823164
2005-04-01,20.559999,21.190001,19.10,20.299999,1323900,8.186025
2005-03-01,21.52,21.969999,20.219999,20.52,1637000,8.274741
2005-02-01,21.92,23.360001,20.629999,21.35,1865200,8.592979
2005-01-03,21.030001,22.040001,20.299999,21.950001,1315900,8.834469
2004-12-01,20.950001,21.540001,20.190001,20.85,1142200,8.391739
2004-11-01,20.91,22.23,20.389999,20.799999,1308400,8.355515
2004-10-01,18.85,20.950001,18.459999,20.91,1217000,8.399702
2004-09-01,20.65,20.85,18.450001,18.90,2209400,7.59227
2004-08-02,20.299999,21.00,19.35,20.65,2244400,8.277868
2004-07-01,28.99,28.99,20.059999,20.40,2950100,8.177651
