Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,65.36,65.42,65.35,65.39,165200,64.8358
2013-03-01,65.14,65.50,65.13,65.39,27400,64.8358
2013-02-01,65.05,65.56,64.9916,65.13,34200,64.578
2013-01-01,65.22,65.39,64.65,65.00,54800,64.4492
2012-12-03,65.02,65.30,64.76,65.22,60700,64.1178
2012-11-01,65.07,65.21,64.48,65.21,47800,64.108
2012-10-01,65.69,65.69,64.61,65.03,30800,63.931
2012-09-03,65.16,65.42,65.07,65.21,43000,63.5641
2012-08-01,65.20,65.46,64.82,65.16,27900,63.5154
2012-07-02,65.37,65.74,64.72,65.03,35700,63.3887
2012-06-01,65.22,65.97,64.00,65.69,73800,63.49
2012-05-01,65.60,66.00,64.80,65.63,51600,63.432
2012-04-02,66.65,67.24,65.29,65.62,62500,63.4224
2012-03-01,66.75,67.48,66.00,66.73,73200,63.9571
2012-02-01,57.25,66.98,56.78,66.67,169800,63.8996
2012-01-02,58.38,59.74,54.76,56.88,64100,54.5164
2011-12-01,56.29,59.67,54.83,58.38,49400,55.4176
2011-11-01,54.03,56.67,52.17,56.35,49300,53.4906
2011-10-03,51.95,56.23,50.55,55.21,58400,52.4085
2011-09-01,56.19,56.63,50.19,52.17,72000,49.0025
2011-08-01,51.83,57.12,48.00,56.19,73600,52.7784
2011-07-01,53.35,54.80,50.3229,51.07,35900,47.9693
2011-06-01,53.60,54.3784,50.94,53.26,49500,49.5293
2011-05-02,53.96,54.44,51.41,53.95,57800,50.1709
2011-04-01,50.87,53.84,48.7595,53.62,38700,49.8641
2011-03-01,49.35,50.75,47.44,50.54,45100,46.5143
2011-02-01,48.97,50.23,47.76,49.06,43300,45.1522
2011-01-03,49.35,50.66,48.27,48.61,47100,44.7381
2010-12-01,47.00,50.33,46.76,48.89,36200,44.506
2010-11-01,45.74,47.35,45.20,46.64,38900,42.4578
2010-10-01,44.58,47.90,43.72,45.45,51500,41.3745
2010-09-01,42.73,44.77,41.50,44.16,42400,39.7192
2010-08-02,42.36,43.05,40.17,42.14,47200,37.9024
2010-07-01,39.37,43.11,38.60,41.80,50200,37.5966
2010-06-01,38.68,40.74,37.75,39.24,58600,34.8056
2010-05-03,41.81,43.13,38.20,38.89,63900,34.4951
2010-04-01,41.17,43.47,40.81,41.42,41700,36.7392
2010-03-01,40.06,41.72,39.71,40.84,45500,35.7653
