Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.400005,20.639997,20.260006,20.349998,21240000,18.552374
2013-03-01,19.949999,22.969995,19.230003,20.410006,14598800,18.60708
2013-02-01,20.310001,20.880001,19.090002,20.160002,15750600,18.379162
2013-01-02,16.940001,21.200006,16.319996,20.180002,20619600,18.397394
2012-12-03,17.219999,17.580004,16.230003,16.620005,12252000,15.073076
2012-11-01,20.280005,20.509998,16.289999,17.030005,15758300,15.444915
2012-10-01,19.080004,21.660004,18.879997,20.260006,12081400,18.374279
2012-09-04,19.360003,20.639997,18.410002,18.869997,17088800,17.037056
2012-08-01,18.84,20.440002,17.150005,19.350002,16504400,17.470436
2012-07-02,18.58,20.190002,16.620005,18.820004,22123000,16.991919
2012-06-01,16.520002,19.500002,15.479998,18.599998,32074400,16.715834
2012-05-01,20.229998,20.629999,13.319997,16.900003,53915500,15.188049
2012-04-02,23.079998,23.690004,16.780003,18.440001,31186000,16.572044
2012-03-01,24.890003,26.090006,22.519999,23.170002,13078000,20.731651
2012-02-01,21.250004,25.860003,20.629999,24.999996,21150300,22.369061
2012-01-03,23.199999,24.309998,20.410006,21.130001,22206600,18.906334
2011-12-01,25.23,26.160002,21.999996,22.290007,10324000,19.866541
2011-11-01,26.970001,29.849997,22.409996,25.340002,16864500,22.584929
2011-10-03,25.259996,29.870007,22.519999,28.120007,12451800,25.062677
2011-09-01,32.689999,33.870003,25.540007,25.549995,14460300,22.772091
2011-08-01,35.389999,35.750004,26.970001,32.389999,16252600,28.775267
2011-07-01,29.739996,35.070004,29.240004,34.349998,12956800,30.516527
2011-06-01,31.290003,31.400005,27.279997,29.690001,9344600,26.376587
2011-05-02,33.889999,33.899998,28.749998,31.339998,11550900,27.75651
2011-04-01,33.919998,34.699997,31.300001,33.669994,10647700,29.820091
2011-03-01,35.760002,35.93,30.760002,33.519997,14854700,29.687244
2011-02-01,29.469997,35.949997,29.179998,35.610004,18655800,31.467384
2011-01-03,26.390003,29.729998,25.929998,29.530001,13402000,26.094687
2010-12-01,21.360004,26.43,21.110004,25.909998,13257900,22.895811
2010-11-01,22.020006,23.619997,21.110004,21.120001,14268400,18.609518
2010-10-01,22.919998,24.319996,20.970003,21.68,17018900,19.102951
2010-09-01,20.990002,23.000004,20.740002,22.65,11387200,19.957649
2010-08-02,21.400002,22.600002,19.679998,20.680004,10634600,18.158812
2010-07-01,20.899998,22.170006,20.310001,21.029999,12011900,18.466135
2010-06-01,22.020006,25.549995,20.899998,20.950005,18349000,18.395893
2010-05-03,23.99,24.299997,19.620003,22.340002,19610900,19.550892
2010-04-01,23.940004,24.940001,23.110004,23.800005,14676100,20.828615
2010-03-01,26.729998,27.170006,22.10,23.639996,20949700,20.688583
2010-02-01,25.08,27.809999,23.560001,26.57,13321300,23.177866
2010-01-04,27.429996,29.220005,24.640003,24.780003,16968200,21.616394
2009-12-01,24.289997,28.229998,22.060003,25.880001,16986700,22.575958
