Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.57,21.620001,21.040001,21.219999,1177600,21.219999
2013-03-01,19.99,22.709999,19.91,21.610001,691800,21.610001
2013-02-01,23.870001,24.120001,19.049999,20.120001,1004200,20.120001
2013-01-02,21.799999,24.51,21.799999,23.719999,651200,23.719999
2012-12-03,19.799999,21.690001,19.68,21.26,794300,21.26
2012-11-01,16.00,20.450001,14.85,20.32,1213100,20.32
2012-10-01,17.33,17.66,15.52,15.93,417900,15.93
2012-09-04,16.60,18.440001,15.83,17.219999,713700,17.219999
2012-08-01,13.61,16.969999,12.98,16.530001,635000,16.530001
2012-07-02,14.57,14.96,12.55,13.52,687600,13.52
2012-06-01,14.60,15.38,13.17,14.50,674800,14.50
2012-05-01,16.99,17.91,13.93,15.11,855900,15.11
2012-04-02,16.93,17.809999,15.99,17.02,752600,17.02
2012-03-01,15.60,17.790001,14.87,16.98,1238100,16.98
2012-02-01,14.19,15.91,13.89,15.52,797500,15.52
2012-01-03,11.70,14.34,11.36,14.05,587700,14.05
2011-12-01,11.59,12.32,10.33,11.34,779600,11.34
2011-11-01,11.48,12.28,9.75,11.65,820000,11.65
2011-10-03,9.92,12.95,8.49,12.14,1136800,12.14
2011-09-01,13.15,13.54,9.86,10.03,1016700,10.03
2011-08-01,17.83,17.969999,10.82,13.24,1688700,13.24
2011-07-01,18.209999,18.92,16.84,17.60,725800,17.60
2011-06-01,18.93,19.00,16.34,18.200001,1506300,18.200001
2011-05-02,19.370001,19.370001,17.139999,19.049999,1863300,19.049999
2011-04-01,17.25,19.209999,16.40,19.18,1015500,19.18
2011-03-01,16.42,17.309999,15.05,17.200001,973300,17.200001
2011-02-01,16.780001,17.98,15.91,16.27,1295900,16.27
2011-01-03,16.18,16.75,15.15,16.690001,1456600,16.690001
2010-12-01,14.12,16.10,14.10,15.98,1568500,15.98
2010-11-01,15.88,16.91,13.20,14.09,1976200,14.09
2010-10-26,15.00,15.85,14.95,15.80,4640200,15.80
