Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.84,12.95,12.81,12.90,1717000,9.180838
2013-03-01,12.49,13.22,12.22,12.82,857200,9.123902
2013-02-01,12.39,12.56,12.02,12.54,879400,8.713274
2013-01-02,11.67,12.41,11.62,12.38,687100,8.602099
2012-12-03,12.16,12.25,11.26,11.47,966000,7.969797
2012-11-01,12.38,12.56,10.81,12.14,1592000,8.222325
2012-10-01,13.58,13.60,11.95,12.32,1997300,8.344237
2012-09-04,14.33,14.59,13.49,13.49,1307500,9.136669
2012-08-01,14.12,14.34,13.56,14.34,804300,9.469389
2012-07-02,13.94,14.26,13.53,14.08,1088100,9.297698
2012-06-01,13.70,14.29,13.55,13.91,1171000,9.185439
2012-05-01,13.76,13.95,13.33,13.77,846300,8.83226
2012-04-02,13.12,13.79,12.84,13.73,714100,8.806603
2012-03-01,13.33,13.58,12.93,13.11,1035100,8.408927
2012-02-01,12.94,13.62,12.92,13.30,809300,8.257047
2012-01-03,12.54,13.00,12.29,12.95,749800,8.039755
2011-12-01,12.48,13.11,12.33,12.44,1088800,7.723132
2011-11-01,11.97,12.49,11.66,12.48,833400,7.493253
2011-10-03,11.50,12.42,10.00,12.12,1311000,7.277102
2011-09-01,13.25,13.26,11.51,11.54,1300100,6.928858
2011-08-01,13.31,13.42,11.37,13.31,2002300,7.707572
2011-07-01,13.42,13.69,11.24,12.64,1550400,7.319588
2011-06-01,13.29,13.95,13.10,13.40,1031200,7.759689
2011-05-02,13.24,13.35,12.95,13.27,567500,7.416543
2011-04-01,12.79,13.26,12.65,13.24,680600,7.399776
2011-03-01,13.20,13.48,12.49,12.78,891100,7.142684
2011-02-01,12.75,13.26,12.69,13.14,636400,7.115608
2011-01-03,12.63,12.90,12.56,12.71,516800,6.882753
2010-12-01,11.83,13.07,11.77,12.59,678700,6.81777
2010-11-01,11.49,11.84,11.27,11.75,669500,6.171268
2010-10-01,10.87,11.45,10.80,11.40,743600,5.987442
2010-09-01,11.74,11.92,10.78,10.87,943600,5.709079
2010-08-02,11.78,12.13,11.40,11.62,753900,5.96144
2010-07-01,11.02,12.56,10.69,11.70,1083200,6.002482
2010-06-01,11.29,11.68,10.95,11.06,1097300,5.674141
2010-05-03,11.33,11.52,8.12,11.42,1379700,5.677787
2010-04-01,12.00,12.00,11.24,11.32,968600,5.628069
2010-03-01,12.43,13.12,11.64,11.96,1077700,5.946264
2010-02-01,13.35,13.39,12.28,12.44,926200,5.940833
2010-01-04,13.67,13.83,12.75,13.28,710800,6.341983
2009-12-01,14.36,14.68,13.62,13.65,894800,6.518679
2009-11-02,13.16,14.29,12.56,14.28,738500,6.567484
2009-10-01,13.92,14.12,12.76,13.16,957700,6.052388
2009-09-01,13.70,15.75,12.89,13.91,1292400,6.397319
2009-08-03,13.37,14.00,13.10,13.65,612700,6.049905
2009-07-01,12.75,13.45,12.25,13.36,620300,5.921372
2009-06-01,11.97,13.35,11.72,12.71,1009000,5.633282
2009-05-01,11.35,12.45,11.01,11.93,749200,5.054711
2009-04-01,10.65,11.64,10.50,11.39,801500,4.825914
2009-03-02,9.88,11.97,9.08,10.74,777800,4.550511
2009-02-02,10.62,11.56,9.72,10.02,726700,4.039787
2009-01-02,10.76,12.12,10.09,10.67,717100,4.301849
2008-12-01,10.41,10.93,8.65,10.77,753900,4.342166
2008-11-03,9.97,10.64,7.66,10.49,811600,4.084687
2008-10-01,10.78,10.92,7.52,10.05,1027000,3.913356
2008-09-02,11.89,13.35,9.08,10.95,1155300,4.263806
2008-08-01,11.11,11.91,10.30,11.74,488400,4.35029
2008-07-01,10.73,12.48,9.52,10.92,1139000,4.046437
2008-06-02,13.59,13.83,10.71,10.85,1254600,4.020498
2008-05-01,12.90,13.75,12.46,13.70,849300,4.832666
2008-04-01,11.64,13.68,11.55,12.90,1057100,4.550467
2008-03-03,17.110001,17.209999,8.69,11.40,3544100,4.021343
2008-02-01,15.30,18.620001,15.11,17.219999,917300,5.83487
2008-01-02,13.19,16.889999,13.00,15.00,1094800,5.08264
2007-12-03,12.30,13.84,12.00,13.19,420800,4.469334
2007-11-01,11.62,12.28,10.19,12.20,438500,4.061303
2007-10-01,10.29,12.14,10.06,11.62,288600,3.868225
2007-09-04,9.90,10.68,9.44,10.28,493000,3.422147
2007-08-01,9.41,10.21,8.01,9.97,261100,3.305922
2007-07-02,9.60,10.01,8.50,9.64,97100,3.196498
2007-06-01,10.16,10.51,9.01,9.69,79300,3.213077
2007-05-01,9.98,10.73,9.65,10.13,114900,3.345308
2007-04-02,10.05,10.33,9.51,10.05,72100,3.318888
2007-03-01,8.65,10.02,8.03,9.99,106000,3.299074
2007-02-01,7.95,8.98,7.75,8.75,86100,2.883451
2007-01-03,8.16,8.30,7.88,7.99,64700,2.633003
