Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.12,1.12,1.12,1.12,000,1.12
2013-03-01,1.12,1.12,1.12,1.12,000,1.12
2013-02-01,1.12,11.64,1.12,1.12,43700,1.12
2013-01-01,1.12,1.12,1.12,1.12,000,1.12
2012-12-03,1.12,1.12,1.12,1.12,000,1.12
2012-11-01,1.12,11.43,1.12,1.12,6700,1.12
2012-10-01,1.12,10.8584,1.12,1.12,5400,1.12
2012-09-03,1.12,1.12,1.12,1.12,000,1.12
2012-08-01,1.12,12.15,1.12,1.12,13700,1.12
2012-07-02,1.12,1.12,1.12,1.12,000,1.12
2012-06-01,1.12,10.47,1.12,1.12,11500,1.12
2012-05-01,12.03,12.25,1.12,1.12,72400,1.12
2012-04-02,1.12,12.23,1.12,1.12,50500,1.12
2012-03-01,1.12,1.12,1.12,1.12,000,1.12
2012-02-01,1.12,10.90,1.12,1.12,13500,1.12
2012-01-02,8.28,9.27,1.12,1.12,39900,1.12
2011-12-01,1.12,8.02,1.12,1.12,29500,1.12
2011-11-01,9.93,10.43,1.12,1.12,222700,1.12
2011-10-03,12.00,14.46,9.17,10.29,469500,10.29
2011-09-01,15.04,15.06,12.18,12.22,496300,12.22
2011-08-01,18.38,18.71,13.56,15.01,485800,15.01
2011-07-01,19.27,20.42,17.80,18.18,383800,18.18
2011-06-01,19.95,21.02,17.84,19.27,615300,19.27
2011-05-02,19.76,20.555,18.08,20.03,436800,20.03
2011-04-01,18.74,20.70,17.14,19.70,409700,19.70
2011-03-01,21.22,21.22,17.7505,18.67,320000,18.67
2011-02-01,19.01,21.28,18.10,21.07,281400,21.07
2011-01-03,20.88,21.60,19.70,19.88,306500,19.88
2010-12-01,19.95,20.95,19.31,20.70,245700,20.70
2010-11-01,17.48,20.149,17.06,19.77,709500,19.77
2010-10-01,15.13,19.94,15.12,17.49,406300,17.49
2010-09-01,15.00,15.36,13.73,14.97,260600,14.97
2010-08-02,17.07,17.96,14.62,14.73,105000,14.73
2010-07-01,16.29,17.00,14.89,16.82,157200,16.82
2010-06-01,15.80,18.08,15.36,16.31,260600,16.31
2010-05-18,19.50,20.00,15.12,15.9509,121700,15.9509
2006-02-07,1.12,2.14,2.14,1.12,6900,1.12
2006-01-04,1.12,2.14,2.14,1.12,5000,1.12
2005-12-14,1.12,2.14,2.14,1.12,5100,1.12
2005-11-07,1.12,2.14,1.12,1.12,59105800,1.12
2005-10-12,1.12,2.14,2.14,1.12,6900,1.12
2005-09-06,1.07,2.14,1.07,1.12,182500,1.12
2005-08-03,1.07,2.14,2.14,1.07,14400,1.07
2005-07-05,0.90,2.14,0.94,1.07,64800,1.07
2005-05-04,0.86,2.14,0.86,0.90,299400,0.90
2005-04-13,0.78,2.14,0.78,0.86,55900,0.86
2005-03-04,0.70,2.14,0.67,0.78,3142000,0.78
2005-02-08,0.73,2.14,0.73,0.70,33600,0.70
2005-01-06,0.73,2.14,0.73,0.73,34200,0.73
2004-12-09,0.79,2.14,0.73,0.73,99500,0.73
2004-11-01,0.79,2.14,0.76,0.79,149400,0.79
2004-10-19,0.87,2.14,0.79,0.79,258500,0.79
2004-09-09,0.87,2.14,2.14,0.87,6000,0.87
2004-08-03,0.87,2.14,0.87,0.87,50700,0.87
2004-07-05,1.00,2.14,0.91,0.87,19600,0.87
2004-06-01,1.10,2.14,1.05,1.00,114300,1.00
2004-05-03,1.25,2.14,1.05,1.10,7233700,1.10
2004-04-02,1.02,2.14,1.03,1.25,67400,1.25
2004-03-01,1.65,2.14,0.94,1.02,97600,1.02
2004-02-03,0.92,2.14,0.92,1.65,57400,1.65
2004-01-02,0.96,2.14,0.84,0.92,9422800,0.92
2003-12-02,1.01,2.14,0.96,0.96,38300,0.96
2003-11-06,1.07,2.14,1.01,1.01,515400,1.01
2003-10-06,1.12,2.14,1.07,1.07,33800,1.07
2003-09-15,1.02,2.14,1.07,1.12,1262500,1.12
2003-08-01,0.73,2.14,0.76,0.79,413300,0.79
2003-07-01,1.24,2.14,0.72,0.73,287000,0.73
2003-06-03,1.49,2.14,1.36,1.30,104800,1.30
2003-05-02,1.49,2.14,1.49,1.49,127800,1.49
2003-04-02,1.49,2.14,1.49,1.49,218200,1.49
2003-03-03,1.42,2.14,1.29,1.49,527900,1.49
2003-02-05,1.49,2.14,1.49,1.42,228600,1.42
2003-01-06,1.49,2.14,1.49,1.49,14300,1.49
2002-12-02,1.49,2.14,2.14,1.49,955700,1.49
2002-11-06,1.49,2.14,1.49,1.49,223200,1.49
2002-10-02,1.30,2.14,1.36,1.49,994800,1.49
2002-09-03,1.09,2.14,1.14,1.30,47000,1.30
2002-08-05,0.82,2.14,0.86,1.09,249700,1.09
2002-07-01,0.82,0.82,0.65,0.82,27300,0.82
2002-06-03,0.64,2.14,0.64,0.82,9853200,0.82
2002-05-09,0.70,0.75,0.64,0.64,10200,0.64
2002-04-03,1.29,1.30,0.70,0.70,30800,0.70
2001-07-23,2.14,2.14,2.14,2.14,000,2.14
