Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.72,3.83,3.68,3.83,942400,3.83
2013-03-01,5.42,5.79,3.62,3.70,582500,3.70
2013-02-01,5.22,5.82,5.05,5.39,160200,5.39
2013-01-02,4.85,5.50,4.76,5.15,187000,5.15
2012-12-03,4.73,5.00,4.32,4.70,253200,4.70
2012-11-01,5.74,5.80,4.05,4.69,261800,4.69
2012-10-01,6.22,6.36,5.52,5.72,181600,5.72
2012-09-04,5.52,6.55,5.40,6.15,424300,6.15
2012-08-01,5.03,5.64,4.71,5.53,291300,5.53
2012-07-02,4.28,5.13,4.11,4.97,300800,4.97
2012-06-01,4.17,4.53,3.80,4.26,378300,4.26
2012-05-01,5.89,6.40,4.23,4.31,467700,4.31
2012-04-02,6.28,6.45,5.05,5.81,305500,5.81
2012-03-01,7.14,7.48,6.11,6.29,411100,6.29
2012-02-01,6.05,7.95,5.96,7.06,439100,7.06
2012-01-03,5.15,6.15,5.09,6.00,315900,6.00
2011-12-01,5.36,5.40,4.40,4.97,330900,4.97
2011-11-01,4.46,5.99,4.26,5.37,477800,5.37
2011-10-03,3.78,5.17,3.02,4.71,649800,4.71
2011-09-01,5.73,5.83,3.79,3.87,621200,3.87
2011-08-01,7.15,7.20,4.90,5.75,651500,5.75
2011-07-01,6.99,7.73,6.69,6.97,422800,6.97
2011-06-01,7.14,7.14,6.04,7.02,516400,7.02
2011-05-02,6.95,7.70,5.93,7.13,702300,7.13
2011-04-01,7.80,8.04,6.31,6.85,543900,6.85
2011-03-01,8.48,8.60,6.26,7.77,793300,7.77
2011-02-01,8.74,9.36,7.56,8.38,1467000,8.38
2011-01-03,5.98,8.75,5.81,8.71,623200,8.71
2010-12-01,6.10,6.39,5.52,5.92,275900,5.92
2010-11-01,4.93,6.23,4.73,5.92,470300,5.92
2010-10-01,5.09,5.26,4.45,4.93,477600,4.93
2010-09-01,3.79,5.08,3.57,4.95,637000,4.95
2010-08-02,5.86,5.96,3.54,3.70,515900,3.70
2010-07-01,6.19,6.72,5.26,5.77,540200,5.77
2010-06-01,5.45,7.20,4.97,6.30,1080700,6.30
2010-05-03,6.02,6.45,4.46,5.70,1096800,5.70
2010-04-01,5.48,8.80,5.33,6.07,2570900,6.07
2010-03-01,2.93,5.90,2.86,5.36,1251300,5.36
