Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.75,7.87,7.51,7.54,500600,7.54
2013-03-01,6.15,7.99,5.90,7.76,542200,7.76
2013-02-01,7.34,7.45,6.11,6.21,562800,6.21
2013-01-01,8.25,8.51,7.21,7.35,584900,7.35
2012-12-03,7.15,8.42,6.87,8.25,456100,8.25
2012-11-01,7.24,7.70,6.505,7.13,369900,7.13
2012-10-01,7.70,7.94,7.10,7.21,351000,7.21
2012-09-03,6.00,8.14,5.63,7.64,713600,7.64
2012-08-01,5.20,6.44,4.85,6.00,486100,6.00
2012-07-02,5.00,5.63,4.65,5.18,428800,5.18
2012-06-01,5.27,5.49,4.6206,5.00,472000,5.00
2012-05-01,8.48,8.82,5.00,5.42,978700,5.42
2012-04-02,8.76,8.97,7.91,8.50,278600,8.50
2012-03-01,9.61,9.80,8.71,8.79,395900,8.79
2012-02-01,8.83,10.57,8.81,9.59,427800,9.59
2012-01-02,8.34,9.05,8.00,8.79,306200,8.79
2011-12-01,8.40,8.79,7.77,8.34,378100,8.34
2011-11-01,8.53,9.73,7.53,8.31,640000,8.31
2011-10-03,8.23,9.55,7.80,8.88,654900,8.88
2011-09-01,10.28,10.47,0.195,8.34,599900,8.34
2011-08-01,12.06,12.16,8.30,10.31,1105900,10.31
2011-07-01,13.00,13.41,0.18,11.84,446400,11.84
2011-06-01,14.85,15.01,11.78,13.02,579700,13.02
2011-05-02,15.96,16.29,0.179,14.90,601900,14.90
2011-04-01,15.49,16.20,14.54,15.92,280600,15.92
2011-03-01,17.06,17.09,13.75,15.34,638900,15.34
2011-02-01,15.56,17.36,0.202,17.19,533900,17.19
2011-01-03,14.17,16.77,0.176,15.42,641900,15.42
2010-12-01,11.34,14.36,11.10,14.02,619100,14.02
2010-11-01,13.32,13.42,0.152,11.18,776800,11.18
2010-10-01,13.47,14.67,12.93,13.27,393000,13.27
2010-09-01,12.78,13.75,0.147,13.24,314600,13.24
2010-08-02,14.83,14.97,12.55,12.56,469100,12.56
2010-07-01,12.08,14.86,0.15,14.68,720200,14.68
2010-06-01,12.20,14.14,11.59,12.15,902500,12.15
2010-05-03,15.08,15.54,0.15,0.15,1000900,0.15
2010-04-01,15.94,16.87,14.50,15.04,932000,15.04
2010-03-01,14.69,16.78,14.05,15.73,1070900,15.73
2010-02-01,14.77,15.99,0.141,14.56,917100,14.56
2010-01-04,18.37,18.60,14.50,14.67,999200,14.67
2009-12-01,17.15,19.59,16.27,18.04,800000,18.04
2009-11-02,16.33,18.70,16.01,16.99,706100,16.99
2009-10-01,16.05,17.83,14.34,16.19,1012200,16.19
2009-09-01,15.36,16.88,14.54,16.16,551300,16.16
2009-08-03,12.33,16.44,12.121,15.40,990800,15.40
2009-07-01,10.35,12.38,9.75,12.25,507600,12.25
2009-06-01,10.65,11.16,8.66,10.26,690900,10.26
2009-05-01,8.94,10.45,7.66,10.45,889600,10.45
2009-04-01,6.45,8.00,6.20,7.57,651900,7.57
2009-03-02,4.87,7.59,4.32,6.63,1067500,6.63
2009-02-02,13.70,15.00,0.158,4.92,1565000,4.92
2009-01-02,14.72,15.05,0.154,13.98,466100,13.98
2008-12-01,10.85,14.83,10.59,14.78,594300,14.78
2008-11-03,13.65,13.66,0.156,11.15,1075500,11.15
2008-10-01,15.71,15.81,11.14,13.65,800300,13.65
2008-09-01,0.167,17.52,0.167,15.81,759800,15.81
2008-08-01,16.61,17.61,14.03,14.68,791400,14.68
2008-07-01,15.00,17.17,0.202,15.35,1044200,15.35
2008-06-02,24.24,25.77,14.26,15.17,2578600,15.17
2008-05-01,22.84,24.57,21.92,24.34,1001100,24.34
2008-04-01,23.50,24.13,20.40,22.75,1110700,22.75
2008-03-03,20.51,23.54,19.50,23.11,1324900,23.11
2008-02-01,18.72,21.07,16.50,20.47,1278700,20.47
2008-01-02,18.46,19.50,15.20,18.62,631800,18.62
2007-12-03,18.98,21.23,17.74,18.39,767700,18.39
2007-11-01,18.55,20.30,17.34,19.19,702900,19.19
2007-10-01,15.87,19.25,15.24,18.75,521400,18.75
2007-09-04,15.48,16.79,14.97,15.83,479900,15.83
2007-08-01,17.50,18.44,13.31,15.60,1143700,15.60
2007-07-02,19.01,19.50,16.64,17.56,544100,17.56
2007-06-01,18.31,19.92,18.15,18.96,873800,18.96
2007-05-01,14.95,19.05,14.78,18.34,1095900,18.34
2007-04-02,14.02,14.92,13.65,14.92,675900,14.92
2007-03-01,14.00,14.39,12.48,14.02,797800,14.02
2007-02-01,15.87,17.13,14.15,14.51,718100,14.51
2007-01-03,16.07,16.20,15.02,15.87,513200,15.87
2006-12-01,14.45,16.34,14.25,15.97,854800,15.97
2006-11-01,13.65,14.83,12.90,14.30,1277800,14.30
2006-10-02,13.299,13.89,12.52,13.70,818400,13.70
2006-09-01,16.94,17.59,13.00,13.38,1154600,13.38
2006-08-01,13.31,17.20,12.91,16.91,923900,16.91
2006-07-03,13.78,14.28,12.65,13.44,485700,13.44
2006-06-01,14.34,14.64,12.95,13.78,684200,13.78
2006-05-01,16.30,16.39,13.51,14.31,1190600,14.2035
2006-04-03,16.97,17.05,15.75,16.22,548200,16.0993
2006-03-01,17.33,18.27,16.62,16.77,448500,16.6452
2006-02-01,18.12,18.50,16.62,17.22,666000,16.991
2006-01-03,20.20,21.07,17.50,18.11,564100,17.8691
2005-12-01,21.00,21.73,19.25,20.01,637000,19.7439
2005-11-01,27.63,27.70,20.60,20.80,724000,20.4245
2005-10-03,27.95,28.00,25.28,27.61,309000,27.1115
2005-09-01,25.16,28.13,23.91,27.95,489700,27.4454
2005-08-01,30.19,30.87,24.60,25.20,445600,24.6497
2005-07-01,27.51,31.09,27.51,30.18,393100,29.5209
2005-06-01,29.12,30.49,25.33,27.46,650500,26.8603
2005-05-02,25.00,29.13,24.80,29.08,566600,28.3434
2005-04-01,26.70,28.04,23.09,25.05,645000,24.4155
2005-03-01,22.95,27.75,22.95,26.78,566700,26.1017
2005-02-01,22.98,23.24,21.80,22.82,459900,22.16
2005-01-03,22.00,23.09,20.32,22.95,345500,22.2862
2004-12-01,19.85,22.29,19.78,22.06,285900,21.4219
2004-11-01,18.00,19.81,16.67,19.78,474300,19.1209
2004-10-01,17.55,18.89,16.91,18.02,243500,17.4195
2004-09-01,18.88,19.49,17.16,17.41,210100,16.8299
2004-08-02,19.50,20.25,18.32,18.84,257700,18.2122
2004-07-01,21.00,21.06,19.046,19.54,174600,18.8889
2004-06-01,17.50,21.04,17.11,20.92,273400,20.2229
2004-05-03,18.01,18.27,15.56,17.52,429400,16.9362
2004-04-01,20.25,21.60,17.82,18.01,335400,17.4099
2004-03-01,22.70,23.04,19.33,20.85,303300,20.1552
2004-02-02,23.81,23.99,22.18,22.73,302000,21.9726
2004-01-02,22.40,24.40,22.40,23.80,255200,23.0069
2003-12-01,21.40,22.90,20.30,22.81,336000,22.0499
2003-11-03,18.50,21.19,18.50,21.19,239400,20.4839
2003-10-01,17.70,19.00,17.40,18.903,290300,18.2731
2003-09-02,18.15,19.12,17.02,17.70,279000,17.1102
2003-08-01,15.70,18.24,15.51,18.11,212300,17.5065
2003-07-01,14.60,15.95,14.29,15.30,161900,14.7902
2003-06-02,15.00,15.65,13.80,14.50,252400,14.0168
2003-05-01,13.45,15.20,13.16,15.00,246200,14.5002
2003-04-01,10.97,13.58,10.97,13.45,276200,13.0018
2003-03-03,9.65,11.25,8.68,10.97,332600,10.6045
2003-02-03,15.15,15.15,8.70,9.63,377000,9.3091
2003-01-02,13.30,15.60,13.15,15.12,292300,14.6162
2002-12-02,14.09,14.09,11.28,13.50,337400,13.0502
2002-11-01,12.14,14.09,11.02,14.00,263600,13.5335
2002-10-01,15.35,15.55,10.49,12.24,304400,11.8321
2002-09-03,16.25,16.69,14.19,15.45,259400,14.9352
2002-08-01,15.90,17.50,15.25,16.35,158000,15.8052
2002-07-01,17.91,17.91,13.10,16.11,250800,15.5732
2002-06-03,16.66,18.10,15.90,17.91,431600,17.3132
2002-05-01,17.57,18.85,16.25,17.22,468200,16.6462
2002-04-01,16.49,17.60,15.40,17.57,722800,16.9845
2002-03-12,14.45,17.10,13.875,16.50,1410000,15.9502
