Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,49.23,49.259998,48.389996,48.499996,4206000,12.368002
2013-03-01,47.880001,50.59,47.319996,49.23,3655500,12.55416
2013-02-01,42.069996,49.489998,41.829998,48.029999,4663700,12.198551
2013-01-02,41.049999,42.779999,40.329998,41.799999,3137400,10.61627
2012-12-03,38.869999,40.630001,37.610001,40.049999,4525200,10.171809
2012-11-01,30.529999,38.68,30.529999,38.060001,4096400,9.617126
2012-10-01,32.330002,32.589996,30.149998,30.449999,2408000,7.694206
2012-09-04,32.679996,34.740002,31.499998,32.209999,4334200,8.138927
2012-08-01,24.659998,33.419998,23.83,32.209999,4547300,8.138927
2012-07-02,24.92,25.190001,22.189999,24.620001,4101500,6.182423
2012-06-01,26.139997,26.959999,23.099998,24.82,3906600,6.232646
2012-05-01,28.009998,28.499998,25.50,26.639997,4089800,6.636263
2012-04-02,29.849998,30.280001,25.67,28.059999,4289200,6.989998
2012-03-01,31.989998,32.84,29.679998,29.939999,3644500,7.458323
2012-02-01,26.109999,33.799999,25.77,31.76,6934100,7.859771
2012-01-03,24.290001,26.66,23.269999,25.829998,4263200,6.392251
2011-12-01,24.32,26.599998,23.43,23.700001,5470400,5.865132
2011-11-01,30.439999,33.00,22.799997,24.43,7559000,6.000143
2011-10-03,26.709997,33.119999,26.059998,31.459997,4061900,7.726748
2011-09-01,30.649998,30.829998,25.60,26.85,4978800,6.594508
2011-08-01,35.549999,35.68,26.309998,30.659998,9797600,7.479929
2011-07-01,38.00,38.499996,34.889999,35.279999,3754800,8.607042
2011-06-01,39.630001,40.00,36.970001,37.959999,5131300,9.260865
2011-05-02,51.309998,51.429996,36.299999,39.889996,6023500,9.681003
2011-04-01,49.23,51.299995,48.470001,50.98,2498600,12.372463
2011-03-01,48.359997,49.43,45.450001,48.729996,2440900,11.826405
2011-02-01,53.50,56.609997,47.02,48.129997,6046800,11.631275
2011-01-03,49.909996,54.259995,49.799999,53.289997,2734400,12.87826
2010-12-01,45.299999,49.739998,45.259995,49.599998,2817300,11.98652
2010-11-01,49.289997,49.959995,44.439995,44.629997,2676000,10.740457
2010-10-01,46.359997,50.009998,45.149998,49.049999,2807700,11.804154
2010-09-01,40.469997,46.43,39.959995,45.999996,3373600,11.070154
2010-08-02,46.009995,46.630001,39.610001,39.810001,3181500,9.546693
2010-07-01,45.219997,47.179996,43.419994,45.330002,2857200,10.870424
2010-06-01,49.469997,51.369999,45.080002,45.249996,3353300,10.851238
2010-05-03,52.819996,52.819996,47.049999,49.990002,4760400,11.951552
2010-04-01,54.209995,55.860001,52.319996,52.389999,3531900,12.525341
2010-03-01,51.779999,55.48,51.689995,54.490002,2276800,13.027407
2010-02-01,51.599998,53.659996,50.509995,51.790001,2610800,12.381894
2010-01-04,57.939995,57.999996,51.209999,51.299995,2352200,12.264744
2009-12-01,55.619995,58.359997,54.540001,57.529995,1776300,13.754205
2009-11-02,50.959999,55.609997,49.990002,55.310001,2131100,13.223452
2009-10-01,52.669994,54.449997,50.129997,50.709995,2306900,12.123688
