Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.99,17.09,16.780001,16.85,1024000,16.156813
2013-03-01,16.459999,17.299999,15.05,17.030001,557600,16.329409
2013-02-01,17.049999,17.139999,15.91,16.59,540800,15.851431
2013-01-02,16.75,17.50,16.450001,17.02,580500,16.262287
2012-12-03,15.67,16.67,15.40,16.41,667900,15.679444
2012-11-01,16.780001,17.42,14.68,15.61,633800,14.870269
2012-10-01,15.78,17.049999,15.40,16.809999,627200,16.013403
2012-09-04,15.54,16.549999,15.11,15.67,797300,14.927426
2012-08-01,15.31,15.84,14.67,15.51,718400,14.729095
2012-07-02,14.81,15.20,14.33,14.74,606400,13.997863
2012-06-01,13.73,14.82,13.67,14.77,1268100,14.026353
2012-05-01,13.43,14.21,12.40,13.95,1061100,13.201639
2012-04-02,13.29,13.65,12.73,13.37,670100,12.652754
2012-03-01,12.96,14.23,12.13,13.35,889100,12.633827
2012-02-01,13.42,13.68,12.76,12.88,706900,12.189041
2012-01-03,13.10,13.55,12.21,13.31,610400,12.595973
2011-12-01,12.91,13.02,11.94,12.77,830200,12.084942
2011-11-01,10.30,12.93,10.02,12.92,1254100,12.226895
2011-10-03,9.28,11.23,8.49,10.70,1347000,10.125989
2011-09-01,10.61,10.76,9.01,9.38,1084700,8.876801
2011-08-01,12.56,14.08,9.26,10.65,1758400,10.078671
2011-07-01,13.66,14.09,12.27,12.44,604300,11.772644
2011-06-01,12.75,13.82,12.27,13.64,1303100,12.90827
2011-05-02,14.50,14.55,12.73,12.78,460200,12.094405
2011-04-01,14.41,14.63,13.66,14.50,477400,13.722135
2011-03-01,14.17,14.66,13.27,14.36,771700,13.589644
2011-02-01,14.40,15.00,13.44,14.07,837600,13.315202
2011-01-03,13.31,14.70,13.17,14.24,731600,13.476082
2010-12-01,13.19,13.50,12.86,13.17,574400,12.463484
2010-11-01,11.40,13.03,11.26,12.89,558100,12.198504
2010-10-01,10.58,11.77,10.53,11.34,621000,10.731655
2010-09-01,10.27,10.73,10.14,10.45,672800,9.8894
2010-08-02,11.31,11.31,9.64,10.13,987900,9.586567
2010-07-01,9.80,11.25,9.50,11.17,709000,10.570775
2010-06-01,10.81,10.87,9.76,9.81,873700,9.283734
2010-05-03,12.65,12.75,10.52,10.92,1232400,10.334187
2010-04-01,12.34,13.78,12.12,12.64,1427000,11.961916
2010-03-01,12.41,13.09,12.00,12.26,1124400,11.602302
2010-02-01,10.74,12.76,10.57,12.34,1447500,11.67801
2010-01-04,10.80,11.81,10.57,10.70,1396300,10.125989
2009-12-01,11.33,11.40,10.24,10.75,2222000,10.173306
2009-11-02,10.88,11.97,10.50,11.18,1062200,10.580239
2009-10-01,9.91,11.38,9.35,10.85,1786000,10.267942
2009-09-01,10.76,11.51,9.84,9.94,1423800,9.406759
2009-08-03,10.73,11.27,10.16,10.84,954100,10.258478
