Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.13,2.13,2.03,2.07,137000,16.559999
2013-03-01,2.05,2.40,1.85,2.15,57500,17.200001
2013-02-01,2.52,2.68,2.02,2.10,56600,16.799999
2013-01-02,2.75,3.13,2.35,2.50,61200,20.00
2012-12-03,2.35,2.84,2.27,2.70,69700,21.60
2012-11-01,2.02,2.41,1.87,2.34,59900,18.719999
2012-10-01,2.30,2.51,1.97,2.01,45800,16.08
2012-09-04,2.00,2.44,1.99,2.29,75800,18.32
2012-08-01,1.90,2.15,1.85,2.01,48500,16.08
2012-07-02,1.94,2.37,1.78,1.89,51200,15.12
2012-06-01,2.02,2.40,1.92,1.93,90800,15.44
2012-05-01,2.82,2.93,1.46,2.08,157200,16.639999
2012-04-02,3.36,3.51,2.53,2.86,96300,22.879999
2012-03-01,4.05,5.25,3.11,3.38,197500,27.040001
2012-02-01,3.36,4.40,3.30,3.90,53800,31.200001
2012-01-03,3.47,3.73,3.12,3.35,47900,26.799999
2011-12-01,3.04,3.50,3.01,3.40,63100,27.200001
2011-11-01,3.51,4.67,2.75,3.05,50100,24.40
2011-10-03,2.96,3.92,2.64,3.75,61400,30.00
2011-09-01,4.40,4.46,2.84,3.01,54000,24.08
2011-08-01,5.90,5.91,3.59,4.42,76700,35.360001
2011-07-01,6.43,6.51,5.67,5.79,31000,46.32
2011-06-01,6.44,6.50,5.75,6.40,43400,51.200001
2011-05-02,6.50,6.63,6.03,6.48,41700,51.84
2011-04-01,6.60,6.85,6.09,6.48,25500,51.84
2011-03-01,5.61,6.56,5.37,6.53,35000,52.240002
2011-02-01,5.42,5.90,5.22,5.59,33600,44.720001
2011-01-03,5.41,5.81,5.15,5.38,27300,43.040001
2010-12-01,5.26,6.06,5.22,5.34,43700,42.720001
2010-11-01,5.54,6.43,5.00,5.12,54400,40.959999
2010-10-01,5.07,5.92,4.83,5.50,40400,44.00
2010-09-01,5.65,6.22,4.80,5.03,46500,40.240002
2010-08-02,6.35,6.95,5.26,5.49,55400,43.919998
2010-07-01,5.48,6.90,4.98,6.16,39600,49.279999
2010-06-01,7.26,7.61,5.34,5.48,59200,43.84
2010-05-03,8.60,11.60,6.43,7.38,71900,59.040001
2010-04-01,8.71,10.00,8.50,8.57,49300,68.559998
2010-03-01,7.54,9.58,7.42,8.66,38600,69.279999
2010-02-01,7.29,7.88,6.25,7.46,47200,59.68
2010-01-04,9.01,9.34,7.18,7.22,41700,57.759998
2009-12-01,7.84,9.42,7.37,8.75,41100,70.00
2009-11-02,7.17,8.60,6.57,7.68,42300,61.439999
2009-10-01,6.85,8.72,6.40,7.08,47300,56.639999
2009-09-01,4.96,7.20,4.96,6.92,74300,55.360001
2009-08-03,4.91,5.25,3.73,5.11,61700,40.880001
2009-07-01,4.26,5.24,3.60,4.83,43400,38.639999
2009-06-01,5.05,5.35,3.88,4.23,48900,33.84
2009-05-01,4.72,5.56,4.22,4.93,55100,39.439999
2009-04-01,3.18,5.19,2.76,4.72,91100,37.759998
2009-03-02,2.79,3.86,1.54,3.25,53900,26.00
2009-02-02,3.86,4.16,2.66,2.85,35800,22.799999
2009-01-02,4.45,5.48,3.34,3.95,38600,31.60
2008-12-01,3.60,5.19,2.95,4.45,52000,35.599998
2008-11-03,4.80,5.01,2.24,3.76,62600,30.08
2008-10-01,7.47,7.74,3.40,4.83,70400,38.639999
2008-09-02,10.49,10.67,6.86,7.69,81500,61.52
2008-08-01,9.28,10.59,8.26,10.37,81300,82.959999
2008-07-01,9.62,10.56,7.71,9.24,75300,73.919998
2008-06-02,11.68,13.04,9.72,9.77,62400,78.160004
2008-05-01,10.24,11.92,10.05,11.68,60600,93.440002
2008-04-01,10.58,11.81,9.21,10.27,107300,82.160004
2008-03-03,14.93,15.08,9.66,10.46,110000,83.68
2008-02-01,15.57,16.879999,14.61,15.04,59000,120.32
2008-01-02,17.67,18.16,11.44,15.54,102200,124.32
2007-12-03,20.719999,21.43,17.16,17.469999,61800,139.759995
2007-11-01,21.98,22.709999,17.68,20.559999,81500,164.479996
2007-10-01,21.65,24.15,20.58,22.58,73400,180.639999
2007-09-04,19.48,22.209999,17.67,21.629999,83900,173.039993
2007-08-01,21.01,21.959999,17.74,19.620001,141300,156.960007
2007-07-02,23.209999,24.51,19.75,21.01,81600,168.080002
2007-06-01,24.620001,26.00,21.91,23.190001,69100,185.520004
2007-05-01,25.620001,26.76,23.610001,24.41,48400,195.279999
2007-04-02,24.299999,26.40,24.27,25.65,32300,205.199997
2007-03-01,21.00,24.860001,21.00,24.299999,48000,194.399994
2007-02-01,23.389999,24.450001,20.10,22.01,40600,176.080002
2007-01-03,21.15,23.98,20.620001,23.379999,47800,187.039993
2006-12-01,19.889999,21.860001,19.57,21.200001,38800,169.600006
2006-11-01,18.91,20.73,18.450001,19.879999,59300,159.039993
2006-10-02,18.700001,20.48,17.790001,19.84,30900,158.720001
2006-09-01,21.10,21.700001,18.690001,18.82,32700,150.559998
2006-08-01,18.969999,21.379999,18.469999,21.00,38600,168.00
2006-07-03,17.92,19.40,17.32,19.129999,45400,153.039993
2006-06-01,18.950001,19.959999,16.90,17.950001,55700,143.600006
2006-05-01,16.99,19.190001,16.299999,18.950001,52500,151.600006
2006-04-03,16.83,17.35,15.01,16.940001,29800,135.520004
2006-03-01,14.06,16.58,14.00,16.58,49500,132.639999
2006-02-01,14.15,14.75,13.71,14.09,35500,112.720001
2006-01-03,13.26,14.78,12.75,14.20,40100,113.599998
2005-12-01,12.85,14.23,12.84,13.16,37400,105.279999
2005-11-01,9.81,13.50,9.74,12.91,52700,103.279999
2005-10-03,10.37,11.01,9.31,9.88,40400,79.040001
2005-09-01,9.69,10.50,9.40,10.37,63000,82.959999
2005-08-01,8.25,9.97,7.97,9.64,51200,77.120003
2005-07-01,7.54,8.70,7.37,8.21,37100,65.68
2005-06-01,8.35,8.52,7.51,7.56,40000,60.48
2005-05-02,7.64,8.54,6.80,8.38,73700,67.040001
2005-04-01,5.64,10.00,5.25,7.81,163900,62.48
2005-03-01,3.73,5.86,3.25,5.64,54600,45.119999
2005-02-01,2.90,3.87,2.85,3.73,37500,29.84
2005-01-03,3.10,3.30,2.85,2.95,11000,23.60
2004-12-01,3.20,3.40,2.77,3.10,11000,24.799999
2004-11-01,3.21,3.40,2.60,3.19,14000,25.52
2004-10-01,3.57,3.70,3.10,3.13,6100,25.040001
2004-09-01,3.12,3.70,3.02,3.50,4800,28.00
2004-08-02,2.65,3.51,2.45,3.11,9900,24.879999
2004-07-01,2.93,3.02,2.40,2.59,7000,20.719999
2004-06-01,2.99,3.30,2.60,2.93,15300,23.440001
2004-05-03,3.95,3.95,2.87,3.09,10600,24.719999
2004-04-01,4.48,4.52,3.80,4.05,7900,32.400002
2004-03-01,4.12,4.53,3.40,4.47,13300,35.759998
2004-02-02,4.40,4.48,4.00,4.17,13700,33.360001
2004-01-02,4.61,5.00,4.22,4.37,12800,34.959999
2003-12-01,3.80,5.09,3.62,4.61,17000,36.880001
2003-11-03,4.12,4.38,3.51,3.78,13300,30.24
2003-10-01,3.55,4.34,3.51,4.12,11600,32.959999
2003-09-02,3.44,3.65,3.18,3.50,8600,28.00
2003-08-01,2.94,3.70,2.70,3.43,7000,27.440001
2003-07-01,2.55,3.24,2.55,2.99,11300,23.92
2003-06-02,2.88,3.10,2.52,2.52,9200,20.16
2003-05-01,2.82,3.25,2.26,2.94,13100,23.52
2003-04-01,2.04,3.00,2.02,2.82,12700,22.559999
2003-03-03,2.15,2.49,1.96,2.03,16100,16.24
2003-02-03,2.08,2.55,2.03,2.14,8100,17.120001
2003-01-02,2.54,2.60,1.77,2.03,8700,16.24
2002-12-02,2.09,2.70,1.92,2.50,12100,20.00
2002-11-01,1.55,2.18,1.41,2.10,21200,16.799999
2002-10-01,1.02,1.59,1.00,1.51,11700,12.08
2002-09-03,1.25,1.34,0.97,1.04,13300,8.32
2002-08-01,1.44,1.76,0.95,1.20,27700,9.60
2002-07-01,5.25,5.36,1.51,1.56,31800,12.48
2002-06-03,5.35,5.53,4.80,5.20,13700,41.599998
2002-05-01,6.16,6.78,5.20,5.35,9700,42.799999
2002-04-01,6.28,6.94,5.89,6.26,22700,50.080002
2002-03-01,5.31,6.35,5.02,6.28,12200,50.240002
2002-02-01,5.77,5.80,4.75,5.26,14000,42.080002
2002-01-02,4.13,6.16,4.13,5.77,21500,46.16
2001-12-03,3.99,4.64,3.76,4.10,18000,32.799999
2001-11-01,3.97,4.50,3.66,3.95,21200,31.60
2001-10-01,3.70,4.48,3.60,3.95,15600,31.60
2001-09-04,5.25,5.30,3.00,3.70,13300,29.60
2001-08-01,4.42,5.49,4.25,5.25,7600,42.00
2001-07-02,4.30,4.89,4.25,4.45,6400,35.599998
2001-06-01,5.50,6.44,4.25,4.25,13400,34.00
2001-05-01,4.72,5.50,4.27,5.40,10100,43.200001
2001-04-02,4.9062,5.10,4.36,4.82,5900,38.560001
2001-03-01,6.4062,6.8906,4.7968,4.875,19200,39.00
2001-02-01,6.0468,7.4531,5.9062,6.50,11200,52.00
2001-01-02,4.4375,6.1562,4.3125,6.1562,10400,49.249599
2000-12-01,4.75,4.8125,3.875,4.3125,21500,34.50
2000-11-01,4.875,5.25,4.50,4.75,8500,38.00
2000-10-02,4.875,4.9375,3.8125,4.9375,28200,39.50
2000-09-01,7.125,7.4375,4.0625,4.75,23800,38.00
2000-08-01,6.9375,7.5625,6.50,7.25,10200,58.00
2000-07-03,8.75,9.50,6.75,7.0625,16300,56.50
2000-06-01,9.25,9.6875,8.25,8.625,13400,69.00
2000-05-01,8.9375,9.5625,8.8125,9.375,11400,75.00
2000-04-03,8.75,9.25,7.375,8.9375,20000,71.50
2000-03-01,8.6875,9.00,6.75,8.6875,25900,69.50
2000-02-01,10.9375,12.00,8.125,8.6875,34500,69.50
2000-01-03,13.375,13.375,10.625,10.9375,17600,87.50
