Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.61,5.72,5.55,5.65,223000,4.535219
2013-03-01,5.75,5.79,5.21,5.64,123500,4.527192
2013-02-01,5.77,5.82,5.61,5.72,77100,4.568908
2013-01-02,5.51,5.83,5.47,5.74,92800,4.56354
2012-12-03,5.81,5.84,5.28,5.46,134400,4.32033
2012-11-01,5.77,5.90,5.42,5.83,79000,4.590698
2012-10-01,6.07,6.08,5.50,5.73,81700,4.491308
2012-09-04,5.71,6.04,5.66,6.03,75900,4.704144
2012-08-01,5.71,5.85,5.45,5.74,68200,4.454057
2012-07-02,5.76,5.88,5.61,5.74,86400,4.429705
2012-06-01,5.59,5.83,5.37,5.78,107000,4.436315
2012-05-01,5.54,5.70,5.49,5.58,92300,4.258713
2012-04-02,5.36,5.54,5.29,5.53,73900,4.197437
2012-03-01,5.39,5.51,5.16,5.35,97000,4.037055
2012-02-01,5.52,5.64,5.14,5.38,84500,4.036116
2012-01-03,5.28,5.55,5.20,5.52,83500,4.116513
2011-12-01,5.05,5.35,4.98,5.35,91800,3.965918
2011-11-01,4.97,5.06,4.90,5.03,57500,3.705535
2011-10-03,4.91,4.99,4.77,4.94,52200,3.615802
2011-09-01,4.87,4.94,4.75,4.91,53500,3.570131
2011-08-01,4.69,4.91,4.54,4.85,64500,3.503474
2011-07-01,4.84,4.94,4.62,4.64,55100,3.328711
2011-06-01,4.75,4.84,4.63,4.81,52800,3.427948
2011-05-02,4.68,4.80,4.64,4.75,50700,3.362525
2011-04-01,4.73,4.79,4.61,4.65,60300,3.26956
2011-03-01,4.77,4.78,4.62,4.71,52100,3.289577
2011-02-01,4.60,4.78,4.58,4.73,70000,3.280594
2011-01-03,4.73,5.09,4.25,4.60,125700,3.168358
2010-12-01,4.99,4.99,4.31,4.71,127900,3.2211
2010-11-01,5.28,5.30,4.30,5.00,153400,3.395418
2010-10-01,5.20,5.31,5.17,5.25,74500,3.542779
2010-09-01,5.35,5.42,5.08,5.20,89600,3.487023
2010-08-02,5.16,5.38,5.16,5.34,79300,3.558311
2010-07-01,4.99,5.19,4.95,5.15,50100,3.410215
2010-06-01,5.01,5.07,4.82,4.99,64700,3.283287
2010-05-03,5.07,5.21,4.62,5.06,74100,3.307952
2010-04-01,4.98,5.09,4.95,5.02,54800,3.261088
2010-03-01,4.87,5.00,4.80,4.97,52500,3.20831
2010-02-01,4.87,5.08,4.73,4.88,56600,3.13001
2010-01-04,4.83,4.97,4.81,4.86,50300,3.096866
2009-12-01,4.76,4.85,4.61,4.83,65700,3.057609
2009-11-02,4.73,4.77,4.57,4.75,45900,2.987002
2009-10-01,5.07,5.15,4.57,4.65,70000,2.905114
2009-09-01,4.63,5.07,4.63,5.03,51500,3.1226
2009-08-03,4.50,4.81,4.27,4.62,63000,2.849929
2009-07-01,4.07,4.60,4.01,4.47,44200,2.738694
2009-06-01,4.12,4.40,4.04,4.05,48600,2.462787
2009-05-01,4.00,4.19,3.95,4.12,63300,2.487621
2009-04-01,3.52,3.99,3.35,3.97,62700,2.378884
2009-03-02,3.51,3.55,3.13,3.53,60000,2.097411
2009-02-02,3.72,4.00,3.06,3.54,54000,2.083997
2009-01-02,2.90,3.79,2.90,3.65,69800,2.133045
2008-12-01,3.39,3.39,2.42,2.82,77600,1.634594
2008-11-03,3.71,4.05,3.16,3.40,74600,1.95281
2008-10-01,4.14,4.46,2.33,3.75,87700,2.139112
2008-09-02,5.29,5.32,3.85,4.13,71500,2.33636
2008-08-01,5.29,5.41,5.24,5.26,31600,2.959584
2008-07-01,5.40,5.55,5.17,5.26,50800,2.94345
2008-06-02,5.45,5.56,5.09,5.31,37200,2.955531
2008-05-01,5.40,5.64,5.35,5.48,49400,3.034482
2008-04-01,5.32,5.50,5.24,5.44,52900,2.997298
2008-03-03,5.17,5.48,4.19,5.30,80300,2.90485
2008-02-01,5.66,5.72,5.15,5.17,89600,2.818987
2008-01-02,5.28,5.68,5.26,5.65,77500,3.065471
2007-12-03,5.50,5.58,5.17,5.30,129900,2.86017
2007-11-01,5.80,6.03,5.31,5.57,86700,2.989361
2007-10-01,6.02,6.11,5.75,5.83,61700,3.112518
2007-09-04,6.22,6.40,5.96,6.03,47200,3.20341
2007-08-01,6.20,6.50,5.87,6.18,58800,3.267634
2007-07-02,6.39,6.48,6.10,6.22,47800,3.268067
2007-06-01,6.70,6.74,6.35,6.41,41300,3.367896
2007-05-01,6.76,6.84,6.68,6.69,47000,3.498863
2007-04-02,6.63,6.80,6.61,6.76,32100,3.519852
2007-03-01,6.57,6.70,6.57,6.61,37200,3.426452
2007-02-01,6.66,6.71,6.50,6.58,48500,3.395605
2007-01-03,6.70,6.98,6.65,6.66,61000,3.42129
2006-12-01,6.62,6.72,6.55,6.72,56200,3.436928
2006-11-01,6.41,6.68,6.39,6.61,50500,3.350394
2006-10-02,6.47,6.51,6.23,6.41,69900,3.234297
2006-09-01,6.57,6.58,6.39,6.48,47800,3.254267
2006-08-01,6.70,6.84,6.41,6.56,52000,3.279834
2006-07-03,6.55,6.75,6.49,6.67,28100,3.320089
2006-06-01,6.65,6.82,6.40,6.55,38800,3.24408
2006-05-01,6.82,6.97,6.57,6.75,37300,3.32642
2006-04-03,6.86,7.08,6.62,6.88,51300,3.372667
2006-03-01,6.85,7.30,6.65,6.84,77800,3.33605
2006-02-01,6.70,6.85,6.62,6.82,43900,3.308689
2006-01-03,6.54,6.80,6.52,6.70,51000,3.232627
2005-12-01,6.38,6.63,6.37,6.57,54700,3.152657
2005-11-01,6.34,6.47,6.13,6.42,59600,3.063276
2005-10-03,6.45,6.49,6.28,6.35,38700,3.012387
2005-09-01,6.25,6.49,6.25,6.43,46200,3.032536
2005-08-01,6.33,6.47,6.25,6.25,61200,2.93063
2005-07-01,6.28,6.40,6.26,6.37,51100,2.971079
2005-06-01,6.29,6.36,6.21,6.25,58900,2.899525
2005-05-02,6.31,6.51,6.25,6.27,55000,2.893005
2005-04-01,6.16,6.35,6.10,6.33,41200,2.905001
2005-03-01,6.54,6.63,6.11,6.16,57200,2.81004
2005-02-01,6.67,6.75,6.50,6.54,58500,2.965101
2005-01-03,6.33,6.81,6.31,6.66,63700,3.001235
2004-12-01,6.42,6.56,6.24,6.29,75900,2.817703
2004-11-01,6.45,6.56,6.25,6.43,58300,2.855547
2004-10-01,6.39,6.60,6.35,6.43,45500,2.837975
2004-09-01,6.41,6.50,6.32,6.36,48800,2.789858
2004-08-02,6.23,6.45,6.12,6.40,47800,2.789967
2004-07-01,6.05,6.30,5.94,6.19,41500,2.681661
2004-06-01,5.79,6.10,5.76,6.00,38900,2.582414
2004-05-03,6.08,6.12,5.68,5.79,60700,2.475554
2004-04-01,6.63,6.67,5.99,6.12,67000,2.598725
2004-03-01,6.65,6.78,6.61,6.63,42100,2.796733
2004-02-02,6.62,6.77,6.62,6.67,37600,2.796884
2004-01-02,6.38,6.79,6.37,6.65,47900,2.771775
2003-12-01,6.44,6.60,6.37,6.43,50100,2.6641
2003-11-03,6.50,6.50,6.33,6.45,39400,2.65589
2003-10-01,6.34,6.51,6.29,6.48,33600,2.651645
2003-09-02,6.32,6.43,6.23,6.34,39400,2.578366
2003-08-01,6.44,6.51,6.24,6.32,34100,2.554244
2003-07-01,6.54,6.64,6.15,6.35,49800,2.550303
2003-06-02,6.61,6.84,6.45,6.55,38200,2.613899
2003-05-01,6.55,6.85,6.49,6.64,52200,2.633924
2003-04-01,6.44,6.63,6.34,6.52,40500,2.57122
2003-03-03,6.30,6.49,6.30,6.44,29700,2.523461
2003-02-03,6.28,6.37,6.23,6.36,25400,2.47581
