Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.75,27.02,26.65,27.01,240400,19.465965
2013-03-01,26.82,27.15,25.73,26.75,91400,19.278584
2013-02-01,26.459999,28.059999,26.209999,26.82,88500,19.209303
2013-01-02,27.200001,27.440001,26.08,26.459999,109900,18.834845
2012-12-03,26.129999,27.290001,26.129999,27.00,72600,19.101358
2012-11-01,26.52,27.209999,25.92,26.10,87800,18.025595
2012-10-01,27.00,27.690001,26.43,26.540001,83800,18.215555
2012-09-04,26.60,27.17,26.379999,27.07,88800,18.464188
2012-08-01,26.58,27.33,26.280001,26.530001,79200,17.983391
2012-07-02,26.91,27.040001,25.959999,26.50,82600,17.850407
2012-06-01,25.90,26.99,25.65,26.889999,81900,17.999178
2012-05-01,26.10,26.50,25.07,26.00,84100,17.294224
2012-04-02,25.549999,26.42,25.549999,26.209999,72000,17.32106
2012-03-01,26.15,26.40,24.98,25.610001,103200,16.816172
2012-02-01,26.35,26.870001,25.60,26.15,58500,17.059391
2012-01-27,25.00,26.60,25.00,26.07,415100,17.0072
