Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.04,9.04,8.94,8.94,25800,7.026837
2013-03-01,8.79,9.04,8.70,9.03,24900,7.097577
2013-02-01,8.65,8.87,8.55,8.78,32900,6.860847
2013-01-02,8.05,8.78,7.98,8.61,44700,6.687792
2012-12-03,7.93,8.03,7.77,7.92,34500,6.113062
2012-11-01,8.07,8.21,7.25,7.92,28200,6.071946
2012-10-01,8.24,8.44,7.95,8.10,27200,6.168018
2012-09-04,8.22,8.44,8.12,8.25,27600,6.203619
2012-08-01,8.10,8.41,8.00,8.22,23500,6.141734
2012-07-02,7.76,8.05,7.72,8.01,16700,5.943106
2012-06-01,7.54,7.82,7.35,7.77,21700,5.722057
2012-05-01,7.98,8.01,7.36,7.62,19900,5.568427
2012-04-02,8.14,8.16,7.68,7.93,20900,5.752365
2012-03-01,7.99,8.29,7.78,8.15,23200,5.867535
2012-02-01,7.72,8.01,7.71,7.93,25900,5.668318
2012-01-03,7.14,7.80,7.13,7.65,32000,5.428131
2011-12-01,6.92,7.23,6.78,7.07,30100,4.978048
2011-11-01,6.91,7.21,6.64,6.89,21700,4.810588
2011-10-03,6.70,7.21,5.99,7.04,25200,4.875612
2011-09-01,7.21,7.25,6.60,6.65,20800,4.565882
2011-08-01,7.81,7.81,6.43,7.18,29900,4.888757
2011-07-01,8.03,8.31,7.40,7.71,23000,5.204916
2011-06-01,8.21,8.24,7.70,8.01,20500,5.368912
2011-05-02,8.38,8.38,7.94,8.25,17300,5.489787
2011-04-01,8.13,8.38,7.96,8.32,16900,5.497445
2011-03-01,7.95,8.23,7.68,8.15,16200,5.346747
2011-02-01,7.82,8.10,7.82,8.00,14800,5.210385
2011-01-03,7.83,8.05,7.68,7.85,15500,5.075624
2010-12-01,7.62,7.82,7.37,7.79,23400,4.999614
2010-11-01,7.78,8.00,7.11,7.56,30100,4.815021
2010-10-01,7.53,7.97,7.40,7.72,30900,4.881099
2010-09-01,7.42,7.65,7.17,7.41,20400,4.615033
2010-08-02,7.30,7.76,6.99,7.41,20200,4.57891
2010-07-01,6.73,7.68,6.54,7.24,20900,4.438364
2010-06-01,6.97,7.29,6.66,6.76,16900,4.110111
2010-05-03,7.75,7.90,6.46,7.04,23300,4.243789
2010-04-01,7.53,7.85,7.42,7.73,17600,4.622858
2010-03-01,7.12,7.83,7.03,7.63,22100,4.528458
2010-02-01,7.11,7.52,6.76,7.07,21300,4.16271
2010-01-04,7.29,7.49,7.01,7.10,18800,4.147113
2009-12-01,6.60,7.69,6.51,7.36,30700,4.264963
2009-11-02,6.30,6.65,6.15,6.60,22200,3.792364
2009-10-01,6.95,7.04,6.15,6.35,22400,3.616552
2009-09-01,6.35,7.29,6.14,6.85,20300,3.867497
2009-08-03,6.20,6.53,5.92,6.29,21900,3.519238
2009-07-01,5.58,6.30,5.22,6.11,16900,3.386549
2009-06-01,5.37,5.93,5.37,5.66,21900,3.10331
2009-05-01,5.14,5.50,5.05,5.42,15500,2.941376
2009-04-01,4.39,5.39,4.39,5.14,17200,2.759295
2009-03-02,4.00,4.61,3.50,4.41,23500,2.337365
2009-02-02,4.84,5.09,3.97,4.15,23700,2.165359
2009-01-02,5.05,5.50,4.30,4.88,18600,2.51463
2008-12-01,4.00,5.37,3.52,5.09,40300,2.592416
2008-11-03,5.30,5.99,3.09,4.02,30400,2.006804
2008-10-01,6.79,7.15,3.52,5.02,36000,2.465913
2008-09-02,8.79,9.13,5.96,6.80,26300,3.287366
2008-08-01,8.45,9.06,8.35,8.78,16400,4.205267
2008-07-01,8.80,9.25,7.46,8.55,24900,4.05758
2008-06-02,10.46,10.46,8.85,9.00,26800,4.231726
2008-05-01,10.17,11.00,10.10,10.40,24700,4.851377
2008-04-01,9.34,10.30,9.21,10.18,17100,4.711688
2008-03-03,9.69,9.85,8.50,9.25,21400,4.24583
2008-02-01,10.04,10.46,9.22,9.65,26800,4.390621
2008-01-02,10.57,10.90,9.07,9.93,23900,4.481545
2007-12-03,10.70,11.39,10.05,10.46,33500,4.684076
2007-11-01,11.97,12.15,10.16,10.66,29200,4.738145
2007-10-01,12.30,12.64,11.75,12.06,13800,4.891861
2007-09-04,12.22,12.35,11.80,12.22,13300,4.925265
2007-08-01,12.40,12.80,10.05,12.11,24600,4.848335
2007-07-02,13.72,13.79,12.11,12.51,18800,4.973667
2007-06-01,14.13,14.24,13.46,13.72,22300,5.421749
2007-05-01,13.89,14.49,13.78,14.13,17100,5.551794
2007-04-02,13.72,14.15,13.49,13.95,16000,5.449749
2007-03-01,14.00,14.16,13.20,13.80,17000,5.360189
2007-02-01,13.83,14.33,13.76,14.05,20200,5.425192
2007-01-03,13.26,14.03,13.20,13.94,23300,5.352068
2006-12-01,13.36,13.60,12.96,13.22,20400,5.045535
2006-11-01,12.84,13.57,12.73,13.46,18500,5.012227
2006-10-02,12.35,12.97,12.35,12.88,14400,4.766754
2006-09-01,12.68,12.80,12.26,12.36,16100,4.545493
2006-08-01,12.15,12.64,12.05,12.62,11400,4.611526
2006-07-03,12.07,12.25,11.90,12.25,13200,4.447113
2006-06-01,12.11,12.25,11.81,11.98,19300,4.320292
2006-05-01,12.11,12.32,11.85,12.16,11100,4.35626
2006-04-03,12.48,12.98,11.80,12.11,12500,4.309545
2006-03-01,12.55,12.90,12.20,12.32,20300,4.355992
2006-02-01,11.68,12.70,11.64,12.45,21000,4.373896
2006-01-03,11.60,11.94,11.42,11.77,21000,4.106751
2005-12-01,12.65,12.75,11.21,11.58,21700,4.013202
2005-11-01,12.20,12.55,11.72,12.55,12900,4.330062
2005-10-03,12.31,13.09,11.53,12.25,15000,4.198354
2005-09-01,12.86,13.20,12.02,12.34,14800,4.202517
2005-08-01,12.76,13.07,12.52,12.86,16400,4.352964
2005-07-01,12.50,13.20,12.22,12.73,22600,4.282259
2005-06-01,12.01,12.74,11.94,12.51,21400,4.181428
2005-05-02,11.67,12.25,11.31,11.99,16400,3.981145
2005-04-01,11.52,11.83,11.05,11.57,17200,3.81542
2005-03-01,12.07,12.34,11.06,11.43,25500,3.743258
