Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.469999,17.540001,17.370001,17.469999,3188600,15.420819
2013-03-01,17.24,17.74,17.049999,17.42,2220300,15.376684
2013-02-01,16.57,17.42,16.540001,17.27,3408200,15.127349
2013-01-02,15.90,16.620001,15.53,16.59,2813000,14.531714
2012-12-03,15.42,15.73,15.12,15.66,2748500,13.717097
2012-11-01,15.35,15.81,14.79,15.31,3251200,13.30643
2012-10-01,15.37,15.93,15.00,15.36,3037000,13.349886
2012-09-04,15.20,15.92,15.10,15.36,3856800,13.349886
2012-08-01,14.85,15.35,14.50,15.22,3192600,13.126256
2012-07-02,14.73,15.16,14.42,15.04,2688000,12.971018
2012-06-01,13.65,14.65,13.29,14.64,2580900,12.626044
2012-05-01,14.80,15.15,13.34,13.89,3114100,11.877195
2012-04-02,14.64,14.88,13.82,14.80,3149600,12.655326
2012-03-01,14.15,15.09,13.94,14.60,3767100,12.484308
2012-02-01,14.00,14.63,13.74,14.13,3739600,11.983041
2012-01-03,12.41,14.43,12.05,13.86,4778100,11.754066
2011-12-01,11.62,12.50,11.07,12.17,2829900,10.320849
2011-11-01,12.36,12.73,10.39,11.69,3859700,9.843534
2011-10-03,10.77,13.30,9.76,12.81,4055600,10.786628
2011-09-01,12.47,12.48,10.19,10.90,4991300,9.178316
2011-08-01,14.81,14.88,10.63,12.38,4954500,10.365035
2011-07-01,14.07,15.28,14.03,14.61,2024000,12.23208
2011-06-01,14.42,14.47,13.03,14.10,3575900,11.805088
2011-05-02,14.84,14.94,13.97,14.49,2296800,12.095043
2011-04-01,14.10,14.80,13.10,14.74,2219400,12.303721
2011-03-01,14.43,14.43,13.10,14.00,2713000,11.686031
2011-02-01,13.66,14.53,13.46,14.30,2789200,11.900895
2011-01-03,14.17,14.29,12.98,13.60,2751100,11.318335
2010-12-01,13.05,14.14,12.78,14.09,2078800,11.726128
2010-11-01,12.74,14.39,12.01,12.83,4236200,10.661289
2010-10-01,11.29,13.59,11.15,12.92,2351400,10.736076
2010-09-01,10.57,11.71,10.48,11.22,3095200,9.323435
2010-08-02,11.59,12.01,9.78,10.36,3011500,8.593621
2010-07-01,9.84,11.50,8.84,11.35,3626300,9.414827
2010-06-01,11.31,12.40,9.78,9.90,4534300,8.212051
2010-05-03,12.41,13.39,10.00,11.44,5925600,9.473835
2010-04-01,12.27,13.73,12.04,12.29,4720700,10.177748
