Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.72,1.80,1.68,1.74,1049600,1.74
2013-03-01,1.78,2.63,1.55,1.71,697200,1.71
2013-02-01,1.74,1.92,1.5976,1.78,158400,1.78
2013-01-01,1.58,2.17,1.58,1.73,264800,1.73
2012-12-03,0.98,1.89,0.903,1.58,665500,1.58
2012-11-01,0.98,1.03,0.70,0.97,321400,0.97
2012-10-01,1.23,1.50,0.95,0.99,457300,0.99
2012-09-03,1.74,2.0602,1.12,1.25,675200,1.25
2012-08-01,1.02,1.92,0.98,1.74,708500,1.74
2012-07-02,0.94,1.38,0.92,1.10,199900,1.10
2012-06-01,0.92,1.13,0.78,0.925,148200,0.925
2012-05-01,0.95,1.05,0.66,0.96,242500,0.96
2012-04-02,1.41,1.42,0.9001,0.968,367900,0.968
2012-03-01,2.15,2.17,1.13,1.42,1165100,1.42
2012-02-01,1.66,2.23,1.47,1.75,1086400,1.75
2012-01-02,1.66,2.48,1.66,1.68,1361300,1.68
2011-12-01,1.44,1.90,1.30,1.66,1785800,1.66
2011-11-01,0.62,1.92,0.593,1.31,2306500,1.31
2011-10-03,0.55,0.86,0.36,0.6221,443200,0.6221
2011-09-01,1.43,1.52,0.54,0.56,444400,0.56
2011-08-01,2.02,2.0999,1.21,1.42,484000,1.42
2011-07-01,2.53,2.96,1.951,2.02,494700,2.02
2011-06-01,2.35,3.46,1.91,2.53,1400300,2.53
2011-05-02,4.50,4.53,1.61,2.34,969000,2.34
2011-04-01,4.90,5.09,3.84,4.20,389700,4.20
2011-03-01,5.24,5.58,3.87,4.84,739700,4.84
2011-02-01,5.56,6.93,5.27,5.27,360600,5.27
2011-01-03,7.60,9.42,5.45,5.50,514000,5.50
2010-12-01,4.87,9.13,4.55,7.46,1091700,7.46
2010-11-01,7.00,7.44,4.46,4.75,622400,4.75
2010-10-01,12.42,12.42,6.65,7.01,253000,7.01
2010-09-01,8.57,13.15,8.354,12.28,287800,12.28
2010-08-02,18.41,18.5069,8.49,8.52,289700,8.52
2010-07-01,18.97,19.72,16.24,18.12,246000,18.12
2010-06-01,20.74,23.95,18.87,19.00,569600,19.00
2010-05-03,30.54,30.55,17.60,20.48,410400,20.48
2010-04-01,27.82,30.89,27.31,30.31,210100,30.31
2010-03-01,30.00,31.13,25.99,27.92,169200,27.92
2010-02-02,33.85,35.00,25.71,29.80,141100,29.80
