Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.18,10.21,10.11,10.13,818800,7.775938
2013-03-01,10.06,10.30,10.05,10.14,376300,7.783614
2013-02-01,10.00,10.29,9.95,10.08,382400,7.688537
2013-01-02,9.54,10.15,9.50,9.97,429100,7.555694
2012-12-03,9.41,9.48,9.00,9.47,656300,7.130813
2012-11-01,10.00,10.10,8.78,9.46,647200,7.072791
2012-10-01,9.88,10.07,9.74,10.02,682800,7.44038
2012-09-04,10.50,10.50,9.73,9.86,1135400,7.273981
2012-08-01,11.19,11.46,10.39,10.51,477800,7.704045
2012-07-02,11.20,11.60,10.90,11.17,341500,8.13868
2012-06-01,10.77,11.25,10.70,11.12,258800,8.056653
2012-05-01,10.81,10.96,10.60,10.79,270800,7.772313
2012-04-02,10.10,10.98,10.10,10.80,337400,7.733125
2012-03-01,11.32,11.38,10.07,10.10,540600,7.188857
2012-02-01,11.15,11.47,11.14,11.33,325800,8.01566
2012-01-03,10.97,11.37,10.71,11.15,381100,7.843378
2011-12-01,10.73,11.18,10.36,10.92,446900,7.637361
2011-11-01,10.49,10.88,10.35,10.74,368000,7.467681
2011-10-03,10.00,10.85,9.65,10.56,425800,7.297458
2011-09-01,9.95,10.18,9.80,10.00,372400,6.867895
2011-08-01,10.00,10.12,8.52,9.90,495700,6.755064
2011-07-01,9.97,10.19,9.63,9.87,384500,6.6906
2011-06-01,9.94,10.00,9.80,10.00,297600,6.735313
2011-05-02,9.73,9.99,9.63,9.98,294000,6.678062
2011-04-01,9.52,9.75,9.45,9.72,308000,6.461511
2011-03-01,9.45,9.73,9.43,9.50,305500,6.272813
2011-02-01,9.52,9.84,9.45,9.45,300000,6.197593
2011-01-03,9.19,9.69,9.05,9.51,316800,6.194758
2010-12-01,9.96,10.05,9.00,9.14,425800,5.913514
2010-11-01,9.98,10.24,9.78,9.95,298900,6.392729
2010-10-01,9.84,10.10,9.76,9.93,255200,6.338492
2010-09-01,9.48,9.95,9.43,9.81,338300,6.221516
2010-08-02,9.44,9.62,9.35,9.41,288300,5.928252
2010-07-01,8.98,9.45,8.93,9.40,257900,5.881433
2010-06-01,8.82,9.38,8.71,8.97,262900,5.573785
2010-05-03,9.23,9.28,5.00,8.86,420500,5.467242
2010-04-01,9.28,9.55,9.12,9.23,318600,5.653631
2010-03-01,9.20,9.50,9.10,9.27,303800,5.638447
2010-02-01,9.03,9.44,8.92,9.18,338900,5.544721
2010-01-04,9.01,9.14,8.92,8.96,331500,5.374178
2009-12-01,8.64,9.20,8.55,8.95,337600,5.329751
2009-11-02,8.58,8.73,7.99,8.65,332500,5.114468
2009-10-01,8.87,8.99,8.56,8.61,290000,5.052739
2009-09-01,8.82,9.08,8.11,8.92,291600,5.196387
2009-08-03,8.82,9.01,8.57,8.86,305800,5.123906
2009-07-01,8.02,8.94,7.90,8.84,277600,5.075212
2009-06-01,7.81,8.14,7.53,7.99,273600,4.55266
2009-05-01,7.06,7.94,6.99,7.83,368500,4.425468
2009-04-01,6.80,7.41,6.65,7.07,323500,3.96275
2009-03-02,6.69,7.19,5.24,6.80,465700,3.776668
2009-02-02,8.02,8.30,6.68,6.78,471800,3.731135
2009-01-02,6.22,8.19,6.20,8.14,455600,4.438379
2008-12-01,7.30,7.39,5.35,6.15,624500,3.3258
2008-11-03,8.15,8.17,5.61,7.27,365000,3.887716
2008-10-01,9.37,9.79,4.80,7.97,543000,4.220701
2008-09-02,10.97,10.97,8.70,9.36,390900,4.914413
2008-08-01,10.78,11.00,10.58,10.95,182300,5.712234
2008-07-01,10.30,10.87,9.67,10.68,274900,5.538433
