Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.71,6.71,6.00,6.00,40200,6.00
2013-03-01,11.00,11.20,6.65,6.93,19400,6.93
2013-02-01,11.65,15.48,10.35,11.40,36200,11.40
2013-01-02,8.00,16.700001,7.52,11.64,70000,11.64
2012-12-03,0.73,9.66,0.70,7.96,36900,7.96
2012-11-01,0.77,0.92,0.68,0.76,7800,3.80
2012-10-01,0.78,0.88,0.75,0.79,5800,3.95
2012-09-04,0.82,0.90,0.74,0.77,8000,3.85
2012-08-01,0.93,1.02,0.78,0.87,7800,4.35
2012-07-02,0.86,1.02,0.81,0.90,12500,4.50
2012-06-01,1.15,1.38,0.78,0.85,27000,4.25
2012-05-01,1.94,2.09,1.03,1.20,10100,6.00
2012-04-02,2.10,2.15,1.63,1.90,9400,9.50
2012-03-01,2.95,3.10,2.09,2.11,31800,10.55
2012-02-01,2.61,4.15,2.40,2.94,62600,14.70
2012-01-03,1.77,2.95,1.75,2.60,51300,13.00
2011-12-01,2.19,2.35,1.41,1.67,37000,8.35
2011-11-01,3.40,3.52,1.76,2.15,58300,10.75
2011-10-03,3.51,4.29,3.01,3.52,43000,17.60
2011-09-01,5.69,5.76,3.28,3.50,51000,17.50
2011-08-01,6.38,7.71,5.09,5.61,41100,28.049999
2011-07-01,8.02,8.31,6.00,6.33,47100,31.65
2011-06-01,10.900001,11.04,7.37,7.84,37700,39.200001
2011-05-02,12.17,13.69,10.830001,10.96,55700,54.799999
2011-04-01,13.00,13.05,10.60,12.27,34500,61.349998
2011-03-01,12.280001,13.650001,10.85,12.88,66000,64.400002
2011-02-01,13.12,14.97,11.92,12.16,78000,60.799999
2011-01-03,10.34,14.150001,10.150001,13.139999,67300,65.699997
2010-12-01,10.62,11.87,9.70,10.16,36600,50.799999
2010-11-01,12.82,15.43,10.22,10.51,101200,52.549999
2010-10-07,9.98,14.889999,9.85,12.76,218000,63.799999
