Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.83,14.83,14.83,14.83,000,14.83
2013-03-01,16.30,16.30,14.35,14.83,000,14.83
2013-02-01,16.00,16.30,15.99,16.30,000,16.30
2013-01-01,15.50,17.80,14.85,16.00,100,16.00
2012-12-03,14.00,17.99,13.50,15.50,100,14.87
2012-11-01,18.00,18.00,15.00,15.00,100,14.39
2012-10-01,17.45,18.00,17.45,18.00,000,17.27
2012-09-03,18.00,18.00,18.00,18.00,000,17.27
2012-08-01,16.53,18.00,16.53,18.00,100,17.27
2012-07-02,18.00,19.00,15.40,17.30,800,16.60
2012-06-01,17.63,18.00,14.00,18.00,3300,17.27
2012-05-01,17.80,17.80,16.80,17.63,000,16.91
2012-04-02,17.00,18.80,17.00,17.80,000,17.07
2012-03-01,17.01,17.01,17.00,17.00,000,16.31
2012-02-01,16.00,17.01,16.00,17.01,000,16.32
2012-01-02,15.62,19.40,15.62,19.40,000,18.61
2011-12-01,16.53,16.75,15.00,15.62,800,14.98
2011-11-17,16.87,16.87,16.53,16.53,000,15.86
2011-10-24,16.87,16.87,16.07,16.87,200,16.18
2011-09-02,17.95,17.95,16.85,16.85,400,16.16
2011-08-05,18.53,19.00,17.05,18.10,100,17.36
2011-07-01,21.80,21.80,19.47,19.47,1700,18.68
2011-06-02,21.60,22.29,19.90,22.29,200,21.38
2011-05-02,21.75,23.59,20.17,23.59,100,21.70
2011-04-06,20.35,21.50,19.65,21.50,200,19.78
2011-03-01,19.00,20.35,18.50,20.35,200,18.72
2011-02-01,20.00,20.00,18.40,19.00,000,17.48
2011-01-28,20.45,20.45,18.61,18.61,500,17.12
