Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,52.009998,52.080002,51.00,51.299999,1045000,50.568268
2013-03-01,45.919998,52.130001,44.459999,52.009998,562600,51.268139
2013-02-01,48.130001,49.00,45.450001,46.240002,559300,45.580444
2013-01-02,46.049999,49.689999,45.209999,48.139999,790600,47.308147
2012-12-03,44.91,46.450001,43.25,45.09,619600,44.310852
2012-11-01,46.650002,47.290001,41.380001,44.529999,540900,43.760525
2012-10-01,52.610001,54.77,45.889999,46.650002,519700,45.69519
2012-09-04,51.009998,55.59,50.82,52.41,425000,51.337296
2012-08-01,51.630001,53.099998,49.439999,51.049999,426700,50.005131
2012-07-02,45.080002,52.060001,43.810001,51.209999,737000,50.027939
2012-06-01,43.099998,45.91,40.130001,45.130001,660700,44.088284
2012-05-01,52.369999,53.279999,42.619999,44.150002,744700,43.130905
2012-04-02,49.610001,52.50,45.349998,52.380001,854100,51.018475
2012-03-01,53.669998,54.119999,47.529999,49.150002,474100,47.872433
2012-02-01,48.689999,58.240002,47.330002,53.23,640300,51.846378
2012-01-03,51.259998,54.560001,47.889999,48.169998,485300,46.784966
2011-12-01,50.630001,51.82,46.290001,50.00,439000,48.562351
2011-11-01,45.889999,53.240002,45.77,50.720001,480200,49.26165
2011-10-03,40.59,52.50,37.220001,49.060001,651600,47.519768
2011-09-01,49.279999,50.18,38.84,40.889999,838600,39.606262
2011-08-01,59.52,59.939999,43.41,49.099998,819600,47.55851
2011-07-01,56.540001,62.50,55.98,58.810001,557700,56.799629
2011-06-01,62.200001,62.639999,53.790001,56.50,688800,54.568596
2011-05-02,65.360001,65.440002,56.299999,62.27,503700,60.141354
2011-04-01,63.349998,65.019997,59.209999,65.010002,316200,62.650219
2011-03-01,61.389999,63.830002,57.299999,63.119999,364100,60.828823
2011-02-01,56.299999,61.34,56.200001,61.099998,389000,58.882145
2011-01-03,48.860001,56.240002,48.619999,55.900002,500500,53.745663
