Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.38,15.40,15.23,15.28,63000,11.691624
2013-03-01,15.56,15.82,14.97,15.45,74600,11.821701
2013-02-01,15.73,15.81,15.18,15.52,78600,11.683604
2013-01-02,15.47,16.49,15.25,15.71,99100,11.826637
2012-12-03,15.70,15.74,14.94,15.32,69300,11.533042
2012-11-01,15.94,16.00,14.38,15.62,72900,11.567164
2012-10-01,16.299999,16.700001,15.80,15.80,59500,11.700461
2012-09-04,15.96,16.58,15.76,16.129999,92100,11.944837
2012-08-01,15.11,15.95,15.00,15.95,64000,11.628221
2012-07-02,14.80,15.10,14.52,15.04,73600,10.964792
2012-06-01,13.75,14.75,13.56,14.64,86900,10.673176
2012-05-01,14.55,14.82,13.77,13.80,88000,9.883728
2012-04-02,14.30,14.71,13.80,14.54,61000,10.413725
2012-03-01,14.58,15.10,14.23,14.28,84200,10.227509
2012-02-01,13.94,14.78,13.94,14.56,105900,10.257447
2012-01-03,13.54,14.11,13.19,13.93,98200,9.813615
2011-12-01,13.26,13.45,12.84,13.41,87900,9.447277
2011-11-01,13.24,13.63,13.04,13.30,95200,9.199424
2011-10-03,12.67,13.58,11.97,13.46,92700,9.310093
2011-09-01,14.75,14.99,12.63,12.70,86400,8.784411
2011-08-01,14.38,14.92,13.27,14.82,85400,10.084283
2011-07-01,13.79,14.55,13.78,14.32,82500,9.744058
2011-06-01,13.96,14.18,13.66,13.82,88600,9.403832
2011-05-02,13.44,13.98,13.35,13.97,71500,9.350287
2011-04-01,13.00,13.48,12.91,13.46,65600,9.008938
2011-03-01,12.85,13.27,12.78,12.98,94100,8.687668
2011-02-01,12.88,13.00,12.74,12.81,85400,8.422775
2011-01-03,13.13,13.40,12.73,12.80,94100,8.4162
2010-12-01,13.75,13.77,12.69,13.06,101600,8.587153
2010-11-01,14.04,14.39,12.89,13.63,98800,8.803866
2010-10-01,13.71,14.24,13.70,13.96,130200,9.017019
2010-09-01,13.71,14.21,13.45,13.67,107800,8.829703
2010-08-02,13.25,13.95,13.25,13.66,88200,8.676403
2010-07-01,12.20,13.30,12.05,13.21,62600,8.390577
2010-06-01,11.98,12.49,11.88,12.23,54100,7.768112
2010-05-03,12.80,12.88,11.32,12.08,109400,7.530861
2010-04-01,12.78,12.92,12.64,12.75,95100,7.94855
2010-03-01,12.70,13.04,12.61,12.63,76000,7.87374
2010-02-01,12.55,12.77,11.62,12.57,93500,7.685054
2010-01-04,12.37,12.77,12.34,12.54,90500,7.666713
2009-12-01,12.40,12.62,12.16,12.31,88700,7.526096
2009-11-02,11.68,12.56,11.62,12.37,79500,7.412005
2009-10-01,12.31,12.81,10.84,11.58,100900,6.938643
2009-09-01,11.37,12.34,11.37,12.29,102400,7.36407
2009-08-03,10.93,11.60,10.93,11.47,72000,6.730499
2009-07-01,10.17,10.97,10.13,10.93,69500,6.413631
2009-06-01,10.15,10.55,9.82,10.19,81500,5.979405
2009-05-01,9.03,10.15,8.94,10.10,82100,5.783578
2009-04-01,7.99,9.25,7.77,9.03,81000,5.170862
2009-03-02,7.36,8.46,6.54,8.07,104000,4.621136
2009-02-02,8.55,8.86,7.04,7.51,139000,4.141794
2009-01-02,8.04,8.99,8.00,8.93,81300,4.92493
2008-12-01,6.75,8.92,5.78,8.14,87000,4.489242
2008-11-19,6.30,7.14,5.57,6.98,112800,3.694232
