Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,54.970001,55.549999,54.700001,55.549999,2638000,44.754734
2013-03-01,55.029999,56.540001,54.209999,55.060001,2058900,44.359959
2013-02-01,55.700001,58.099998,53.639999,55.040001,2839300,44.021641
2013-01-02,57.540001,58.810001,55.34,55.389999,1659400,44.301575
2012-12-03,55.759998,56.970001,54.34,56.669998,2061700,45.325333
2012-11-01,57.240002,59.610001,53.25,55.509998,2970600,43.791946
2012-10-01,57.630001,58.119999,55.57,57.41,1598900,45.290863
2012-09-04,60.490002,61.470001,56.759998,57.529999,1907400,45.385529
2012-08-01,63.369999,63.830002,59.009998,60.400002,1594100,47.380222
2012-07-02,62.84,65.720001,61.98,63.310001,1667700,49.662945
2012-06-01,59.919998,62.509998,58.669998,62.360001,2258700,48.917725
2012-05-01,61.509998,63.84,60.139999,61.099998,2212900,47.667278
2012-04-02,62.470001,62.799999,58.990002,61.439999,1974500,47.932529
2012-03-01,56.84,62.790001,56.790001,62.619999,2057600,48.853107
2012-02-01,60.00,60.57,56.720001,56.889999,1834300,44.136066
2012-01-03,57.77,59.849998,53.560001,59.549999,2748000,46.19973
2011-12-01,54.91,57.990002,52.939999,57.029999,2148000,44.244678
2011-11-01,56.540001,59.450001,52.099998,55.189999,2539600,42.37273
2011-10-03,51.529999,60.32,48.459999,58.68,2726400,45.052219
2011-09-01,61.029999,62.080002,50.380001,51.869999,3090900,39.823765
2011-08-01,62.450001,62.529999,51.93,61.18,3820100,46.700924
2011-07-01,60.130001,63.860001,60.029999,61.82,2364100,47.189457
2011-06-01,61.619999,61.68,57.709999,60.00,2189800,45.800186
2011-05-02,59.91,61.860001,58.34,61.830002,1736100,46.927078
2011-04-01,56.779999,59.82,55.310001,59.740002,1734100,45.340832
2011-03-01,55.07,56.43,52.439999,56.41,1955400,42.813461
2011-02-01,54.52,55.439999,52.18,55.110001,2157000,41.56485
2011-01-03,52.27,54.34,49.599998,54.189999,2107300,40.870972
2010-12-01,50.52,52.639999,49.150002,51.950001,1919800,39.18153
2010-11-01,48.939999,51.099998,47.009998,49.98,2691800,37.350155
2010-10-01,47.779999,52.200001,47.23,48.630001,2408000,36.341297
2010-09-01,46.490002,50.799999,46.290001,47.57,3113200,35.549156
2010-08-02,46.73,47.57,43.869999,45.830002,2470200,34.012413
2010-07-01,41.849998,47.50,39.689999,45.849998,3555200,34.027252
2010-06-01,44.630001,46.919998,39.790001,41.639999,3737800,30.90283
2010-05-03,45.639999,48.459999,40.900002,45.130001,4271900,33.249088
2010-04-01,39.470001,47.380001,38.84,45.27,3630200,33.352234
2010-03-01,36.450001,40.43,35.740002,39.150002,3054200,28.843384
2010-02-01,32.32,36.50,31.82,36.080002,3707200,26.347677
2010-01-04,34.060001,34.529999,31.40,32.049999,3273700,23.404739
2009-12-01,32.450001,36.380001,31.35,33.779999,3412400,24.668083
2009-11-02,29.110001,32.91,28.049999,32.209999,3766300,23.276428
2009-10-01,30.57,30.76,27.540001,28.879999,4518100,20.870018
2009-09-01,27.110001,33.060001,25.719999,30.700001,4905500,22.185234
2009-08-03,24.309999,30.75,24.17,27.309999,5190900,19.526941
2009-07-01,22.34,24.209999,18.799999,24.00,5460300,17.160257
2009-06-01,24.57,26.24,21.33,22.23,5273900,15.894688
2009-05-01,22.700001,24.50,21.02,24.34,7595500,17.054861
2009-04-01,17.879999,23.85,17.73,22.889999,9329700,16.038857
2009-03-02,17.120001,21.76,15.68,18.35,10646200,12.857712
2009-02-02,23.360001,24.790001,17.51,17.60,9109300,12.029527
2009-01-02,29.870001,29.870001,23.389999,23.93,7105600,16.356054
2008-12-01,29.83,34.91,23.75,29.82,7892700,20.381845
2008-11-03,34.57,35.560001,21.27,30.43,7370200,20.497011
2008-10-01,43.099998,43.759998,27.85,34.93,6654400,23.528118
2008-09-02,42.759998,49.00,39.290001,44.41,5079300,29.913647
2008-08-01,43.650002,47.720001,40.98,42.200001,3767100,28.101692
2008-07-01,37.610001,45.369999,36.84,43.169998,4300900,28.747629
2008-06-02,41.900002,44.349998,37.759998,38.27,2390500,25.484638
2008-05-01,40.389999,44.889999,40.389999,42.290001,1938200,27.832514
2008-04-01,42.209999,44.560001,39.860001,41.52,2427300,27.32575
2008-03-03,38.049999,43.779999,35.759998,41.490002,3935100,27.306007
2008-02-01,37.50,41.259998,36.220001,38.18,3284600,24.810202
2008-01-02,36.330002,38.50,31.07,37.369999,3752400,24.283846
2007-12-03,37.200001,41.07,34.009998,36.470001,2625800,23.699007
2007-11-01,40.880001,42.189999,33.790001,37.209999,2969100,23.863028
2007-10-01,42.599998,45.009998,38.549999,41.779999,1942900,26.7938
2007-09-04,40.23,43.459999,39.279999,42.360001,1992600,27.16576
2007-08-01,37.889999,42.459999,35.00,40.240002,3153600,25.509338
2007-07-02,45.580002,47.48,39.50,39.810001,2419700,25.236748
2007-06-01,50.700001,51.16,44.360001,45.630001,2798900,28.92622
2007-05-01,46.439999,52.25,45.150002,50.669998,3261700,31.811132
2007-04-02,48.400002,49.830002,46.419998,46.43,1789100,29.149218
2007-03-01,49.790001,50.669998,46.66,48.23,2521100,30.279276
2007-02-01,56.259998,56.349998,49.310001,50.790001,3066000,31.579536
2007-01-03,50.98,56.459999,49.540001,56.279999,1637800,34.993034
2006-12-01,53.490002,54.049999,49.630001,50.75,1407500,31.554665
2006-11-01,54.50,61.50,49.419998,53.259998,1942000,32.814251
2006-10-02,50.639999,54.970001,50.02,54.610001,1225400,33.646008
2006-09-01,50.07,51.349998,48.77,50.580002,1226800,31.163067
2006-08-01,46.200001,50.02,45.619999,49.869999,1557300,30.458368
2006-07-03,45.049999,47.09,44.040001,46.509998,1361600,28.406229
2006-06-01,44.200001,47.060001,43.290001,44.73,1335500,27.319086
2006-05-01,44.799999,45.099998,41.450001,44.099998,1340500,26.666296
2006-04-03,47.040001,47.470001,42.50,44.869999,1544800,27.131897
2006-03-01,45.279999,47.740002,43.740002,46.790001,1406600,28.292881
2006-02-01,42.50,46.27,41.939999,45.279999,1685000,27.115448
2006-01-03,39.299999,42.830002,38.84,42.41,1457700,25.396778
2005-12-01,41.150002,41.27,38.950001,39.119999,1242700,23.426598
2005-11-01,38.25,42.169998,37.310001,40.759998,1588000,24.14282
2005-10-03,37.799999,39.75,35.52,39.25,1607700,23.248423
2005-09-01,37.77,39.419998,36.509998,37.849998,1432200,22.419178
2005-08-01,40.48,40.669998,36.349998,37.77,1366900,22.121485
2005-07-01,36.919998,40.740002,36.799999,40.400002,1278400,23.661848
2005-06-01,36.040001,37.57,35.900002,36.82,1180300,21.565081
2005-05-02,34.330002,36.73,33.189999,35.900002,1111700,20.779516
2005-04-01,33.00,34.349998,31.50,34.349998,1135800,19.882349
2005-03-01,32.810001,34.459999,30.700001,32.209999,1101000,18.643682
2005-02-01,31.559999,33.709999,31.24,32.810001,1261400,18.744032
2005-01-03,36.02,36.369999,31.059999,31.540001,1459300,18.018494
2004-12-01,33.810001,36.75,33.68,36.18,1096600,20.669279
2004-11-01,33.549999,35.349998,32.360001,33.709999,1148000,19.026688
2004-10-01,31.00,34.02,30.860001,33.349998,945300,18.823496
2004-09-01,32.549999,33.209999,30.299999,31.00,1012800,17.497103
2004-08-02,29.57,32.66,29.24,32.389999,1121500,18.028582
2004-07-01,29.74,30.950001,28.74,29.549999,819400,16.447811
2004-06-01,29.459999,30.33,28.620001,29.73,982500,16.548
2004-05-03,27.50,29.700001,26.68,29.440001,1344800,16.145327
2004-04-01,29.99,31.110001,26.65,27.459999,1567400,15.059465
2004-03-01,29.90,31.10,29.049999,29.85,1165800,16.370178
2004-02-02,29.200001,29.870001,28.40,29.75,1109400,16.079771
2004-01-02,29.51,29.90,28.309999,29.10,1159100,15.728449
2003-12-01,29.450001,30.00,29.200001,29.51,889200,15.950052
