Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.58,14.65,14.33,14.45,1337600,11.791595
2013-03-01,13.46,15.17,13.42,14.61,898200,11.922159
2013-02-01,13.45,13.74,12.03,13.56,1134100,10.991074
2013-01-02,13.22,13.80,13.04,13.45,841400,10.828962
2012-12-03,13.31,13.72,12.40,12.96,1251800,10.361184
2012-11-01,16.129999,16.35,11.47,13.28,1499200,10.544536
2012-10-01,16.65,17.190001,15.73,16.08,941900,12.696761
2012-09-04,15.77,17.48,15.52,16.610001,1388800,13.044754
2012-08-01,14.10,16.43,13.46,15.77,1459200,12.313407
2012-07-02,12.80,14.35,12.13,14.02,1702300,10.879597
2012-06-01,13.57,14.50,11.35,12.87,2449400,9.920156
2012-05-01,18.559999,19.129999,13.27,13.80,2595900,10.50365
2012-04-02,22.299999,22.780001,17.450001,18.49,2196900,13.927894
2012-03-01,24.26,24.440001,22.200001,22.42,1196200,16.743084
2012-02-01,24.01,24.700001,23.280001,24.00,1240100,17.784851
2012-01-03,25.879999,26.540001,22.85,23.82,1472100,17.520227
2011-12-01,26.34,26.49,23.51,25.32,996800,18.497604
2011-11-01,26.91,28.969999,24.18,26.200001,994500,19.010788
2011-10-03,24.129999,28.690001,21.65,27.879999,1081900,20.105341
2011-09-01,29.370001,29.469999,23.92,24.540001,1005000,17.571846
2011-08-01,31.83,31.90,24.43,29.219999,1571500,20.786272
2011-07-01,31.60,32.279999,30.459999,31.219999,727500,22.057365
2011-06-01,32.41,32.529999,29.610001,31.60,837400,22.195293
2011-05-02,32.299999,32.860001,29.68,32.439999,1020700,22.651091
2011-04-01,32.00,32.450001,30.049999,32.290001,595200,22.404549
2011-03-01,32.610001,32.720001,27.75,31.66,752700,21.840143
2011-02-01,32.560001,32.93,30.50,32.68,816300,22.414131
2011-01-03,31.459999,33.290001,30.780001,32.25,725000,21.995253
2010-12-01,29.299999,31.83,28.190001,30.84,648000,21.0336
2010-11-01,27.360001,29.68,26.18,28.76,788400,19.387148
2010-10-01,25.93,27.50,25.77,27.42,692900,18.372301
