Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,41.23,41.23,40.400002,40.900002,172200,39.656776
2013-03-01,40.25,42.310001,39.849998,40.860001,76400,39.617992
2013-02-01,41.380001,42.18,39.720001,40.560001,100200,39.32711
2013-01-02,38.279999,42.419998,37.849998,41.169998,117100,39.918568
2012-12-03,36.93,38.349998,35.189999,37.41,117500,36.19529
2012-11-01,37.560001,38.09,34.16,36.700001,88500,35.508347
2012-10-01,39.040001,39.310001,34.00,37.439999,112800,36.224316
2012-09-04,35.41,39.50,34.50,38.849998,99100,37.510952
2012-08-01,36.240002,37.27,33.049999,35.43,115200,34.208832
2012-07-02,36.639999,37.540001,34.139999,36.009998,65700,34.768837
2012-06-01,34.110001,36.779999,33.43,36.439999,113400,35.10667
2012-05-01,34.50,35.389999,32.98,34.900002,160500,33.62302
2012-04-02,36.68,36.900002,33.650002,34.400002,148300,33.141315
2012-03-01,35.919998,38.369999,33.419998,36.77,157500,35.347733
2012-02-01,30.33,37.049999,30.120001,35.790001,170900,34.40564
2012-01-03,29.459999,30.16,28.48,30.07,131300,28.906889
2011-12-01,26.959999,29.34,25.91,28.780001,195600,27.591194
2011-11-01,28.99,31.360001,25.059999,27.10,208900,25.980589
2011-10-03,25.190001,31.969999,23.75,30.57,197300,29.307255
2011-09-01,30.83,31.120001,25.35,25.50,164800,24.366493
2011-08-01,35.049999,35.389999,25.52,30.870001,216800,29.497791
2011-07-01,36.869999,38.099998,34.400002,34.68,125300,33.138432
2011-06-01,37.549999,37.549999,32.849998,36.799999,129700,35.087749
2011-05-02,36.91,38.310001,32.560001,37.57,140900,35.821922
2011-04-01,38.470001,38.68,35.150002,36.68,76300,34.973335
2011-03-01,38.540001,38.799999,35.349998,38.150002,108600,36.298641
2011-02-01,36.52,43.150002,36.360001,38.290001,135100,36.431847
2011-01-03,38.200001,39.439999,34.810001,36.279999,86900,34.519386
2010-12-01,35.779999,39.09,35.779999,37.84,96000,35.929237
2010-11-01,34.57,39.00,33.639999,35.080002,122200,33.308605
2010-10-01,33.720001,36.32,31.00,34.279999,120000,32.549
2010-09-01,31.620001,34.849998,31.50,33.259998,119100,31.503809
2010-08-02,30.450001,34.75,29.57,31.15,160000,29.505222
2010-07-01,25.83,30.82,24.549999,29.809999,154800,28.235977
2010-06-01,25.99,27.950001,24.76,25.75,160900,24.314577
2010-05-03,30.91,33.779999,25.719999,26.17,244900,24.711164
2010-04-01,31.879999,32.369999,29.360001,30.85,239700,29.13028
2010-03-01,32.860001,35.490002,29.90,31.809999,256100,30.036764
2010-02-01,32.689999,33.759998,30.76,32.709999,117900,30.810354
2010-01-04,36.349998,36.889999,32.060001,32.689999,163500,30.791515
2009-12-01,34.360001,37.540001,34.040001,35.849998,141300,33.767998
2009-11-02,39.66,42.240002,31.200001,33.400002,426600,31.391085
2009-10-01,39.130001,42.099998,36.650002,39.279999,155000,36.917416
2009-09-01,36.84,42.700001,35.439999,39.400002,125600,37.030201
2009-08-03,41.43,42.16,36.02,37.060001,216500,34.830944
2009-07-01,45.240002,46.869999,40.599998,41.09,188200,38.618549
2009-06-01,41.02,45.52,40.860001,44.799999,197200,42.105404
2009-05-01,41.209999,45.990002,37.259998,40.619999,266900,38.176819
2009-04-01,37.860001,43.759998,36.700001,41.580002,309700,39.079079
2009-03-02,32.369999,39.889999,29.040001,38.700001,468100,36.372303
2009-02-02,34.669998,37.880001,30.889999,32.509998,368000,30.554611
2009-01-02,41.060001,42.869999,34.869999,35.439999,282400,33.30838
2008-12-01,29.799999,41.330002,26.940001,40.950001,258900,38.486973
2008-11-03,34.470001,36.57,24.84,30.58,323300,28.740698
2008-10-01,48.279999,49.200001,28.530001,34.50,322300,32.424919
2008-09-02,48.139999,54.060001,43.939999,48.169998,237200,45.272705
2008-08-01,41.18,49.00,38.849998,47.610001,212100,44.746391
2008-07-01,46.25,50.110001,39.77,41.150002,386700,38.674942
2008-06-02,51.18,51.740002,45.790001,46.919998,246400,44.097889
2008-05-01,46.639999,52.110001,43.099998,51.509998,302100,48.411816
2008-04-01,40.099998,47.650002,38.720001,46.560001,246700,43.759548
2008-03-03,33.02,43.560001,32.950001,39.720001,573800,37.330952
2008-02-01,37.709999,39.950001,32.650002,33.060001,324100,31.071533
2008-01-02,39.759998,40.00,34.07,37.509998,223400,35.253876
2007-12-03,37.290001,41.700001,35.25,39.939999,170200,37.53772
2007-11-01,40.810001,41.310001,32.639999,36.98,304200,34.755756
2007-10-01,32.98,41.860001,32.860001,41.389999,232400,38.900505
2007-09-04,32.84,34.560001,30.360001,33.240002,341000,31.240707
2007-08-01,36.27,43.50,29.629999,32.869999,614400,30.89296
2007-07-02,36.50,40.060001,35.790001,36.27,512800,34.088459
2007-06-01,50.900002,51.41,34.73,36.259998,871800,34.07906
2007-05-01,45.560001,52.41,44.470001,50.669998,281300,47.622337
2007-04-02,44.73,47.599998,43.549999,45.560001,313200,42.819695
2007-03-01,42.540001,48.34,40.669998,44.82,396200,42.124203
2007-02-01,47.950001,48.779999,42.360001,43.540001,406200,40.921192
2007-01-03,45.75,49.200001,43.73,47.77,236700,44.896767
2006-12-01,44.080002,46.470001,43.59,45.439999,232400,42.706909
2006-11-01,43.669998,49.279999,41.880001,44.299999,315200,41.635479
2006-10-02,45.349998,47.91,43.299999,43.419998,275200,40.808407
2006-09-01,51.240002,52.360001,45.299999,46.040001,302900,43.270824
2006-08-01,52.52,58.419998,49.950001,51.040001,328800,47.970085
2006-07-03,53.400002,55.130001,47.810001,52.689999,215500,49.52084
2006-06-01,51.299999,54.009998,47.66,53.450001,294300,50.23513
2006-05-01,50.950001,58.029999,47.650002,51.299999,341300,48.214447
2006-04-03,50.650002,51.650002,48.049999,50.700001,151500,47.650536
2006-03-01,50.98,52.400002,47.200001,50.650002,181500,47.603546
2006-02-01,47.00,52.759998,45.00,50.779999,298500,47.725723
2006-01-03,44.700001,49.599998,43.84,49.139999,188700,46.184364
2005-12-01,43.50,46.00,43.080002,44.490002,218500,41.814053
2005-11-01,43.099998,45.529999,32.57,43.00,452200,40.41367
2005-10-03,49.66,50.75,41.25,43.259998,148600,40.658028
2005-09-01,103.75,104.980003,47.93,50.07,150000,47.05843
2005-08-01,109.800003,112.449997,98.650002,103.68,151600,48.72197
2005-07-01,101.449997,111.50,98.959999,109.620003,152400,51.513332
2005-06-01,84.75,106.50,84.75,100.800003,300300,47.36858
2005-05-02,73.07,87.190002,72.510002,84.75,152300,39.82626
2005-04-01,80.150002,81.349998,70.800003,73.32,172400,34.455002
2005-03-01,81.00,84.849998,78.199997,80.349998,167700,37.758583
2005-02-01,71.949997,81.25,71.580002,80.830002,178600,37.98415
