Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.65,14.68,14.47,14.55,304800,10.976669
2013-03-01,14.21,14.77,14.21,14.64,92500,11.044566
2013-02-01,14.52,14.83,14.00,14.30,116100,10.708861
2013-01-02,14.29,15.00,14.07,14.50,108200,10.778201
2012-12-03,13.77,14.09,13.27,14.03,121900,10.352942
2012-11-01,14.40,14.89,12.66,13.76,104100,10.153705
2012-10-01,16.290001,16.290001,14.15,14.34,133100,10.581695
2012-09-04,14.46,15.35,14.35,15.01,138600,10.834112
2012-08-01,13.87,14.60,13.75,14.51,194200,10.473216
2012-07-02,13.42,14.04,13.34,13.80,114000,9.960743
2012-06-01,12.83,13.45,12.51,13.44,87500,9.475907
2012-05-01,13.52,13.58,12.47,12.94,83700,9.123382
2012-04-02,13.66,13.80,13.15,13.50,84900,9.518211
2012-03-01,13.59,13.78,13.31,13.70,71700,9.429274
2012-02-01,13.47,13.68,13.35,13.53,102000,9.312268
2012-01-03,12.98,13.73,12.72,13.41,125900,9.229676
2011-12-01,12.19,12.92,11.95,12.84,111100,8.62729
2011-11-01,12.18,12.31,11.72,12.16,99100,8.170393
2011-10-03,11.56,12.70,11.00,12.32,150600,8.277898
2011-09-01,12.15,12.29,11.20,11.62,121300,7.600723
2011-08-01,13.19,13.20,10.57,12.10,159400,7.914695
2011-07-01,13.72,13.95,12.86,13.00,115800,8.50339
2011-06-01,13.72,13.77,13.06,13.77,94800,8.79543
2011-05-02,13.71,13.77,13.40,13.72,90200,8.763494
2011-04-01,13.85,13.92,13.38,13.65,112900,8.718781
2011-03-01,13.81,13.95,13.10,13.84,107400,8.630923
2011-02-01,14.20,14.25,13.59,13.77,105000,8.58727
2011-01-03,14.45,14.82,13.89,14.11,108100,8.7993
2010-12-01,14.80,15.14,13.84,14.41,124800,8.785449
2010-11-01,15.38,15.45,14.38,14.76,93600,8.998837
2010-10-01,15.39,15.92,15.04,15.28,146500,9.315868
2010-09-01,14.50,15.60,14.50,15.36,148800,9.096741
2010-08-02,14.49,14.64,13.86,14.46,91600,8.563729
2010-07-01,15.17,15.54,14.14,14.39,154400,8.522272
2010-06-01,13.72,15.75,13.50,15.24,128700,8.759167
2010-05-03,16.120001,16.16,13.05,13.98,146700,8.034984
2010-04-01,16.209999,16.969999,15.88,15.98,121400,9.18448
2010-03-01,16.32,17.35,16.030001,16.209999,138900,9.068889
2010-02-01,14.52,15.99,14.00,15.97,92700,8.934618
2010-01-04,16.860001,17.209999,14.20,14.38,109800,8.045073
2009-12-01,15.87,16.870001,15.41,16.85,65100,9.173381
2009-11-02,14.55,15.87,14.55,15.69,66100,8.54186
2009-10-01,16.17,16.27,14.41,14.62,114800,7.959337
2009-09-01,14.69,16.450001,14.28,16.209999,103600,8.575349
2009-08-03,14.70,15.09,13.69,14.87,78500,7.866468
2009-07-01,14.20,15.47,13.48,14.55,95900,7.697183
2009-06-01,13.19,14.37,12.50,14.04,93600,7.207495
2009-05-01,12.48,13.15,12.36,13.04,92000,6.694141
2009-04-01,11.28,12.92,11.20,12.34,129800,6.334793
2009-03-02,10.00,11.61,9.02,11.41,119700,5.6436
2009-02-02,12.40,12.42,9.61,10.27,120000,5.079735
2009-01-02,12.65,13.66,11.70,12.27,96700,6.068973
2008-12-01,10.60,12.55,9.61,12.53,135800,5.971568
2008-11-03,12.25,12.85,8.40,10.75,106700,5.123253
2008-10-01,12.98,14.99,7.90,11.99,117100,5.714214
2008-09-02,15.40,15.58,12.51,13.05,95200,5.986164
2008-08-01,15.50,15.62,14.95,15.28,54800,7.009087
2008-07-01,16.700001,16.90,14.25,15.42,78900,7.073306
2008-06-02,17.42,18.129999,16.719999,16.83,56500,7.497677
2008-05-01,17.00,17.67,16.700001,17.35,58800,7.729334
2008-04-01,16.35,17.290001,16.35,16.889999,61800,7.524406
2008-03-03,16.90,16.90,15.51,16.27,50500,7.058678
2008-02-01,17.700001,17.92,16.719999,16.76,57200,7.271262
2008-01-02,17.469999,18.190001,15.50,17.59,81300,7.631354
2007-12-03,17.02,18.25,16.68,17.43,137400,7.364556
2007-11-01,19.15,19.389999,16.280001,17.110001,96800,7.229349
2007-10-01,19.65,20.190001,18.450001,19.049999,50800,8.049041
2007-09-04,18.940001,19.68,18.84,19.67,45100,8.118323
2007-08-01,18.65,19.40,15.33,18.940001,83000,7.817034
2007-07-02,20.40,21.049999,17.77,18.65,76500,7.697343
2007-06-01,20.99,21.389999,20.280001,20.40,50200,8.230833
2007-05-01,20.879999,21.10,20.23,21.040001,49400,8.489056
2007-04-02,21.48,21.76,20.709999,20.82,61300,8.400291
2007-03-01,20.950001,21.52,20.23,21.48,53000,8.486446
2007-02-01,21.00,21.440001,20.25,20.940001,86200,8.2731
2007-01-03,21.030001,21.34,20.370001,20.90,89300,8.257297
2006-12-01,20.40,21.40,20.25,21.10,64200,8.158103
2006-11-01,19.85,20.450001,19.42,20.34,76700,7.864256
2006-10-02,20.290001,20.700001,19.83,19.90,62400,7.694134
2006-09-01,19.76,20.290001,19.49,20.15,67300,7.619694
2006-08-01,19.200001,19.959999,19.110001,19.66,68900,7.434401
2006-07-03,18.85,19.33,18.50,19.10,57700,7.222638
2006-06-01,18.34,19.08,18.040001,18.85,50400,6.960073
2006-05-01,18.969999,19.200001,17.99,18.370001,53800,6.782841
2006-04-03,19.559999,19.75,18.540001,18.940001,55100,6.993305
2006-03-01,19.02,19.719999,18.99,19.50,71600,7.033235
2006-02-01,19.15,19.370001,18.559999,19.059999,60000,6.874537
2006-01-03,18.15,19.290001,18.10,19.10,71300,6.888964
2005-12-01,18.76,19.00,17.34,18.16,144700,6.396811
2005-11-01,19.700001,19.84,18.10,18.77,66200,6.611682
2005-10-03,19.85,20.24,18.91,19.60,58200,6.904047
2005-09-01,20.17,20.370001,19.799999,19.860001,61700,6.837677
2005-08-01,20.200001,20.450001,19.92,20.27,56100,6.978837
2005-07-01,19.950001,20.540001,19.90,20.190001,55400,6.951294
2005-06-01,20.00,20.049999,19.90,19.950001,57000,6.716926
2005-05-02,20.01,20.049999,20.00,20.01,63300,6.737127
2005-04-27,20.00,20.040001,20.00,20.00,193900,6.73376
