Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,58.380001,58.630001,58.049999,58.220001,5098400,12.204156
2013-03-01,52.970001,59.080002,52.889999,58.48,4023800,12.258657
2013-02-01,50.900002,53.23,48.560001,53.189999,2547500,11.149759
2013-01-02,46.240002,50.68,46.07,50.560001,2256300,10.46503
2012-12-03,45.48,48.200001,44.110001,45.48,3113600,9.413559
2012-11-01,44.25,45.849998,41.720001,45.470001,3025300,9.411489
2012-10-01,45.59,46.389999,43.27,44.009998,3067900,8.980951
2012-09-04,43.93,46.07,43.830002,45.200001,2159000,9.22379
2012-08-01,43.00,44.00,40.34,43.950001,2912700,8.968708
2012-07-02,41.130001,43.259998,39.91,42.939999,1812900,8.634702
2012-06-01,35.900002,41.130001,34.00,41.02,3645300,8.248613
2012-05-01,42.080002,43.119999,36.189999,36.330002,4126000,7.305513
2012-04-02,40.240002,42.130001,38.259998,41.959999,7370100,8.314336
2012-03-01,43.50,44.349998,38.860001,40.299999,8038700,7.985409
2012-02-01,42.849998,44.470001,41.50,43.490002,2552900,8.617505
2012-01-03,41.139999,43.73,39.66,42.75,2630500,8.347837
2011-12-01,35.369999,42.00,34.52,40.580002,2596200,7.924099
2011-11-01,37.759998,38.84,34.290001,35.290001,2522200,6.891115
2011-10-03,34.779999,39.34,30.780001,38.25,3734700,7.343188
2011-09-01,38.25,39.43,34.779999,34.779999,1762800,6.677022
2011-08-01,42.25,42.700001,33.209999,38.240002,3431900,7.341269
2011-07-01,45.02,45.419998,40.099998,41.330002,1894300,7.814117
2011-06-01,42.150002,47.34,42.00,44.959999,2183300,8.500428
2011-05-02,46.139999,46.299999,38.77,42.139999,1945300,7.967261
2011-04-01,45.330002,46.299999,44.00,45.970001,1028600,8.581641
2011-03-01,40.369999,45.470001,38.150002,45.00,1829800,8.400562
2011-02-01,38.98,40.869999,38.650002,40.189999,1302100,7.502635
2011-01-03,39.279999,40.080002,37.27,38.889999,1143700,7.160778
2010-12-01,39.939999,40.200001,36.900002,39.07,852100,7.193921
2010-11-01,39.09,40.459999,38.360001,39.560001,1105600,7.284145
