Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.00,11.04,10.95,11.04,390800,7.741032
2013-03-01,10.78,11.10,10.73,10.99,269700,7.705973
2013-02-01,10.84,10.93,10.56,10.81,256800,7.515794
2013-01-02,10.53,10.89,10.50,10.83,201800,7.465396
2012-12-03,10.35,10.44,10.18,10.43,279500,7.127983
2012-11-01,10.57,10.73,9.92,10.34,227400,7.066476
2012-10-01,10.58,11.01,10.42,10.57,292000,7.22366
2012-09-04,10.39,10.61,10.34,10.53,266900,7.011105
2012-08-01,10.44,10.59,10.29,10.37,302300,6.904574
2012-07-02,10.20,10.65,10.12,10.43,382600,6.944523
2012-06-01,10.00,10.25,9.86,10.25,259200,6.643678
2012-05-01,10.33,10.44,9.96,10.02,241800,6.494601
2012-04-02,10.56,10.68,10.23,10.35,263800,6.708495
2012-03-01,10.66,10.75,10.54,10.59,291300,6.682874
2012-02-01,10.59,10.71,10.52,10.65,350600,6.720737
2012-01-03,10.58,10.79,10.30,10.56,427900,6.663943
2011-12-01,10.48,10.65,10.28,10.45,497200,6.398952
2011-11-01,10.45,10.68,10.23,10.53,363200,6.447939
2011-10-03,10.98,11.25,10.51,10.63,343400,6.509173
2011-09-01,11.42,11.51,10.95,10.95,226700,6.512169
2011-08-01,11.72,11.72,9.95,11.45,451900,6.809528
2011-07-01,12.58,12.78,11.38,11.49,342700,6.833317
2011-06-01,12.19,12.62,11.93,12.62,307700,7.311975
2011-05-02,12.44,12.50,12.04,12.27,363800,7.109186
2011-04-01,12.88,12.90,12.28,12.44,327100,7.207683
2011-03-01,13.07,13.10,12.35,12.82,333300,7.2404
2011-02-01,12.99,13.15,12.73,13.06,300300,7.375946
2011-01-03,13.30,13.48,12.91,12.97,343300,7.325116
2010-12-01,13.35,13.56,12.76,13.28,518200,7.320684
2010-11-01,13.29,13.58,13.01,13.31,385300,7.337223
2010-10-01,13.92,14.33,13.05,13.22,491300,7.287609
2010-09-01,14.13,14.41,13.13,13.92,667400,7.426311
2010-08-02,15.02,15.21,13.74,14.05,287300,7.495666
2010-07-01,15.97,16.08,14.80,14.97,232800,7.986485
2010-06-01,15.75,16.440001,15.40,16.030001,188500,8.310413
2010-05-03,16.51,16.799999,15.07,15.84,263600,8.211911
2010-04-01,16.93,17.08,16.35,16.440001,229900,8.522969
2010-03-01,16.52,17.00,16.360001,16.91,202800,8.533199
2010-02-01,16.299999,16.700001,15.90,16.530001,223600,8.341442
2010-01-04,16.65,17.34,16.09,16.23,275200,8.190054
2009-12-01,16.25,16.879999,16.049999,16.66,223400,8.185805
2009-11-02,16.290001,16.73,15.67,16.24,233100,7.979441
2009-10-01,17.059999,17.49,16.26,16.280001,262300,7.999095
2009-09-01,17.120001,17.799999,16.77,17.00,274400,8.136592
2009-08-03,17.00,17.25,16.60,17.209999,194100,8.237102
2009-07-01,17.00,17.790001,16.299999,16.92,206000,8.098302
2009-06-01,16.120001,17.290001,15.85,17.02,197300,7.939292
2009-05-01,16.57,16.65,15.16,15.91,221500,7.421512
2009-04-01,16.50,17.49,15.91,16.49,218400,7.692064
2009-03-02,16.65,17.27,14.65,16.540001,306000,7.511157
2009-02-02,17.16,17.75,15.87,16.889999,269100,7.670098
2009-01-02,17.950001,18.780001,16.92,17.360001,257000,7.883535
2008-12-01,16.639999,18.549999,15.66,17.98,268400,7.953194
2008-11-03,16.93,18.290001,15.01,16.690001,257600,7.382581
2008-10-01,16.98,17.25,11.35,16.940001,340300,7.493165
2008-09-02,18.26,18.459999,14.75,16.540001,290500,7.117899
2008-08-01,18.889999,18.889999,17.860001,18.24,178200,7.849484
2008-07-01,18.91,19.379999,17.969999,18.98,237600,8.167939
2008-06-02,19.139999,19.299999,18.42,18.91,207000,7.940933
2008-05-01,18.82,19.25,18.52,19.200001,192000,8.062714
2008-04-01,18.43,18.99,18.139999,18.82,180400,7.903139
2008-03-03,18.129999,18.75,17.00,18.370001,161900,7.530401
2008-02-01,18.32,18.870001,17.75,18.120001,192300,7.427919
2008-01-02,18.67,19.00,17.030001,18.280001,227100,7.493507
2007-12-03,17.139999,18.74,16.780001,18.700001,543400,7.479316
2007-11-01,17.02,17.98,16.200001,17.139999,371400,6.855372
2007-10-01,18.90,19.34,16.85,17.379999,191900,6.951364
2007-09-04,19.00,19.35,18.24,18.90,111500,7.380178
2007-08-01,20.00,20.049999,18.50,19.00,224100,7.419227
2007-07-27,20.00,20.200001,20.00,20.00,352600,7.809712
