Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.24,6.26,6.05,6.15,1494400,6.15
2013-03-01,5.82,6.59,5.00,6.22,1497400,6.22
2013-02-01,7.01,7.12,5.67,5.77,1313000,5.77
2013-01-02,8.15,8.35,6.85,6.87,1204600,6.87
2012-12-03,8.66,8.73,7.59,7.89,1056400,7.89
2012-11-01,9.20,9.30,7.72,8.63,1262700,8.63
2012-10-01,10.14,10.28,8.58,9.12,1207600,9.12
2012-09-04,9.02,10.73,8.91,9.98,1584100,9.98
2012-08-01,7.86,9.05,7.68,8.89,1067200,8.89
2012-07-02,8.07,8.69,7.60,7.95,1071600,7.95
2012-06-01,8.91,9.90,7.61,8.12,1312200,8.12
2012-05-01,9.30,9.46,7.25,8.68,1444100,8.68
2012-04-02,9.48,9.90,8.05,9.27,1239000,9.27
2012-03-01,10.42,10.70,9.01,9.48,1409100,9.48
2012-02-01,11.57,11.61,10.02,10.39,1401800,10.39
2012-01-03,10.11,11.49,9.80,11.32,1355600,11.32
2011-12-01,11.98,12.08,8.81,9.71,1842200,9.71
2011-11-01,10.25,12.33,9.92,11.81,2268100,11.81
2011-10-03,9.25,11.58,7.55,10.84,2411600,10.84
2011-09-01,11.86,13.10,8.95,8.98,2684000,8.98
2011-08-01,9.72,12.26,8.36,11.88,3500700,11.88
2011-07-01,8.28,11.33,8.01,9.75,3118400,9.75
2011-06-01,10.15,10.35,7.46,8.40,2627700,8.40
2011-05-02,10.75,11.30,8.00,10.29,4149300,10.29
2011-04-01,9.79,12.75,9.54,11.49,4861100,11.49
2011-03-01,7.60,10.33,7.60,9.82,3685100,9.82
2011-02-01,6.34,7.60,6.23,7.41,1572400,7.41
2011-01-03,7.47,7.69,5.40,6.17,1658700,6.17
2010-12-01,6.37,7.61,6.22,7.34,1932800,7.34
2010-11-01,4.88,7.16,4.63,6.21,2180400,6.21
2010-10-01,4.09,5.10,4.04,4.89,1048100,4.89
2010-09-01,3.65,4.29,3.58,4.03,683900,4.03
2010-08-02,3.33,3.64,3.10,3.60,339500,3.60
2010-07-01,3.34,3.62,3.07,3.32,294000,3.32
2010-06-01,3.51,3.79,3.22,3.38,387800,3.38
2010-05-03,3.93,4.28,3.08,3.57,950700,3.57
2010-04-01,3.25,4.02,3.25,3.91,611300,3.91
2010-03-01,3.28,3.80,3.07,3.21,498500,3.21
2010-02-01,3.23,3.70,2.86,3.28,606900,3.28
2010-01-04,3.89,4.48,3.11,3.15,733500,3.15
2009-12-01,3.90,4.16,3.21,3.64,653500,3.64
2009-11-02,2.70,4.00,2.65,3.74,892600,3.74
2009-10-01,2.77,3.29,2.42,2.67,722500,2.67
2009-09-01,2.14,3.29,1.97,2.80,881400,2.80
2009-08-03,2.00,2.14,1.75,2.09,257200,2.09
2009-07-01,1.79,2.00,1.43,1.93,214900,1.93
2009-06-01,2.30,2.43,1.50,1.72,361500,1.72
2009-05-01,1.56,2.27,1.56,2.22,287000,2.22
2009-04-01,1.58,1.70,1.35,1.60,209100,1.60
2009-03-02,1.36,1.94,1.05,1.55,296100,1.55
2009-02-02,1.51,1.87,1.20,1.30,315500,1.30
2009-01-02,1.08,1.73,0.98,1.51,341700,1.51
2008-12-01,1.16,1.36,0.90,1.02,199000,1.02
2008-11-03,0.89,1.49,0.83,1.30,140600,1.30
2008-10-01,2.29,2.32,0.75,0.93,181800,0.93
2008-09-02,2.41,2.60,1.25,2.10,253900,2.10
2008-08-01,2.97,2.99,1.90,2.27,135800,2.27
2008-07-01,3.14,3.60,2.71,2.90,166700,2.90
2008-06-02,3.04,3.32,2.75,3.12,113600,3.12
2008-05-01,2.83,3.60,2.64,3.05,149700,3.05
2008-04-01,3.34,3.82,2.61,2.80,170800,2.80
2008-03-03,4.30,4.57,3.30,3.40,225100,3.40
2008-02-01,3.77,4.60,3.24,4.34,185600,4.34
2008-01-02,4.23,4.52,2.80,3.72,231000,3.72
2007-12-03,4.00,4.13,3.30,3.97,170700,3.97
2007-11-01,4.35,5.54,3.86,3.96,295000,3.96
2007-10-01,3.34,4.45,3.13,4.43,261000,4.43
2007-09-04,3.60,4.19,3.22,3.33,244100,3.33
2007-08-01,4.83,5.00,2.95,3.53,230400,3.53
2007-07-02,4.55,5.47,4.55,4.92,164700,4.92
2007-06-01,5.18,5.37,4.21,4.51,189300,4.51
2007-05-01,5.00,5.48,4.75,5.12,247100,5.12
2007-04-02,4.49,5.36,4.40,5.01,256100,5.01
2007-03-01,4.53,4.58,3.80,4.51,150000,4.51
2007-02-01,4.08,5.11,4.00,4.60,235800,4.60
2007-01-03,3.80,4.40,3.19,4.09,69800,4.09
2006-12-01,4.43,4.49,3.60,3.90,20700,3.90
2006-11-01,3.65,4.57,3.51,4.49,30300,4.49
2006-10-02,3.33,3.73,2.88,3.68,17400,3.68
2006-09-01,3.40,3.69,2.81,3.35,24400,3.35
2006-08-01,3.21,3.50,2.95,3.15,19000,3.15
2006-07-03,3.13,3.35,1.78,3.15,16300,3.15
2006-06-01,3.25,3.40,2.37,3.13,30400,3.13
2006-05-01,4.27,6.08,2.16,3.39,30900,3.39
2006-04-26,4.10,4.21,3.95,4.15,44600,4.15
