Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,39.240002,39.439999,38.869999,39.439999,1117200,35.004879
2013-03-01,37.389999,39.610001,36.889999,39.27,849800,34.853996
2013-02-01,39.959999,40.970001,36.50,37.439999,1090900,33.016281
2013-01-02,36.810001,40.049999,36.639999,39.84,1313000,35.13271
2012-12-03,35.279999,36.560001,34.810001,36.389999,649600,32.090343
2012-11-01,34.50,36.509998,33.93,35.150002,945400,30.77627
2012-10-01,33.299999,34.57,32.59,34.490002,624000,30.198395
2012-09-04,34.23,35.169998,33.009998,33.25,639500,29.112686
2012-08-01,32.830002,34.259998,32.580002,34.110001,725200,29.69046
2012-07-02,30.799999,34.25,30.209999,32.740002,919100,28.497969
2012-06-01,27.76,30.67,27.549999,30.60,1550400,26.635242
2012-05-01,30.50,30.82,27.639999,28.360001,1045700,24.513208
2012-04-02,28.700001,30.65,27.450001,30.35,1660400,26.233282
2012-03-01,26.41,28.92,26.17,28.790001,763800,24.884884
2012-02-01,26.43,27.629999,25.91,26.370001,949100,22.6224
2012-01-03,24.51,26.35,23.799999,26.32,948800,22.579504
2011-12-01,23.950001,24.68,22.99,24.23,970400,20.786528
2011-11-01,21.93,24.139999,21.799999,24.10,1135000,20.556231
2011-10-03,18.440001,23.209999,17.290001,22.530001,973400,19.217091
2011-09-01,21.51,21.91,18.610001,18.629999,1012100,15.890562
2011-08-01,21.48,21.629999,17.809999,21.50,1298900,18.215231
2011-07-01,21.370001,22.440001,20.959999,21.26,641300,18.011898
2011-06-01,21.74,21.809999,19.610001,21.33,903200,18.071203
2011-05-02,21.780001,21.879999,20.65,21.76,973900,18.307674
2011-04-01,20.809999,22.219999,19.27,21.639999,721000,18.206713
2011-03-01,19.74,20.92,18.700001,20.709999,1013400,17.424261
2011-02-01,19.34,19.870001,18.40,19.75,711700,16.498182
2011-01-03,17.52,19.540001,17.389999,19.23,816900,16.063799
2010-12-01,16.309999,17.700001,16.139999,17.40,938300,14.535107
2010-11-01,16.23,17.42,15.39,16.02,637100,13.304654
