Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.28,6.36,6.17,6.30,788600,6.30
2013-03-01,5.45,6.40,5.39,6.23,388700,6.23
2013-02-01,5.18,5.83,5.16,5.47,692900,5.47
2013-01-02,4.65,5.21,4.54,5.13,620800,5.13
2012-12-03,4.12,4.62,4.05,4.58,385700,4.58
2012-11-01,4.30,4.43,3.58,4.05,224500,4.05
2012-10-01,4.46,4.57,4.02,4.24,156200,4.24
2012-09-04,3.82,4.60,3.68,4.42,609900,4.42
2012-08-01,3.85,3.95,3.34,3.82,154200,3.82
2012-07-02,3.93,4.00,3.35,3.78,156900,3.78
2012-06-01,3.63,4.06,3.20,3.96,699200,3.96
2012-05-01,4.25,4.44,3.56,3.65,111100,3.65
2012-04-02,4.40,4.40,3.80,4.26,196100,4.26
2012-03-01,3.85,4.41,3.47,4.40,453100,4.40
2012-02-01,3.66,4.99,3.62,3.87,249000,3.87
2012-01-03,3.53,3.70,3.24,3.70,78300,3.70
2011-12-01,3.49,4.00,3.17,3.49,105200,3.49
2011-11-01,3.70,3.97,3.41,3.50,77500,3.50
2011-10-03,2.78,3.59,2.50,3.56,113800,3.56
2011-09-01,3.38,3.43,2.76,2.80,122400,2.80
2011-08-01,4.47,4.47,2.76,3.38,167700,3.38
2011-07-01,4.39,4.66,4.04,4.40,131200,4.40
2011-06-01,5.03,5.09,3.62,4.31,331000,4.31
2011-05-02,5.00,5.13,4.16,5.06,153100,5.06
2011-04-01,5.04,5.34,4.32,4.99,147200,4.99
2011-03-01,4.67,5.25,4.05,5.00,187200,5.00
2011-02-01,5.04,5.80,4.20,4.64,320000,4.64
2011-01-03,0.460023,7.50,0.310015,5.03,658100,5.03
2010-12-01,0.250013,0.530026,0.240012,0.460023,368100,6.900345
2010-11-01,0.300015,0.340017,0.240012,0.240012,173700,3.60018
2010-10-01,0.280014,0.370019,0.260013,0.310015,202300,4.650233
2010-09-01,0.360018,0.510026,0.270014,0.280014,403300,4.20021
2010-08-02,0.580029,0.60003,0.340017,0.360018,163300,5.40027
2010-07-01,0.560028,0.920046,0.370019,0.570029,290900,8.550427
2010-06-01,1.300065,1.450073,0.520026,0.530026,175600,7.950397
2010-05-03,2.190109,2.240112,1.170058,1.330067,182000,19.950998
2010-04-01,2.450123,3.840192,2.080104,2.120106,336800,31.80159
2010-03-01,2.130107,2.490124,2.0001,2.410121,111900,36.15181
2010-02-01,2.320116,2.430122,1.890095,2.120106,89700,31.80159
2010-01-04,2.350117,2.900145,2.050102,2.280114,92600,34.20171
2009-12-01,1.570078,2.900145,1.500075,2.300115,115100,34.501724
2009-11-02,1.820091,2.350117,1.470073,1.550078,82100,23.251163
2009-10-01,3.030152,3.030152,1.80009,1.890095,68700,28.351418
2009-09-01,3.140157,3.680184,2.910146,3.050153,60600,45.752289
2009-08-03,3.160158,4.310215,3.090154,3.190159,76700,47.85239
2009-07-01,4.010201,4.160208,2.810141,3.100155,63700,46.502327
2009-06-01,5.00025,5.830291,3.940197,3.950197,39100,59.252964
2009-05-01,5.550278,7.640382,4.40022,4.890244,58700,72.348824
2009-04-01,4.160208,7.00035,4.090204,5.510276,56400,81.521889
2009-03-02,3.990199,4.980249,3.750188,4.260213,67600,63.027809
2009-02-02,6.940347,7.79039,3.430171,4.160208,114800,60.541653
2009-01-02,11.050552,11.20056,6.390319,7.110356,64200,103.473831
2008-12-01,10.440522,11.280564,8.430422,11.140557,52000,162.123566
2008-11-03,9.980499,11.300565,7.770389,10.940548,41100,158.196976
2008-10-01,11.290565,12.170609,7.570379,10.220511,52700,147.785461
2008-09-02,9.910495,13.500675,8.060403,11.060553,71000,159.932205
2008-08-01,8.760438,10.750538,8.470424,9.450473,56800,135.659683
2008-07-01,6.370319,9.240462,5.620281,8.750438,88300,125.610817
2008-06-02,10.050503,10.650533,6.280314,6.340317,74700,91.014008
2008-05-01,10.300515,11.290565,9.860493,10.060503,41800,143.309311
2008-04-01,10.300515,11.150558,9.510475,10.290515,44600,146.58577
2008-03-03,9.080454,11.110556,8.490424,10.160507,51200,144.733856
2008-02-01,9.560477,10.61053,8.830441,9.040453,44700,127.885536
2008-01-02,7.300365,9.960498,7.260363,9.500475,50300,134.392975
2007-12-03,6.650332,8.370419,6.300315,7.290364,38200,103.128929
