Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.17,12.28,11.88,11.92,2124000,10.862641
2013-03-01,11.25,12.09,10.78,12.07,1844400,10.999335
2013-02-01,12.56,12.84,10.76,11.58,1534200,10.552801
2013-01-02,11.61,13.28,11.52,12.34,843200,11.245385
2012-12-03,10.47,11.63,10.38,11.37,1753300,10.361429
2012-11-01,8.79,10.50,8.78,10.11,1418700,9.213197
2012-10-01,9.39,9.99,8.38,8.81,1522900,8.028513
2012-09-04,7.51,9.80,7.29,9.34,1915100,8.511499
2012-08-01,7.77,8.40,7.22,7.73,1398500,7.044313
2012-07-02,7.49,8.20,6.88,7.69,1622000,7.007862
2012-06-01,6.32,7.50,6.00,7.49,1574500,6.825603
2012-05-01,7.92,8.22,6.33,6.52,2686300,5.941646
2012-04-02,8.33,8.82,7.71,7.94,2800400,7.235686
2012-03-01,9.19,9.42,7.90,8.39,1593400,7.645769
2012-02-01,8.21,9.79,8.10,9.21,2073800,8.393031
2012-01-03,7.91,9.00,7.65,7.99,2034600,7.28125
2011-12-01,7.76,7.96,6.65,7.77,1214000,7.080765
2011-11-01,8.26,8.79,6.72,7.78,1747300,7.089879
2011-10-03,7.48,9.61,6.89,8.87,2307700,8.08319
2011-09-01,9.93,10.19,7.51,7.57,1936500,6.898507
2011-08-01,12.32,12.32,8.22,9.90,2044100,9.021824
2011-07-01,13.18,13.68,11.33,11.96,1802200,10.899094
2011-06-01,15.43,15.43,12.76,13.19,1570000,12.019986
2011-05-02,16.059999,16.219999,14.24,15.57,1691000,14.188869
2011-04-01,16.50,16.98,15.00,16.15,1710700,14.717421
2011-03-01,14.45,16.43,13.54,16.42,1672600,14.627192
2011-02-01,15.54,15.89,14.05,14.41,1710600,12.836653
2011-01-03,16.27,16.84,15.27,15.31,1151600,13.638388
2010-12-01,15.94,17.17,14.72,16.00,1401400,14.25305
2010-11-01,18.10,19.549999,15.16,15.28,2123600,13.611662
2010-10-01,17.58,18.139999,15.90,17.959999,1855400,15.999047
2010-09-01,15.72,18.129999,15.69,17.290001,2007500,15.402203
2010-08-02,16.190001,17.16,14.97,15.26,2145900,13.593846
2010-07-01,14.80,16.559999,13.67,15.70,2560300,13.985805
2010-06-01,15.65,17.549999,13.78,14.80,1671300,13.184072
2010-05-03,20.43,20.459999,14.54,15.96,2847100,14.217418
2010-04-01,22.24,23.33,19.68,19.85,1874600,17.68269
2010-03-01,18.65,23.25,18.530001,21.879999,2286200,19.491045
2010-02-01,18.290001,21.16,17.200001,18.35,1461900,16.346466
2010-01-04,23.129999,24.459999,17.629999,18.280001,1579900,16.284109
2009-12-01,17.860001,23.969999,17.690001,22.84,1279400,20.34623
2009-11-02,13.88,17.950001,12.82,17.52,1458300,15.60709
2009-10-01,16.450001,18.129999,13.49,13.74,1168300,12.239806
2009-09-01,15.70,17.129999,14.56,16.41,859600,14.618284
2009-08-03,15.32,17.459999,12.85,15.81,1340800,14.083796
2009-07-01,11.07,15.45,10.02,14.94,1636200,13.308784
2009-06-01,12.31,12.99,9.40,10.71,1910900,9.540635
2009-05-01,8.89,12.85,8.60,11.87,1683600,10.573981
2009-04-01,4.58,9.21,4.53,8.74,1334300,7.785728
2009-03-02,4.65,5.24,3.53,4.38,888400,3.901772
2009-02-02,5.74,6.34,4.72,4.78,590500,4.258099
2009-01-02,7.78,9.13,5.65,5.80,676200,5.166731
2008-12-01,5.30,8.81,4.74,7.93,790900,7.064167
2008-11-03,10.02,11.16,5.43,5.56,910500,4.952935
2008-10-01,14.89,15.21,6.73,10.09,1534600,8.98833
2008-09-02,21.09,21.700001,13.77,15.41,1028100,13.727468
2008-08-01,24.33,25.50,20.290001,21.120001,658700,18.814026
2008-07-01,25.90,27.68,23.620001,24.219999,694600,21.575554
2008-06-02,33.330002,35.060001,26.41,26.709999,689900,23.793684
2008-05-01,31.91,34.279999,29.92,33.66,557100,29.984854
2008-04-01,28.68,32.709999,28.629999,31.790001,594900,28.319029
2008-03-03,31.00,33.75,26.60,28.51,1048200,25.397154
2008-02-01,29.59,34.389999,27.91,31.459999,782700,28.025059
2008-01-02,30.379999,30.68,21.48,29.549999,780200,26.323601
2007-12-03,32.709999,34.549999,28.76,29.809999,640000,26.555214
2007-11-01,30.98,34.400002,28.35,33.220001,1015600,28.707035
2007-10-01,28.719999,31.940001,27.66,31.35,660900,27.091076
2007-09-04,23.540001,28.959999,23.00,28.620001,678100,24.731949
2007-08-01,23.75,24.73,18.700001,23.379999,885600,20.203806
2007-07-02,23.049999,28.040001,22.34,23.77,940600,20.540825
2007-06-01,22.049999,24.459999,20.35,22.77,627200,19.676676
2007-05-01,20.219999,22.709999,19.950001,21.629999,538500,18.691545
2007-04-02,18.40,20.559999,18.10,19.98,630700,17.265699
2007-03-01,17.15,18.35,16.67,18.299999,481300,15.813929
2007-02-01,18.280001,19.719999,17.24,17.91,662700,15.476912
2007-01-03,20.00,20.16,17.51,18.049999,515600,15.597892
2006-12-01,19.82,20.34,19.030001,19.610001,411700,16.945965
2006-11-01,18.40,20.40,17.85,19.90,486700,16.53966
2006-10-02,17.299999,18.450001,16.92,18.25,602600,15.168281
2006-09-01,16.190001,18.02,15.47,16.940001,568800,14.07949
2006-08-01,15.40,16.889999,14.91,16.129999,358900,13.406266
2006-07-03,15.58,16.27,14.55,15.59,576400,12.957452
2006-06-01,14.31,15.80,12.55,15.58,660800,12.949141
2006-05-01,16.15,17.74,12.69,14.23,613500,11.827103
2006-04-03,16.190001,16.65,15.16,16.09,598400,13.373021
2006-03-01,14.80,16.25,14.17,16.18,558300,13.447824
2006-02-01,12.32,15.31,12.21,14.76,539500,12.267607
2006-01-03,12.29,12.81,12.00,12.47,560800,10.3643
2005-12-01,12.36,12.84,11.68,12.29,747700,10.214694
2005-11-01,12.07,12.60,11.30,12.33,485600,9.702749
2005-10-03,13.50,13.68,11.60,11.97,510100,9.419457
2005-09-01,11.60,13.51,11.46,13.40,378500,10.544756
2005-08-01,12.15,12.51,11.17,11.60,410000,9.128297
2005-07-01,12.20,12.27,10.88,12.05,416300,9.482411
2005-06-01,11.89,12.59,11.69,12.10,416700,9.521758
2005-05-02,11.09,12.33,10.92,11.99,430400,9.435196
2005-04-01,13.26,13.50,10.49,10.99,801900,8.648273
2005-03-01,14.70,15.21,12.70,13.00,363600,9.810366
2005-02-01,14.53,15.65,14.39,14.80,344800,11.168724
2005-01-03,16.309999,16.40,13.35,14.63,402000,11.040435
2004-12-01,38.50,39.369999,14.76,16.200001,307400,12.225225
2004-11-01,34.299999,37.809998,34.299999,37.650002,386400,11.364931
2004-10-01,34.549999,36.489998,31.639999,34.549999,324900,10.429173
2004-09-01,35.380001,37.550003,33.510002,34.549999,242100,10.309014
2004-08-02,35.099998,37.099998,33.50,35.130001,253000,10.482075
2004-07-01,31.800001,36.50,31.329998,35.759998,440600,10.670054
2004-06-01,31.099998,33.239998,30.23,31.800001,237000,9.488471
2004-05-03,31.50,32.209999,26.800001,31.259998,449700,9.327346
2004-04-01,35.040001,36.23,31.23,31.400002,365200,9.36912
2004-03-01,34.27,35.650002,31.700001,34.790001,364800,9.620642
2004-02-02,29.75,34.380001,28.880001,34.00,464000,9.40218
2004-01-02,31.50,34.939999,29.610001,30.150002,570700,8.337521
2003-12-01,25.75,32.040001,25.690001,31.35,450100,8.669362
2003-11-03,27.390001,27.799999,24.400002,25.550001,172900,7.065461
2003-10-01,26.259998,28.50,26.15,27.379999,187800,7.571519
2003-09-02,26.35,27.90,25.00,26.359999,160200,7.289454
2003-08-01,22.90,26.300001,21.75,26.300001,151600,7.272862
2003-07-01,19.32,23.800001,19.190001,23.139999,257100,6.399012
2003-06-02,18.99,19.84,18.300001,19.34,197200,5.348181
2003-05-01,19.049999,19.10,16.33,18.950001,255900,5.240332
2003-04-01,18.799999,20.50,18.33,19.00,161400,5.254159
2003-03-03,19.26,19.540001,17.700001,18.710001,98300,4.82668
2003-02-03,17.50,19.049999,17.469999,19.01,209400,4.904071
2003-01-02,17.00,19.700001,16.00,17.65,138500,4.553228
2002-12-02,16.18,17.619999,15.40,16.440001,82900,4.24108
2002-11-01,15.25,17.10,15.00,16.200001,148800,4.179166
2002-10-01,14.00,16.059999,12.50,15.349999,153000,3.959889
2002-09-03,16.25,16.799999,13.400001,13.969999,101700,3.603886
2002-08-01,15.43,17.60,15.20,16.950001,193300,4.372647
2002-07-01,18.890001,18.890001,15.00,15.440001,189800,3.983107
2002-06-03,20.690001,20.869999,16.00,18.90,149400,4.875694
2002-05-01,19.299999,20.769999,18.960001,20.75,161200,5.352945
2002-04-01,18.799999,21.119999,18.75,19.290001,170200,4.976304
2002-03-01,18.700001,19.67,18.23,18.74,70000,4.703239
2002-02-01,16.00,18.75,16.00,18.60,184900,4.668103
2002-01-02,17.60,17.780001,15.700001,16.00,112400,4.015573
2001-12-03,15.700001,17.74,15.650001,17.65,97500,4.429678
2001-11-01,14.60,17.00,14.400001,15.00,118400,3.764599
2001-10-01,13.00,14.60,12.23,14.50,143700,3.639112
2001-09-04,14.309999,14.349999,11.25,13.049999,218400,3.275201
2001-08-01,11.98,14.50,11.799999,14.320001,130400,3.593937
2001-07-02,15.00,15.25,11.799999,12.00,135000,3.011679
2001-06-01,12.940001,15.99,12.83,15.10,242200,3.789696
2001-05-01,13.96,14.80,12.799999,12.95,216800,3.250104
2001-04-02,12.35,14.00,11.40,13.90,198300,3.488528
2001-03-01,13.80,14.110001,11.599999,12.25,113300,3.074423
2001-02-01,15.620001,15.620001,13.400001,13.90,183500,3.488528
2001-01-02,14.125,16.625,13.4375,15.99,208400,4.013062
2000-12-01,13.00,15.25,12.5625,13.9375,92500,3.49794
2000-11-01,16.875,16.875,13.00,13.00,112200,2.834687
2000-10-02,19.6875,20.00,14.00,17.25,171300,3.761411
2000-09-01,20.125,22.50,17.00,19.6875,165000,4.292915
2000-08-01,21.875,21.875,19.25,20.125,133200,4.388313
2000-07-03,18.375,23.25,18.3125,21.875,104400,4.769906
2000-06-01,15.75,18.625,15.6875,18.375,114000,4.006721
2000-05-01,14.625,16.125,13.6875,15.875,171700,3.461588
2000-04-14,15.125,15.125,14.1875,14.75,1053200,3.216279
