Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.47,7.49,7.25,7.28,1002600,6.519143
2013-03-01,7.21,7.74,7.10,7.46,321200,6.68033
2013-02-01,7.12,7.49,7.03,7.27,466700,6.510188
2013-01-02,6.98,7.53,6.91,7.07,407400,6.286879
2012-12-03,6.45,6.87,6.35,6.82,432200,6.06457
2012-11-01,6.53,6.61,5.83,6.41,384400,5.699985
2012-10-01,7.10,7.40,6.42,6.55,587100,5.780016
2012-09-04,6.95,7.61,6.90,7.05,541800,6.221239
2012-08-01,7.03,7.20,6.65,6.96,379100,6.141819
2012-07-02,6.74,7.23,6.66,7.01,633400,6.141819
2012-06-01,6.08,6.74,5.66,6.73,531500,5.896496
2012-05-01,6.42,6.58,5.85,6.27,525500,5.493466
2012-04-02,6.08,6.60,5.71,6.43,700600,5.589843
2012-03-01,6.04,6.74,5.69,6.12,683700,5.320348
2012-02-01,5.58,6.12,5.51,5.99,512200,5.207334
2012-01-03,5.43,6.01,5.39,5.54,696100,4.790052
2011-12-01,4.63,5.57,4.55,5.26,731400,4.547956
2011-11-01,4.33,4.95,4.05,4.65,600700,4.020531
2011-10-03,3.67,4.83,3.47,4.61,980400,3.985946
2011-09-01,4.48,4.51,3.60,3.70,1012800,3.176813
2011-08-01,5.21,5.21,3.87,4.50,861700,3.863691
2011-07-01,5.75,5.98,4.98,5.14,642800,4.413194
2011-06-01,5.84,5.87,5.04,5.74,538000,4.900665
2011-05-02,6.25,6.26,5.54,5.85,417100,4.99458
2011-04-01,6.87,7.00,5.80,6.20,569100,5.293401
2011-03-01,6.56,6.88,6.07,6.85,590100,5.820461
2011-02-01,6.49,6.75,6.21,6.55,564200,5.565551
2011-01-03,7.15,7.41,6.37,6.43,665800,5.463586
2010-12-01,6.32,7.47,6.26,7.08,504700,5.989391
2010-11-01,5.86,6.62,5.60,6.20,409600,5.244947
2010-10-01,5.52,5.84,5.33,5.82,487900,4.923482
2010-09-01,5.03,5.70,4.94,5.45,538800,4.602156
2010-08-02,5.32,5.43,4.80,4.95,1262000,4.179939
2010-07-01,5.24,6.23,4.90,5.30,487100,4.475491
